case,observable,status,fit_start,fit_end,n_time_points,lambda_R,lambda_R_ci_low,lambda_R_ci_high,lambda_I,lambda_I_ci_low,lambda_I_ci_high,period,period_ci_low,period_ci_high,delta_AIC_damped_minus_exponential,bootstrap_accept,half_cycle_threshold,oscillation_resolved,mean_correlation_first_zero,fitted_first_zero,fitted_first_zero_ci_low,fitted_first_zero_ci_high,first_supported_negative_time
driven_T2_T8,sin_theta1,FIT,0.05,1.0,96,-4.2198863246073754,-4.270064801306554,-4.172443687189147,3.3060299267150444,3.1119238382715095,3.4951862424648406,1.900522816326324,1.7976682417783325,2.0190678286874544,-617.7838383125073,2000,3.306939635357677,0,0.2725923598731792,0.2751500439475638,0.2726352597284144,0.2775186389929974,0.28
driven_T2_T8,I1_minus_I3,FIT,0.05,1.0,96,-4.910788398291361,-5.145901339024785,-4.6942620531973125,5.355808524061243,5.2052036685979886,5.5070565601446235,1.17315346113515,1.1409334984230814,1.2070969182406555,-516.5420421747417,2000,3.306939635357677,1,0.4211250367363143,0.41889305793303605,0.4128834576701084,0.4253881965575603,0.44
equilibrium_T5_T5,sin_theta1,FIT,0.05,1.0,96,-5.006326008412776,-5.068850432961708,-4.945113565746509,3.8959831728838954,3.714445490669748,4.066486954694771,1.612734200422285,1.5451138481891922,1.6915540483666303,-466.4175266769609,2000,3.306939635357677,1,0.23260819394052495,0.2355766577662378,0.23390672535560256,0.23721917690899347,0.24
equilibrium_T5_T5,I1_minus_I3,FIT,0.05,1.0,96,-4.2851710567622785,-4.426926687101047,-4.1465215228335675,5.351229787443722,5.199777607550944,5.498835446921332,1.1741572604343458,1.1426392675011567,1.2083565454905905,-986.7582998771404,2000,3.306939635357677,1,0.38911455774326914,0.3891415711411121,0.3852419333232274,0.393514897479464,0.4
