theta1,theta3,density
-2.70177,-1.94779,0.0513851
-2.70177,-1.82212,0.0467688
-2.70177,-1.69646,0.0422824
-2.70177,-1.5708,0.0387277
-2.70177,-1.44513,0.0356009
-2.70177,-1.31947,0.0323486
-2.70177,-1.19381,0.0298854
-2.70177,-1.06814,0.0271175
-2.70177,-0.942478,0.0245347
-2.70177,-0.816814,0.0227472
-2.70177,-0.69115,0.021372
-2.70177,-0.565487,0.0204408
-2.70177,-0.439823,0.0192503
-2.70177,-0.314159,0.0189406
-2.70177,-0.188495,0.0186615
-2.70177,-0.0628318,0.0178804
-2.70177,0.0628319,0.0179382
-2.70177,0.188496,0.0180162
-2.70177,0.314159,0.0185987
-2.70177,0.439823,0.0191458
-2.70177,0.565487,0.0203239
-2.70177,0.69115,0.0213778
-2.70177,0.816814,0.0227459
-2.70177,0.942478,0.0242869
-2.70177,1.06814,0.0261433
-2.70177,1.19381,0.028594
-2.70177,1.31947,0.031007
-2.70177,1.44513,0.0343036
-2.70177,1.5708,0.037724
-2.70177,1.69646,0.0411335
-2.70177,1.82212,0.0451068
-2.70177,1.94779,0.049823
-2.70177,2.07345,0.054541
-2.70177,2.19912,0.0593818
-2.70177,2.32478,0.0639663
-2.70177,2.45044,0.068303
-2.70177,2.57611,0.0722467
-2.70177,2.70177,0.0749321
-2.70177,2.82743,0.0779308
-2.70177,2.9531,0.0803205
-2.70177,3.07876,0.0813314
-2.57611,-3.07876,0.0787069
-2.57611,-2.9531,0.0780106
-2.57611,-2.82743,0.0760291
-2.57611,-2.70177,0.07347
-2.57611,-2.57611,0.0700703
-2.57611,-2.45044,0.0669999
-2.57611,-2.32478,0.0620623
-2.57611,-2.19911,0.0572731
-2.57611,-2.07345,0.0531587
-2.57611,-1.94779,0.0489094
-2.57611,-1.82212,0.0449697
-2.57611,-1.69646,0.0411465
-2.57611,-1.5708,0.0372844
-2.57611,-1.44513,0.0342709
-2.57611,-1.31947,0.0311575
-2.57611,-1.19381,0.0284828
-2.57611,-1.06814,0.0257701
-2.57611,-0.942478,0.0237935
-2.57611,-0.816814,0.021868
-2.57611,-0.69115,0.0207792
-2.57611,-0.565487,0.0198234
-2.57611,-0.439823,0.0184495
-2.57611,-0.314159,0.0179503
-2.57611,-0.188495,0.017776
-2.57611,-0.0628318,0.0171406
-2.57611,0.0628319,0.0170976
-2.57611,0.188496,0.0172885
-2.57611,0.314159,0.0180399
-2.57611,0.439823,0.0183258
-2.57611,0.565487,0.0192592
-2.57611,0.69115,0.0207406
-2.57611,0.816814,0.0213617
-2.57611,0.942478,0.0230232
-2.57611,1.06814,0.0250231
-2.57611,1.19381,0.0273079
-2.57611,1.31947,0.0297487
-2.57611,1.44513,0.0328787
-2.57611,1.5708,0.0359244
-2.57611,1.69646,0.0400092
-2.57611,1.82212,0.0432145
-2.57611,1.94779,0.0474862
-2.57611,2.07345,0.0520514
-2.57611,2.19912,0.0566269
-2.57611,2.32478,0.0603
-2.57611,2.45044,0.0649351
-2.57611,2.57611,0.0684316
-2.57611,2.70177,0.0712757
-2.57611,2.82743,0.0741377
-2.57611,2.9531,0.0767989
-2.57611,3.07876,0.078521
-2.45044,-3.07876,0.0733033
-2.45044,-2.9531,0.072974
