theta1,theta3,density
-1.98968,-0.942478,0.0170937
-1.98968,-0.733038,0.0150297
-1.98968,-0.523599,0.0134959
-1.98968,-0.314159,0.0125519
-1.98968,-0.10472,0.0120559
-1.98968,0.10472,0.0119669
-1.98968,0.314159,0.0124709
-1.98968,0.523599,0.0133721
-1.98968,0.733038,0.0146905
-1.98968,0.942478,0.0166906
-1.98968,1.15192,0.0192478
-1.98968,1.36136,0.0222235
-1.98968,1.5708,0.0259944
-1.98968,1.78024,0.0303866
-1.98968,1.98968,0.0354577
-1.98968,2.19911,0.040469
-1.98968,2.40855,0.0454808
-1.98968,2.61799,0.0500367
-1.98968,2.82743,0.0534025
-1.98968,3.03687,0.0551705
-1.78024,-3.03687,0.0478565
-1.78024,-2.82743,0.0466486
-1.78024,-2.61799,0.0444595
-1.78024,-2.40855,0.040868
-1.78024,-2.19911,0.0366149
-1.78024,-1.98968,0.031982
-1.78024,-1.78024,0.0276054
-1.78024,-1.5708,0.023432
-1.78024,-1.36136,0.0196993
-1.78024,-1.15192,0.0167561
-1.78024,-0.942478,0.0145307
-1.78024,-0.733038,0.0128402
-1.78024,-0.523599,0.011427
-1.78024,-0.314159,0.0106991
-1.78024,-0.10472,0.0103433
-1.78024,0.10472,0.0101528
-1.78024,0.314159,0.0105994
-1.78024,0.523599,0.0112448
-1.78024,0.733038,0.0124643
-1.78024,0.942478,0.0140582
-1.78024,1.15192,0.0162225
-1.78024,1.36136,0.0188239
-1.78024,1.5708,0.0221594
-1.78024,1.78024,0.0261095
-1.78024,1.98968,0.0305824
-1.78024,2.19911,0.0349766
-1.78024,2.40855,0.0393667
-1.78024,2.61799,0.0433455
-1.78024,2.82743,0.046337
-1.78024,3.03687,0.0476826
-1.5708,-3.03687,0.0411992
-1.5708,-2.82743,0.0399209
-1.5708,-2.61799,0.0378631
-1.5708,-2.40855,0.0349951
-1.5708,-2.19911,0.0311578
-1.5708,-1.98968,0.0273381
-1.5708,-1.78024,0.0234133
-1.5708,-1.5708,0.0197048
-1.5708,-1.36136,0.016489
-1.5708,-1.15192,0.0139907
-1.5708,-0.942478,0.0121568
-1.5708,-0.733038,0.0108379
-1.5708,-0.523599,0.00966747
-1.5708,-0.314159,0.00904078
-1.5708,-0.10472,0.00878511
-1.5708,0.10472,0.00865377
-1.5708,0.314159,0.00899063
-1.5708,0.523599,0.00954617
-1.5708,0.733038,0.0105253
-1.5708,0.942478,0.0118228
-1.5708,1.15192,0.0138999
-1.5708,1.36136,0.0161261
-1.5708,1.5708,0.0188336
-1.5708,1.78024,0.0222843
-1.5708,1.98968,0.0261583
-1.5708,2.19911,0.0299045
-1.5708,2.40855,0.0338029
-1.5708,2.61799,0.0373527
-1.5708,2.82743,0.0397799
-1.5708,3.03687,0.0410082
-1.36136,-3.03687,0.0353652
-1.36136,-2.82743,0.0344285
-1.36136,-2.61799,0.0323647
-1.36136,-2.40855,0.0297542
-1.36136,-2.19911,0.0267254
