temperature,scale,region,grid_points,median_relative_spread,max_relative_spread
T10,raw,full,101,0.6448696966719436,0.7656539967654978
T10,raw,interior_0p10_0p90,81,0.6406058328557677,0.7237483275746044
T10,sqrt_n,full,101,0.050174288163768746,0.09300676263191834
T10,sqrt_n,interior_0p10_0p90,81,0.04390960057625184,0.06713754928794115
T6,raw,full,101,0.6496493553631916,0.7635847131817953
T6,raw,interior_0p10_0p90,81,0.6481374556933427,0.7160092515821677
T6,sqrt_n,full,101,0.041067396617680316,0.08516882359714528
T6,sqrt_n,interior_0p10_0p90,81,0.034911081639167854,0.07578958920016539
