temperature,n,delta_mass_q4_minus_q3,se_delta_mass,z_delta_mass,mass_ci_contains_zero,mass_relative_change,delta_free_end_q4_minus_q3,se_delta_free_end,z_delta_free_end,free_end_ci_contains_zero,free_end_relative_change,free_end_significantly_growing,interior_median_site_relative_change,interior_max_site_relative_change,profile_change_gate_pass,stationary_gate_pass
T10,25,-0.09639883319686399,0.053916021679850906,-1.787944106285747,1,0.005986715147313364,-0.00600171311152181,0.004145482893336433,-1.44777177133432,1,0.009879235309816837,0,0.006888022428507594,0.014980543929829119,1,1
T10,50,-0.05412228429867082,0.09503492612690066,-0.569498883246366,1,0.0023341221568578554,-0.007681137339042078,0.004728106420090338,-1.6245694695880635,1,0.01898735682453222,0,0.009137809901589355,0.018524072856103527,1,1
T10,100,0.03706869752041534,0.09088562994880242,0.4078609296243733,1,0.0011188166620049729,-0.009029061398427785,0.004347184728165537,-2.0769905037456153,0,0.03206382118382609,0,0.013088548214116851,0.03907592763890566,1,0
T6,25,-0.011258911241524835,0.039611924163999876,-0.2842303543476225,1,0.0009052591493756375,-0.0005315304990506434,0.003433110843936733,-0.15482474152833925,1,0.0011120412457925326,0,0.0025414396837264725,0.0074661443294755225,1,1
T6,50,-0.049623312571184006,0.07596539546227665,-0.653235756481071,1,0.0027850101417165284,0.0010267988140379093,0.003950773416490892,0.2598981783546372,1,0.00324415280560415,0,0.010073996027085783,0.02359810607653496,1,1
T6,100,-0.03259758970820355,0.06563087946400023,-0.4966806779739092,1,0.0012791432905982516,0.0010234168410699278,0.0034553066752577417,0.2961869776706833,1,0.00463470789387754,0,0.01634833514903148,0.03710445710855403,1,1
