bc_id,bc_label,n,T1,Tn,gamma,dt_max,burnin,measure,seed,threads,requested_trajectories,valid_trajectories,nonfinite_trajectories,discarded_trajectories,integration_step_samples,projection_count,mean_flux,se_mean_flux,elapsed_seconds
4,OPEN_left_BC1_right_free,25,10,0,0.10000000149011612,0.00050000002374872565,2000,2000,2026091225,2,256,256,0,0,1024000256,2327157,8.4013404003063964e-05,0.0001039185594490885,193.92747299999999
4,OPEN_left_BC1_right_free,25,10,0,0.10000000149011612,0.00050000002374872565,2000,2000,2026091226,2,256,256,0,0,1024000256,2328091,7.8759074877470648e-05,0.00011872404431147686,197.18644599999999
4,OPEN_left_BC1_right_free,50,10,0,0.10000000149011612,0.00050000002374872565,8000,2000,2026091250,2,256,256,0,0,1024000256,8403924,-0.00016946155894950355,0.00013182695498342801,780.43592200000001
4,OPEN_left_BC1_right_free,50,10,0,0.10000000149011612,0.00050000002374872565,8000,2000,2026091251,2,256,256,0,0,1024000256,8414954,-0.00018968996715432513,0.00013764097667377234,778.19168000000002
4,OPEN_left_BC1_right_free,100,10,0,0.10000000149011612,0.00050000002374872565,32000,2000,2026091300,2,256,256,0,0,1024000256,40486534,-0.00010122016844361437,0.00015356598870506076,5107.151406
4,OPEN_left_BC1_right_free,100,10,0,0.10000000149011612,0.00050000002374872565,32000,2000,2026091301,2,256,256,0,0,1024000256,40350081,7.0513474561501445e-05,0.00014758927715716197,4975.4168049999998
4,OPEN_left_BC1_right_free,25,6,0,0.10000000149011612,0.00050000002374872565,2000,2000,2026091425,2,256,256,0,0,1024000256,1798104,8.5531352648625679e-05,7.9830193349628232e-05,181.94336699999999
4,OPEN_left_BC1_right_free,25,6,0,0.10000000149011612,0.00050000002374872565,2000,2000,2026091426,2,256,256,0,0,1024000256,1796575,7.7549502936330263e-05,7.827695531948863e-05,181.887608
4,OPEN_left_BC1_right_free,50,6,0,0.10000000149011612,0.00050000002374872565,8000,2000,2026091450,2,256,256,0,0,1024000256,6451523,-8.7493216019606483e-05,9.7691911488745426e-05,820.35282700000005
4,OPEN_left_BC1_right_free,50,6,0,0.10000000149011612,0.00050000002374872565,8000,2000,2026091451,2,256,256,0,0,1024000256,6462082,-0.00015659869320256564,0.00010106789656206772,795.44439699999998
4,OPEN_left_BC1_right_free,100,6,0,0.10000000149011612,0.00050000002374872565,32000,2000,2026091500,2,256,256,0,0,1024000256,31351515,-5.2308808116788393e-05,0.00011039011957214085,5089.1420349999999
4,OPEN_left_BC1_right_free,100,6,0,0.10000000149011612,0.00050000002374872565,32000,2000,2026091501,2,256,256,0,0,1024000256,31304163,4.7595884640111735e-05,0.00010430072854903921,4752.2260070000002
