amplitude,exponent,exponent_se_ols,ci_low_df1,ci_high_df1,log_sse,residual_dof,relative_measurement_se_max,temperature,metric,all_stationary,n_values
2.9821986561838956,-0.47339258452798816,0.005228104578189901,-0.539821951681947,-0.4069632173740293,2.6264518910322207e-05,1,0.007979075227429749,T10,mid_chain,0,25;50;100
3.634780815911795,-0.5577581526434945,0.01729228499986183,-0.7774774662124726,-0.33803883907451643,0.00028733311896670164,1,0.007938678678161728,T10,free_end,0,25;50;100
2.3223979206918353,-0.47688582476048574,0.0009865651579880463,-0.4894213236437123,-0.46435032587725916,9.352602252059279e-07,1,0.008233273656828294,T6,mid_chain,1,25;50;100
2.8884499173504645,-0.5610498895123203,0.016633001190322325,-0.7723922080178744,-0.3497075710067661,0.0002658411181506079,1,0.009029908756696809,T6,free_end,1,25;50;100
