temperature,n,x,mean_I_interpolated,se_I_interpolated,sqrt_n_mean_I,se_sqrt_n_mean_I
T10,25,0.0,0.6391011397421631,0.0007378138252328487,3.1955056987108152,0.0036890691261642432
T10,25,0.01,0.6369389194261346,0.0007815172360758307,3.184694597130673,0.003907586180379154
T10,25,0.02,0.634776699110106,0.0008252206469188128,3.1738834955505304,0.004126103234594064
T10,25,0.03,0.6326144787940776,0.0008689240577617948,3.163072393970388,0.004344620288808974
T10,25,0.04,0.6304522584780491,0.0009126274686047769,3.1522612923902456,0.004563137343023885
T10,25,0.05,0.6309998220038416,0.0009284485150333799,3.154999110019208,0.0046422425751669
T10,25,0.06,0.6320893422979984,0.0009386930885791071,3.160446711489992,0.004693465442895535
T10,25,0.07,0.6331788625921551,0.0009489376621248344,3.1658943129607753,0.004744688310624172
T10,25,0.08,0.6342683828863118,0.0009591822356705617,3.171341914431559,0.004795911178352808
T10,25,0.09,0.635023528273678,0.0009589283997156475,3.17511764136839,0.004794641998578237
T10,25,0.1,0.635611486207649,0.0009534253590104124,3.178057431038245,0.0047671267950520615
T10,25,0.11,0.63619944414162,0.0009479223183051774,3.1809972207081,0.004739611591525887
T10,25,0.12,0.6367874020755909,0.0009424192775999423,3.1839370103779547,0.004712096387999711
T10,25,0.13,0.6372063530642512,0.0009421949787822554,3.186031765321256,0.004710974893911277
T10,25,0.14,0.6374562971076008,0.0009472494218521167,3.187281485538004,0.004736247109260583
T10,25,0.15,0.6377062411509503,0.0009523038649219779,3.1885312057547517,0.00476151932460989
T10,25,0.16,0.6379561851942999,0.0009573583079918392,3.1897809259714993,0.004786791539959196
T10,25,0.17,0.6382338003542869,0.0009628193509020015,3.1911690017714345,0.004814096754510008
T10,25,0.18,0.6385667577475485,0.0009690935934927662,3.192833788737742,0.004845467967463831
T10,25,0.19,0.6388997151408101,0.000975367836083531,3.1944985757040505,0.004876839180417655
T10,25,0.2,0.6392326725340717,0.0009816420786742956,3.1961633626703585,0.004908210393371478
T10,25,0.21,0.6395652897765911,0.0009890067604024565,3.1978264488829558,0.004945033802012283
T10,25,0.22,0.6398962062653993,0.0010018236378175993,3.1994810313269966,0.005009118189087997
T10,25,0.23,0.6402271227542077,0.001014640515232742,3.2011356137710383,0.005073202576163709
T10,25,0.24,0.6405580392430159,0.0010274573926478845,3.2027901962150795,0.005137286963239423
T10,25,0.25,0.6408889557318243,0.0010402742700630272,3.2044447786591213,0.005201371350315136
T10,25,0.26,0.6411626760859529,0.001052018987598317,3.2058133804297646,0.005260094937991585
T10,25,0.27,0.6414363964400814,0.001063763705133607,3.207181982200407,0.005318818525668035
T10,25,0.28,0.6417101167942101,0.0010755084226688968,3.2085505839710504,0.005377542113344484
T10,25,0.29,0.6419838371483387,0.0010872531402041866,3.2099191857416938,0.005436265701020933
T10,25,0.3,0.6424524136962331,0.0010855811789458852,3.2122620684811656,0.005427905894729426
T10,25,0.31,0.6429599614828805,0.0010812258819288656,3.214799807414402,0.005406129409644328
T10,25,0.32,0.643467509269528,0.0010768705849118461,3.21733754634764,0.005384352924559231
T10,25,0.33,0.6439750570561754,0.0010725152878948265,3.219875285280877,0.005362576439474132
T10,25,0.34,0.6442764205663144,0.0010740051875381307,3.221382102831572,0.005370025937690653
T10,25,0.35000000000000003,0.6444746919381992,0.0010784176855115968,3.2223734596909956,0.005392088427557984
T10,25,0.36,0.644672963310084,0.0010828301834850632,3.22336481655042,0.005414150917425316
T10,25,0.37,0.6448712346819687,0.0010872426814585293,3.2243561734098436,0.005436213407292646
T10,25,0.38,0.6451698540776505,0.0010998713989798473,3.2258492703882524,0.005499356994899236
T10,25,0.39,0.6455688214971292,0.0011207163360490169,3.2278441074856463,0.005603581680245084
T10,25,0.4,0.645967788916608,0.0011415612731181864,3.22983894458304,0.005707806365590932
T10,25,0.41000000000000003,0.6463667563360868,0.001162406210187356,3.2318337816804337,0.00581203105093678
T10,25,0.42,0.6466653630482093,0.0011827013240652737,3.2333268152410466,0.005913506620326369
T10,25,0.43,0.6467632483456197,0.0012018967915606888,3.2338162417280985,0.006009483957803444
T10,25,0.44,0.6468611336430301,0.0012210922590561038,3.2343056682151508,0.006105461295280519
T10,25,0.45,0.6469590189404405,0.0012402877265515189,3.2347950947022026,0.006201438632757595
T10,25,0.46,0.6470955927111353,0.0012588627625450622,3.2354779635556765,0.006294313812725311
T10,25,0.47000000000000003,0.647425608848252,0.0012743356410292459,3.2371280442412598,0.006371678205146229
T10,25,0.48,0.6477556249853686,0.0012898085195134298,3.238778124926843,0.006449042597567149
T10,25,0.49,0.6480856411224853,0.0013052813979976135,3.2404282056124267,0.0065264069899880674
T10,25,0.5,0.648415657259602,0.0013207542764817975,3.2420782862980104,0.006603771382408988
T10,25,0.51,0.6487725206204408,0.0013460736618776843,3.2438626031022038,0.006730368309388422
T10,25,0.52,0.6491293839812795,0.0013713930472735712,3.2456469199063975,0.006856965236367855
T10,25,0.53,0.6494862473421184,0.001396712432669458,3.2474312367105918,0.00698356216334729
T10,25,0.54,0.6498431107029571,0.0014220318180653449,3.2492155535147855,0.007110159090326725
T10,25,0.55,0.6498147284664869,0.0014397116806345257,3.2490736423324345,0.007198558403172629
T10,25,0.56,0.649709297110555,0.0014558636386383657,3.248546485552775,0.007279318193191829
T10,25,0.5700000000000001,0.6496038657546231,0.0014720155966422054,3.2480193287731156,0.007360077983211027
T10,25,0.58,0.6494984343986913,0.0014881675546460451,3.247492171993456,0.007440837773230225
T10,25,0.59,0.6493778798994092,0.001499531419916551,3.246889399497046,0.007497657099582756
T10,25,0.6,0.6492497638284521,0.0015085012388203903,3.2462488191422607,0.0075425061941019516
T10,25,0.61,0.649121647757495,0.0015174710577242293,3.245608238787475,0.007587355288621147
T10,25,0.62,0.648993531686538,0.0015264408766280685,3.2449676584326896,0.0076322043831403424
T10,25,0.63,0.6491275058205759,0.0015397963943719825,3.245637529102879,0.0076989819718599126
T10,25,0.64,0.6495235701596088,0.0015575376109559713,3.247617850798044,0.007787688054779856
T10,25,0.65,0.6499196344986418,0.00157527882753996,3.249598172493209,0.0078763941376998
T10,25,0.66,0.6503156988376747,0.001593020044123949,3.2515784941883736,0.007965100220619744
T10,25,0.67,0.6506717620250436,0.001611993205330726,3.253358810125218,0.00805996602665363
T10,25,0.68,0.6509478229090846,0.0016334302557830802,3.2547391145454228,0.0081671512789154
T10,25,0.6900000000000001,0.6512238837931255,0.0016548673062354343,3.2561194189656275,0.008274336531177172
T10,25,0.7000000000000001,0.6514999446771663,0.0016763043566877885,3.2574997233858314,0.008381521783438942
T10,25,0.71,0.6517163984133412,0.0016963474552092823,3.2585819920667056,0.008481737276046411
T10,25,0.72,0.6516348164101854,0.0017094207940764764,3.258174082050927,0.008547103970382382
T10,25,0.73,0.6515532344070297,0.0017224941329436706,3.2577661720351485,0.008612470664718354
T10,25,0.74,0.651471652403874,0.0017355674718108646,3.2573582620193697,0.008677837359054323
T10,25,0.75,0.6513900704007183,0.0017486408106780588,3.2569503520035914,0.008743204053390295
T10,25,0.76,0.6514258330082169,0.001782302597148639,3.2571291650410843,0.008911512985743195
T10,25,0.77,0.6514615956157156,0.0018159643836192193,3.257307978078578,0.009079821918096096
T10,25,0.78,0.6514973582232142,0.0018496261700897995,3.257486791116071,0.009248130850448998
T10,25,0.79,0.6515331208307128,0.0018832879565603797,3.257665604153564,0.009416439782801898
T10,25,0.8,0.6517998662298855,0.0018965084296731544,3.2589993311494276,0.009482542148365771
T10,25,0.81,0.6521128081873931,0.0019056406401143679,3.260564040936966,0.00952820320057184
T10,25,0.8200000000000001,0.6524257501449007,0.0019147728505555816,3.2621287507245036,0.009573864252777908
T10,25,0.8300000000000001,0.6527386921024082,0.0019239050609967953,3.263693460512041,0.009619525304983976
T10,25,0.84,0.6527144001390323,0.001928430054828069,3.263572000695161,0.009642150274140344
T10,25,0.85,0.6525214912152145,0.0019306514403543728,3.2626074560760725,0.009653257201771863
T10,25,0.86,0.6523285822913969,0.0019328728258806765,3.2616429114569847,0.009664364129403382
T10,25,0.87,0.6521356733675792,0.0019350942114069803,3.2606783668378956,0.0096754710570349
T10,25,0.88,0.6519739811385229,0.0019437258641317918,3.2598699056926144,0.009718629320658959
T10,25,0.89,0.6518435056042281,0.001958767784055111,3.2592175280211406,0.009793838920275555
T10,25,0.9,0.6517130300699334,0.0019738097039784302,3.258565150349667,0.009869048519892152
T10,25,0.91,0.6515825545356386,0.0019888516239017495,3.257912772678193,0.009944258119508748
T10,25,0.92,0.6513398992043583,0.0019969168080005845,3.2566994960217914,0.009984584040002922
T10,25,0.93,0.6508728842791068,0.0019910285204504516,3.2543644213955343,0.009955142602252259
T10,25,0.9400000000000001,0.6504058693538555,0.0019851402329003186,3.2520293467692776,0.009925701164501593
T10,25,0.9500000000000001,0.6499388544286041,0.0019792519453501857,3.2496942721430204,0.009896259726750928
T10,25,0.96,0.6478802755263972,0.001950890257954532,3.2394013776319857,0.00975445128977266
T10,25,0.97,0.637863876739412,0.001810161571331268,3.18931938369706,0.009050807856656339
T10,25,0.98,0.6278474779524269,0.001669432884708004,3.1392373897621346,0.00834716442354002
T10,25,0.99,0.6178310791654419,0.00152870419808474,3.0891553958272095,0.0076435209904237005
T10,25,1.0,0.6078146803784568,0.001387975511461476,3.039073401892284,0.0069398775573073805
T10,50,0.0,0.43904655346487265,0.0010812587541072683,3.1045279521159355,0.007645653972465672
T10,50,0.01,0.4317748964205679,0.001137086216153668,3.053109572051027,0.00804041374236011
T10,50,0.02,0.4245032393762631,0.0011929136782000676,3.001691191986119,0.008435173512254548
T10,50,0.03,0.4264810064741243,0.0012310790337673359,3.015676117251172,0.008705043329534659
T10,50,0.04,0.42885236608867333,0.0012684928103354923,3.0324441618919673,0.008969598680746076
T10,50,0.05,0.4305681767799389,0.001274669415616799,3.0445767756422297,0.009013273875537324
T10,50,0.06,0.4322257164558015,0.0012780693834503855,3.0562973510911116,0.009037315278646775
T10,50,0.07,0.4331985192282349,0.001310508379962075,3.063176105462559,0.0092666936227298
T10,50,0.08,0.43407577731646885,0.0013469993339637323,3.0693792568929688,0.009524723632995181
