time,n_blocks,mean,std,rms,minimum,q025,median,q975,maximum,max_abs,aggregation_identity_max_abs_error
20,1000064,-1.4168990208089314e-05,0.00029704512520430245,0.0002973827137898183,-0.004847471759899413,-0.0006145504527842683,-1.664210589424897e-05,0.0006077441952653241,0.003843037253567161,0.004847471759899413,0.0
40,499968,-2.8339791878412666e-05,0.00041866582483905863,0.0004196234813583457,-0.0049972120115784335,-0.000864437419903885,-3.272462339687365e-05,0.0008421493122403147,0.0039935567607862765,0.0049972120115784335,1.1457501614131615e-13
60,333312,-4.2509687817619e-05,0.0005124354657904088,0.0005141948972300721,-0.00546254101769339,-0.001056505379090089,-4.814163349553535e-05,0.0010110385647230655,0.004172380147659638,0.00546254101769339,1.709743457922741e-13
80,249984,-5.667958375682533e-05,0.0005907104460962933,0.0005934222868223524,-0.005267970059473548,-0.0012286137373034634,-6.280781135403757e-05,0.0011530052466650065,0.004312858642652184,0.005267970059473548,2.55351295663786e-13
100,199936,-7.07979375250993e-05,0.0006612046557467425,0.000664982524643514,-0.00575005097847292,-0.0013730293422801743,-7.77139383705272e-05,0.00127555989592891,0.004642387078384491,0.00575005097847292,3.410605131648481e-13
120,166656,-8.5019375635238e-05,0.0007228173739760716,0.0007277981281678963,-0.0056292266896305065,-0.0015079278673091334,-9.180754614812603e-05,0.0013797451805102057,0.004520140870633682,0.0056292266896305065,4.4275694222051243e-13
140,142848,-9.918927157444433e-05,0.0007825049444017977,0.0007887637245312941,-0.00544719800936555,-0.0016413686849389762,-0.00010730292536320629,0.0014813538980114275,0.004270030723030782,0.00544719800936555,5.755396159656812e-13
160,124928,-0.00011334211725280587,0.0008351847617762171,0.0008428371363209903,-0.005493373764887455,-0.001758932762742965,-0.00012037413179422085,0.001561247969235413,0.0047552912160711,0.005493373764887455,4.96269692007445e-13
180,111104,-0.00012752906345285701,0.0008856488527880106,0.0008947795776910868,-0.005178674055120069,-0.001863086001285702,-0.00013674434699928462,0.001656873807462478,0.0043360271249544,0.005178674055120069,6.394884621840902e-13
200,99968,-0.0001415958750501986,0.0009346957519557036,0.0009453553835448275,-0.00526734070773438,-0.0019721847363725065,-0.00014779348470250753,0.0017362442142547561,0.004418055142160204,0.00526734070773438,7.522871214860061e-13
