case,kind,blind_lambda_R,blind_lambda_R_ci_low,blind_lambda_R_ci_high,blind_lambda_I,blind_lambda_I_ci_low,blind_lambda_I_ci_high,selected_edmd_lambda_R,selected_edmd_lambda_I,independent_lambda_I,test_residual,validation_residual,reportable
driven_dt1e-3,real,-0.8840365867894349,-0.9707476880389357,-0.8102795753712801,0.0,0.0,0.0,-0.9138946031796822,0.0,,0.7693862827853293,0.7809870409472499,1
driven_dt1e-3,complex,-7.067416764388441,-10.804170479331557,-4.451849060408029,5.058974835822409,0.00030785429014949653,6.98343142231047,-4.788003670621297,5.881028019876776,5.401,0.8072908234996479,0.8500915003060121,1
driven_dt2p5e-4,real,-0.9088249328401071,-1.0139497337659673,-0.8177719156747275,0.0,0.0,0.0,-0.951478623956966,0.0,,0.7841232160389905,0.7806370886658648,1
driven_dt2p5e-4,complex,-7.1982111972009495,-8.885166078144868,-6.401045150390516,6.280603887838313,5.3884960137583136,6.8620024261913795,-5.170430718959359,5.948782943638818,5.5,0.6682372864002155,0.7328717909023593,1
equilibrium_dt1e-3,real,-0.9507312934606321,-1.0751248006643819,-0.8419599371952068,0.0,0.0,0.0,-0.9375725035651862,0.0,,0.773765024686239,0.7763177896066887,1
equilibrium_dt1e-3,complex,-6.986001557231611,-11.13653364650076,-5.562591583725404,4.43825758994834,0.024134837861876337,6.603663766782522,-5.675508016774291,5.653942218795629,5.081,0.7505700544412527,0.7944102717045528,1
equilibrium_dt2p5e-4,real,-0.826371421037876,-0.9083244481302255,-0.7586767325708484,0.0,0.0,0.0,-0.9085947602968656,0.0,,0.7732059672097009,0.7773004043546059,1
equilibrium_dt2p5e-4,complex,-5.9669693434863165,-7.085071968075576,-5.261283838960857,5.087898800683592,4.48683959124495,5.558005918437489,-5.407876817128063,4.997883124359827,5.264,0.6954713968966477,0.7128195117456729,1
