case,split,stream_id,function,mean_Lf
driven_dt1e-3,test,2,I1,0.08099038945414558
driven_dt1e-3,test,2,I2,-0.002484077746189452
driven_dt1e-3,test,2,I3,0.1660602476373372
driven_dt1e-3,test,2,I1_sq,0.4197765515576
driven_dt1e-3,test,2,I2_sq,-0.019784654077508918
driven_dt1e-3,test,2,I3_sq,0.9773635096054701
driven_dt1e-3,test,2,I1_I2,0.10198699919045737
driven_dt1e-3,test,2,I2_I3,0.08337359182718009
driven_dt1e-3,test,2,I1_I3,0.4548039914906319
driven_dt1e-3,test,2,sin_theta1,-0.3019697481653953
driven_dt1e-3,test,2,cos_theta1,0.29877121474929436
driven_dt1e-3,test,2,sin_theta3,-71.03998253268097
driven_dt1e-3,test,2,cos_theta3,178.62090511113195
driven_dt1e-3,test,2,I1_sin_theta1,-0.012670306923044515
driven_dt1e-3,test,2,I2_sin_theta1,-1.076715445617653
driven_dt1e-3,test,2,I3_sin_theta3,0.08846476451835962
driven_dt1e-3,test,2,I2_sin_theta3,-56.29625795287147
driven_dt1e-3,test,2,I1_I2_sin_theta1,-0.10076343394129535
driven_dt1e-3,test,2,I1_I2_cos_theta1,-0.2231414739752718
driven_dt1e-3,test,2,I3_I2_sin_theta3,0.07894066099955893
driven_dt1e-3,test,2,I3_I2_cos_theta3,-0.2967172996110741
driven_dt1e-3,test,2,M,0.24456655934529367
driven_dt1e-3,test,2,M_sq,2.657684572102096
driven_dt1e-3,test,2,E,0.464644660693308
driven_dt1e-3,test,3,I1,0.0006770369718693981
driven_dt1e-3,test,3,I2,0.0016047296638502149
driven_dt1e-3,test,3,I3,0.24073018071418312
driven_dt1e-3,test,3,I1_sq,-0.09029063790442372
driven_dt1e-3,test,3,I2_sq,-0.0027554386348645765
driven_dt1e-3,test,3,I3_sq,1.7672051145766083
driven_dt1e-3,test,3,I1_I2,0.008307624581188857
driven_dt1e-3,test,3,I2_I3,0.41505738194413605
driven_dt1e-3,test,3,I1_I3,0.2937470175524274
driven_dt1e-3,test,3,sin_theta1,-0.738727894419059
driven_dt1e-3,test,3,cos_theta1,0.3077899492753881
driven_dt1e-3,test,3,sin_theta3,2.734354721086786
driven_dt1e-3,test,3,cos_theta3,-6.357196390335005
driven_dt1e-3,test,3,I1_sin_theta1,0.03905107635792494
driven_dt1e-3,test,3,I2_sin_theta1,-1.2448561618337572
driven_dt1e-3,test,3,I3_sin_theta3,-0.06647710294491901
driven_dt1e-3,test,3,I2_sin_theta3,6.553688378541114
driven_dt1e-3,test,3,I1_I2_sin_theta1,0.07580490680607428
driven_dt1e-3,test,3,I1_I2_cos_theta1,-0.0023698968349362922
driven_dt1e-3,test,3,I3_I2_sin_theta3,-0.3416422871760022
driven_dt1e-3,test,3,I3_I2_cos_theta3,-0.18773388789524612
driven_dt1e-3,test,3,M,0.24301194734990297
driven_dt1e-3,test,3,M_sq,3.1083830861928323
driven_dt1e-3,test,3,E,0.9455479988568986
driven_dt1e-3,test,5,I1,-0.03861480519392081
driven_dt1e-3,test,5,I2,-0.0011110808337968143
driven_dt1e-3,test,5,I3,0.12489117790083064
driven_dt1e-3,test,5,I1_sq,-0.16291577947084132
driven_dt1e-3,test,5,I2_sq,-0.02387524659738771
driven_dt1e-3,test,5,I3_sq,0.08373537345701242
driven_dt1e-3,test,5,I1_I2,-0.16209146942255767
driven_dt1e-3,test,5,I2_I3,0.4127819664455373
driven_dt1e-3,test,5,I1_I3,-0.06788439109074446
driven_dt1e-3,test,5,sin_theta1,-1.238204359387109
driven_dt1e-3,test,5,cos_theta1,1.863073498629707
driven_dt1e-3,test,5,sin_theta3,4.321651452195981
driven_dt1e-3,test,5,cos_theta3,-1.0528195351444507
driven_dt1e-3,test,5,I1_sin_theta1,-0.027906033784700166
driven_dt1e-3,test,5,I2_sin_theta1,0.7142990912281423
driven_dt1e-3,test,5,I3_sin_theta3,-0.12366592684664009
driven_dt1e-3,test,5,I2_sin_theta3,20.134820918691087
driven_dt1e-3,test,5,I1_I2_sin_theta1,0.009020271993786385
driven_dt1e-3,test,5,I1_I2_cos_theta1,0.14636166060393022
driven_dt1e-3,test,5,I3_I2_sin_theta3,-0.36947426217199314
driven_dt1e-3,test,5,I3_I2_cos_theta3,-0.20575495494078555
driven_dt1e-3,test,5,M,0.08516529187311117
driven_dt1e-3,test,5,M_sq,0.2625565592532563
driven_dt1e-3,test,5,E,0.0976488984425762
driven_dt1e-3,test,9,I1,-0.05030362954625948
driven_dt1e-3,test,9,I2,0.0006914589293789059
driven_dt1e-3,test,9,I3,0.024256021027713685
driven_dt1e-3,test,9,I1_sq,-0.26546223345593195
driven_dt1e-3,test,9,I2_sq,0.0009833786855381514
driven_dt1e-3,test,9,I3_sq,-0.44682834659604254
driven_dt1e-3,test,9,I1_I2,-0.10638596672971543
driven_dt1e-3,test,9,I2_I3,-0.08107494817798655
driven_dt1e-3,test,9,I1_I3,0.021101387562158402
driven_dt1e-3,test,9,sin_theta1,-27.139105911066427
driven_dt1e-3,test,9,cos_theta1,5.141885497677435
driven_dt1e-3,test,9,sin_theta3,-0.4186830296159349
driven_dt1e-3,test,9,cos_theta3,-0.6829339159848362
driven_dt1e-3,test,9,I1_sin_theta1,0.048240686602803694
driven_dt1e-3,test,9,I2_sin_theta1,-14.527050603392276
driven_dt1e-3,test,9,I3_sin_theta3,0.12720108570588545
driven_dt1e-3,test,9,I2_sin_theta3,1.1883128567429806
driven_dt1e-3,test,9,I1_I2_sin_theta1,0.06745528233725079
driven_dt1e-3,test,9,I1_I2_cos_theta1,0.06952196725913132
driven_dt1e-3,test,9,I3_I2_sin_theta3,0.428778886545037
driven_dt1e-3,test,9,I3_I2_cos_theta3,0.20457065306488387
driven_dt1e-3,test,9,M,-0.025356149589165926
driven_dt1e-3,test,9,M_sq,-1.0440262560575155
driven_dt1e-3,test,9,E,-0.07009370736313665
driven_dt1e-3,test,10,I1,-0.038557673442903985
driven_dt1e-3,test,10,I2,0.0022122824333759136
driven_dt1e-3,test,10,I3,0.030671770685809473
driven_dt1e-3,test,10,I1_sq,0.012217867385635624
driven_dt1e-3,test,10,I2_sq,0.015257755369406203
driven_dt1e-3,test,10,I3_sq,-0.2864015552428649
driven_dt1e-3,test,10,I1_I2,0.014435612567854436
driven_dt1e-3,test,10,I2_I3,0.03100762354520452
driven_dt1e-3,test,10,I1_I3,0.004279468290266335
driven_dt1e-3,test,10,sin_theta1,0.664581060913263
driven_dt1e-3,test,10,cos_theta1,0.2282116614420147
driven_dt1e-3,test,10,sin_theta3,-1.4346538458356723
driven_dt1e-3,test,10,cos_theta3,-0.8914601878209175
driven_dt1e-3,test,10,I1_sin_theta1,0.027727042383554553
driven_dt1e-3,test,10,I2_sin_theta1,-0.46488087160226693
driven_dt1e-3,test,10,I3_sin_theta3,0.09309957582571385
driven_dt1e-3,test,10,I2_sin_theta3,-2.2212063242839535
driven_dt1e-3,test,10,I1_I2_sin_theta1,0.1442894329891474
driven_dt1e-3,test,10,I1_I2_cos_theta1,-0.09258671769035276
driven_dt1e-3,test,10,I3_I2_sin_theta3,0.5503990507843403
driven_dt1e-3,test,10,I3_I2_cos_theta3,-0.028076561994843683
driven_dt1e-3,test,10,M,-0.005673620323718354
driven_dt1e-3,test,10,M_sq,-0.15948052368117227
driven_dt1e-3,test,10,E,-0.1356720584038259
driven_dt1e-3,test,14,I1,-0.032475068647432735
driven_dt1e-3,test,14,I2,-0.0010318466273620721
driven_dt1e-3,test,14,I3,0.13934623755063014
driven_dt1e-3,test,14,I1_sq,-0.23093122056198156
driven_dt1e-3,test,14,I2_sq,-0.015633762681794266
driven_dt1e-3,test,14,I3_sq,1.4425071239759883
driven_dt1e-3,test,14,I1_I2,-0.016169682397298248
driven_dt1e-3,test,14,I2_I3,0.3238484848993297
driven_dt1e-3,test,14,I1_I3,0.04012519724064697
