bc_label,n,valid_trajectories,mean_I_spatial,I_range,relative_I_range,max_action_z_from_weighted_constant,sine_pointwise_95_failures,sine_max_abs_z,sine_bonferroni_threshold_approx,sine_simultaneous_pass
BC1,25,512,0.49467016564708577,0.004420484680307479,0.008936226575388824,6.373224238122207,19,8.678126289279529,3.0780880728421605,False
BC1,50,512,0.34679834419027117,0.008251901469699563,0.02379452384343609,9.406051757302361,40,11.551623512961957,3.2848385736450707,False
BC1,100,512,0.24921949993997064,0.024252483047399687,0.09731374572712556,14.624477441711798,71,12.92852477395248,3.4780633727349803,False
BC2,25,512,0.4950644247423892,0.0028225575784316947,0.005701394479921347,3.0009198998763535,17,7.071299894695698,3.0780880728421605,False
BC2,50,512,0.3469028764521868,0.008368860695646185,0.024124506493677502,8.892028112763727,39,12.629655953025651,3.2848385736450707,False
BC2,100,512,0.24744584169913847,0.02180842663689872,0.0881341407361975,13.652905552105281,78,12.976981019546802,3.4780633727349803,False
BC3,25,512,2.433711410931809,0.07601862409170357,0.031235677225426608,27.35762324648743,24,210.19189206112412,3.0780880728421605,False
BC3,50,512,2.5637511008383016,0.24217723469035812,0.09446206950868609,40.73699737371197,47,243.84386380912744,3.2848385736450707,False
BC3,100,512,2.6355331707358722,0.301479803950639,0.1143904418651131,59.16312674405023,87,231.96829722080582,3.4780633727349803,False
BC3b,25,512,2.4538367842879887,0.26163638803687883,0.10662338657246753,72.09386841792984,24,232.93861991511696,3.0780880728421605,False
BC3b,50,512,2.481042758363264,0.26854894598462,0.10824035381066179,66.20039739591998,47,266.31911752893336,3.2848385736450707,False
BC3b,100,512,2.5283732039737314,0.26167372368241315,0.10349489674671138,57.53401336808976,77,254.0536260363347,3.4780633727349803,False
