label,temperature,bin_index,abs_rate_left,abs_rate_right,abs_rate_center,positive_count,negative_count,supported,log_ratio_over_t
T6,6.0,0,0.0,0.003348416865614228,0.001674208432807114,21235,21138,1,0.0002289197589039448
T6,6.0,1,0.003348416865614228,0.006696833731228456,0.0050226252984213425,20981,21013,1,-7.620137684849998e-05
T6,6.0,2,0.006696833731228456,0.010045250596842685,0.00837104216403557,20742,20776,1,-8.189220964524193e-05
T6,6.0,3,0.010045250596842685,0.013393667462456913,0.011719459029649798,20298,20314,1,-3.9397224534148194e-05
T6,6.0,4,0.013393667462456913,0.01674208432807114,0.015067875895264028,19483,19604,1,-0.000309566829177546
T6,6.0,5,0.01674208432807114,0.02009050119368537,0.018416292760878257,19034,18448,1,0.001563544506172424
T6,6.0,6,0.02009050119368537,0.023438918059299596,0.021764709626492483,18212,18420,1,-0.0005678156677312548
T6,6.0,7,0.023438918059299596,0.026787334924913826,0.02511312649210671,17591,17481,1,0.0003136415393860749
T6,6.0,8,0.026787334924913826,0.030135751790528055,0.028461543357720942,17077,17028,1,0.00014367404695979688
T6,6.0,9,0.030135751790528055,0.03348416865614228,0.03180996022333517,16277,16400,1,-0.00037641332103957625
T6,6.0,10,0.03348416865614228,0.03683258552175651,0.035158377088949394,15699,15705,1,-1.9105846621468123e-05
T6,6.0,11,0.03683258552175651,0.04018100238737074,0.03850679395456362,14868,15064,1,-0.0006548269459922785
T6,6.0,12,0.04018100238737074,0.043529419252984966,0.04185521082017785,14361,14438,1,-0.00026737103192438205
T6,6.0,13,0.043529419252984966,0.04687783611859919,0.04520362768579208,13893,13620,1,0.0009922907722679096
T6,6.0,14,0.04687783611859919,0.050226252984213425,0.04855204455140631,12970,13114,1,-0.000552068175653756
T6,6.0,15,0.050226252984213425,0.05357466984982765,0.05190046141702054,12658,12653,1,1.9754257299351578e-05
T6,6.0,16,0.05357466984982765,0.05692308671544188,0.055248878282634764,11900,11768,1,0.0005577208409173644
T6,6.0,17,0.05692308671544188,0.06027150358105611,0.05859729514824899,11178,11500,1,-0.0014199737260849
T6,6.0,18,0.06027150358105611,0.06361992044667034,0.06194571201386322,10669,10681,1,-5.6206094911711496e-05
T6,6.0,19,0.06361992044667034,0.06696833731228456,0.06529412887947744,10326,10448,1,-0.0005872793038308934
T6,6.0,20,0.06696833731228456,0.07031675417789879,0.06864254574509168,9830,9889,1,-0.00029920470643892647
T6,6.0,21,0.07031675417789879,0.07366517104351301,0.0719909626107059,9256,9105,1,0.0008224138355902043
T6,6.0,22,0.07366517104351301,0.07701358790912725,0.07533937947632013,8923,8869,1,0.0003035081261849572
T6,6.0,23,0.07701358790912725,0.08036200477474148,0.07868779634193437,8485,8263,1,0.001325609048357112
T6,6.0,24,0.08036200477474148,0.0837104216403557,0.08203621320754859,7848,7807,1,0.00026189775624540075
T6,6.0,25,0.0837104216403557,0.08705883850596993,0.08538463007316283,7565,7595,1,-0.000197889440370846
T6,6.0,26,0.08705883850596993,0.09040725537158416,0.08873304693877704,7123,7065,1,0.00040879844298629607
T6,6.0,27,0.09040725537158416,0.09375567223719838,0.09208146380439128,6801,6897,1,-0.0007008437127826283
T6,6.0,28,0.09375567223719838,0.09710408910281262,0.0954298806700055,6505,6458,1,0.0003625719814192515
T6,6.0,29,0.09710408910281262,0.10045250596842685,0.09877829753561973,6145,5975,1,0.0014027322600211893
T6,6.0,30,0.10045250596842685,0.10380092283404108,0.10212671440123397,5710,5651,1,0.0005193251510106297
T6,6.0,31,0.10380092283404108,0.1071493396996553,0.10547513126684818,5359,5336,1,0.0002150540949695351
T6,6.0,32,0.1071493396996553,0.11049775656526953,0.10882354813246242,5142,5021,1,0.0011906495895564607
T6,6.0,33,0.11049775656526953,0.11384617343088375,0.11217196499807663,4800,5061,1,-0.002647408715904787
T6,6.0,34,0.11384617343088375,0.11719459029649798,0.11552038186369087,4576,4543,1,0.00036188336501153013
T6,6.0,35,0.11719459029649798,0.12054300716211222,0.1188687987293051,4336,4326,1,0.0001154468303238993
T6,6.0,36,0.12054300716211222,0.12389142402772645,0.12221721559491933,4077,4158,1,-0.0009836382799352388
T6,6.0,37,0.12389142402772645,0.12723984089334067,0.12556563246053357,3885,3895,1,-0.00012853477515504332
T6,6.0,38,0.12723984089334067,0.1305882577589549,0.1289140493261478,3646,3668,1,-0.00030079390688735774
T6,6.0,39,0.1305882577589549,0.13393667462456912,0.13226246619176202,3494,3542,1,-0.000682216382438848
T6,6.0,40,0.13393667462456912,0.13728509149018336,0.13561088305737623,3253,3350,1,-0.001469134917288033
T6,6.0,41,0.13728509149018336,0.14063350835579758,0.13895929992299047,3048,3163,1,-0.0018517653249556002
T6,6.0,42,0.14063350835579758,0.14398192522141182,0.1423077167886047,2962,2926,1,0.0006114206623837221
T6,6.0,43,0.14398192522141182,0.14733034208702603,0.14565613365421892,2710,2769,1,-0.0010768804648607628
T6,6.0,44,0.14733034208702603,0.15067875895264027,0.14900455051983313,2660,2584,1,0.0014493768436626094
T6,6.0,45,0.15067875895264027,0.1540271758182545,0.1523529673854474,2434,2471,1,-0.0007543466220568769
T6,6.0,46,0.1540271758182545,0.15737559268386872,0.15570138425106161,2297,2381,1,-0.001795832189888226
T6,6.0,47,0.15737559268386872,0.16072400954948296,0.15904980111667583,2169,2199,1,-0.0006868239863943419
T6,6.0,48,0.16072400954948296,0.16407242641509717,0.16239821798229007,2090,1982,1,0.002652881503446169
T6,6.0,49,0.16407242641509717,0.1674208432807114,0.1657466348479043,1915,1884,1,0.0008160223239219024
T6,6.0,50,0.1674208432807114,0.17076926014632562,0.16909505171351852,1907,1906,1,2.6226069313577077e-05
T6,6.0,51,0.17076926014632562,0.17411767701193986,0.17244346857913273,1713,1732,1,-0.0005515295399130271
T6,6.0,52,0.17411767701193986,0.1774660938775541,0.175791885444747,1674,1622,1,0.0015778008187031245
T6,6.0,53,0.1774660938775541,0.18081451074316832,0.1791403023103612,1535,1543,1,-0.0002599096170931666
T6,6.0,54,0.18081451074316832,0.18416292760878256,0.18248871917597542,1472,1456,1,0.0005464535266095116
T6,6.0,55,0.18416292760878256,0.18751134447439677,0.18583713604158966,1395,1412,1,-0.0006056361898860701
T6,6.0,56,0.18751134447439677,0.190859761340011,0.1891855529072039,1278,1249,1,0.0011476562405951202
T6,6.0,57,0.190859761340011,0.19420817820562525,0.19253396977281811,1188,1199,1,-0.0004608327552461976
T6,6.0,58,0.19420817820562525,0.19755659507123946,0.19588238663843235,1104,1181,1,-0.0033710794680160833
T6,6.0,59,0.19755659507123946,0.2009050119368537,0.1992308035040466,1169,1110,1,0.002589433358284425
T6,6.0,60,0.2009050119368537,0.2042534288024679,0.2025792203696608,989,1032,1,-0.0021279807209397946
T6,6.0,61,0.2042534288024679,0.20760184566808215,0.20592763723527502,948,942,1,0.0003174613839329372
T6,6.0,62,0.20760184566808215,0.21095026253369636,0.20927605410088926,926,917,1,0.0004883381194857315
T6,6.0,63,0.21095026253369636,0.2142986793993106,0.2126244709665035,834,837,1,-0.0001795334065364298
T6,6.0,64,0.2142986793993106,0.21764709626492484,0.2159728878321177,773,770,1,0.00019442668698461873
T6,6.0,65,0.21764709626492484,0.22099551313053906,0.21932130469773195,738,736,1,0.0001356852935798163
