label,temperature,positive_count,negative_count,zero_count,positive_fraction_nonzero,naive_counting_z,stream_sign_mean,stream_sign_se,stream_sign_sigma_from_zero
T6,6.0,500097,499967,0,0.5000649958402662,0.12999584019966937,0.00012999168053244592,0.0005601566646889879,0.2320630793612361
T10,10.0,499962,500102,0,0.4999300044797133,-0.13999552021502853,-0.00013999104057340323,0.000624044751532487,-0.22432852808972864
