label,temperature,observable,estimate,stream_se,sigma_from_zero,bootstrap_ci_low,bootstrap_ci_high,n_streams,n_blocks
T6,6.0,q_left_rate,0.0007678442243200672,0.0015975595282593106,0.4806357514306242,-0.0023464676473688756,0.0038863464106620896,128,1000064
T6,6.0,q_right_rate,-0.0007567154907558033,0.0015967535073040705,-0.47390877007273835,-0.0038776283565802984,0.0023799250150327096,128,1000064
T6,6.0,entropy_rate,-1.854788927375325e-06,1.0302400112670317e-06,-1.8003464310168162,-3.901957679884457e-06,1.3515396393200435e-07,128,1000064
T6,6.0,energy_current,0.0007622798575379373,0.0015971535781382003,0.47727398790699005,-0.0023507642448127174,0.0038428207327399523,128,1000064
T6,6.0,action_current,-2.148879564393059e-05,0.0004317674880583676,-0.04976936948301599,-0.000847036555904373,0.00081505589718342,128,1000064
T10,10.0,q_left_rate,-0.002481027056644796,0.003145898263188947,-0.7886545746491554,-0.008626547147609926,0.0036077969642310283,128,1000064
T10,10.0,q_right_rate,0.0024822350496358945,0.0031455504292193467,0.7891258161300336,-0.0034715862006976816,0.008807062866799413,128,1000064
T10,10.0,entropy_rate,-1.2079929910926944e-07,8.984429169407975e-07,-0.13445406138944435,-1.928062941512113e-06,1.6848914975604784e-06,128,1000064
T10,10.0,energy_current,-0.0024816310531403526,0.003145721143483121,-0.7888909855476095,-0.0086447151867384,0.003588872886743442,128,1000064
T10,10.0,action_current,-8.46664180576748e-05,0.0005743948799654038,-0.14740106677617726,-0.0012118465731562535,0.001051662693705436,128,1000064
