theta1,theta3,density
-1.98968,-0.942478,0.0171616
-1.98968,-0.733038,0.0152621
-1.98968,-0.523599,0.0130161
-1.98968,-0.314159,0.0120632
-1.98968,-0.10472,0.0120952
-1.98968,0.10472,0.0124977
-1.98968,0.314159,0.0127941
-1.98968,0.523599,0.0138649
-1.98968,0.733038,0.0156757
-1.98968,0.942478,0.0159971
-1.98968,1.15192,0.0177601
-1.98968,1.36136,0.0213447
-1.98968,1.5708,0.0260374
-1.98968,1.78024,0.0294941
-1.98968,1.98968,0.0332383
-1.98968,2.19911,0.0396021
-1.98968,2.40855,0.0448847
-1.98968,2.61799,0.0493588
-1.98968,2.82743,0.0536202
-1.98968,3.03687,0.0563528
-1.78024,-3.03687,0.0484384
-1.78024,-2.82743,0.0469663
-1.78024,-2.61799,0.0446115
-1.78024,-2.40855,0.0405062
-1.78024,-2.19911,0.0352505
-1.78024,-1.98968,0.0308328
-1.78024,-1.78024,0.0270197
-1.78024,-1.5708,0.0236222
-1.78024,-1.36136,0.0194773
-1.78024,-1.15192,0.0163744
-1.78024,-0.942478,0.0139613
-1.78024,-0.733038,0.0122806
-1.78024,-0.523599,0.0112458
-1.78024,-0.314159,0.0105946
-1.78024,-0.10472,0.0103971
-1.78024,0.10472,0.0106511
-1.78024,0.314159,0.0108697
-1.78024,0.523599,0.0114286
-1.78024,0.733038,0.0131017
-1.78024,0.942478,0.0142491
-1.78024,1.15192,0.01535
-1.78024,1.36136,0.0177909
-1.78024,1.5708,0.0212452
-1.78024,1.78024,0.0252832
-1.78024,1.98968,0.0300486
-1.78024,2.19911,0.0345085
-1.78024,2.40855,0.0393143
-1.78024,2.61799,0.0415374
-1.78024,2.82743,0.0425932
-1.78024,3.03687,0.0468176
-1.5708,-3.03687,0.0412699
-1.5708,-2.82743,0.0403738
-1.5708,-2.61799,0.038161
-1.5708,-2.40855,0.0344338
-1.5708,-2.19911,0.0308359
-1.5708,-1.98968,0.0266989
-1.5708,-1.78024,0.023024
-1.5708,-1.5708,0.0205043
-1.5708,-1.36136,0.0174735
-1.5708,-1.15192,0.01393
-1.5708,-0.942478,0.0117753
-1.5708,-0.733038,0.0104342
-1.5708,-0.523599,0.00987057
-1.5708,-0.314159,0.00940269
-1.5708,-0.10472,0.00892552
-1.5708,0.10472,0.00898888
-1.5708,0.314159,0.009774
-1.5708,0.523599,0.00910844
-1.5708,0.733038,0.00994499
-1.5708,0.942478,0.0121619
-1.5708,1.15192,0.0139616
-1.5708,1.36136,0.0157426
-1.5708,1.5708,0.0182279
-1.5708,1.78024,0.0203884
-1.5708,1.98968,0.0245795
-1.5708,2.19911,0.0302537
-1.5708,2.40855,0.0339618
-1.5708,2.61799,0.035783
-1.5708,2.82743,0.0361757
-1.5708,3.03687,0.0390137
-1.36136,-3.03687,0.0347383
-1.36136,-2.82743,0.0350614
-1.36136,-2.61799,0.031705
-1.36136,-2.40855,0.0288453
-1.36136,-2.19911,0.0264367
-1.36136,-1.98968,0.0242736
-1.36136,-1.78024,0.0210275
-1.36136,-1.5708,0.0171951
-1.36136,-1.36136,0.0137844
-1.36136,-1.15192,0.0114604
-1.36136,-0.942478,0.0103197
-1.36136,-0.733038,0.00932886
-1.36136,-0.523599,0.00898909
-1.36136,-0.314159,0.00799012
-1.36136,-0.10472,0.00755567
-1.36136,0.10472,0.00763112
-1.36136,0.314159,0.00798263
-1.36136,0.523599,0.00754915
-1.36136,0.733038,0.00878631
-1.36136,0.942478,0.0104121
-1.36136,1.15192,0.0117519
-1.36136,1.36136,0.0135269
-1.36136,1.5708,0.0157916
-1.36136,1.78024,0.0184622
-1.36136,1.98968,0.0221059
-1.36136,2.19911,0.0263115
-1.36136,2.40855,0.0294707
-1.36136,2.61799,0.0308898
-1.36136,2.82743,0.0327745
-1.36136,3.03687,0.0338844
-1.15192,-3.03687,0.0293393
-1.15192,-2.82743,0.0296807
-1.15192,-2.61799,0.0263825
-1.15192,-2.40855,0.0233055
-1.15192,-2.19911,0.0214817
-1.15192,-1.98968,0.0203609
-1.15192,-1.78024,0.0177854
-1.15192,-1.5708,0.0138707
-1.15192,-1.36136,0.0111745
-1.15192,-1.15192,0.00995467
-1.15192,-0.942478,0.00906695
-1.15192,-0.733038,0.00802126
-1.15192,-0.523599,0.00697379
-1.15192,-0.314159,0.00627089
-1.15192,-0.10472,0.00669807
-1.15192,0.10472,0.00662665
-1.15192,0.314159,0.00726251
-1.15192,0.523599,0.0066618
-1.15192,0.733038,0.00796152
-1.15192,0.942478,0.00921742
-1.15192,1.15192,0.00922823
-1.15192,1.36136,0.0114691
-1.15192,1.5708,0.0143802
-1.15192,1.78024,0.0167184
-1.15192,1.98968,0.0198608
-1.15192,2.19911,0.0229624
-1.15192,2.40855,0.0252948
-1.15192,2.61799,0.0279774
-1.15192,2.82743,0.0295763
-1.15192,3.03687,0.028431
-0.942478,-3.03687,0.026286
-0.942478,-2.82743,0.025833
-0.942478,-2.61799,0.0228654
-0.942478,-2.40855,0.0200615
-0.942478,-2.19911,0.0180631
-0.942478,-1.98968,0.017022
-0.942478,-1.78024,0.0148829
-0.942478,-1.5708,0.0118338
-0.942478,-1.36136,0.0100279
-0.942478,-1.15192,0.00863081
-0.942478,-0.942478,0.00756875
-0.942478,-0.733038,0.00715723
-0.942478,-0.523599,0.00620787
-0.942478,-0.314159,0.00553652
-0.942478,-0.10472,0.00555941
-0.942478,0.10472,0.00537963
-0.942478,0.314159,0.00555856
-0.942478,0.523599,0.00584709
-0.942478,0.733038,0.00637104
-0.942478,0.942478,0.00771059
-0.942478,1.15192,0.00799146
-0.942478,1.36136,0.00983732
-0.942478,1.5708,0.0121008
-0.942478,1.78024,0.0142675
-0.942478,1.98968,0.0174093
-0.942478,2.19911,0.0193671
-0.942478,2.40855,0.0218928
-0.942478,2.61799,0.0249047
-0.942478,2.82743,0.025473
-0.942478,3.03687,0.0254135
-0.733038,-3.03687,0.0231902
-0.733038,-2.82743,0.0229039
-0.733038,-2.61799,0.0216347
-0.733038,-2.40855,0.0189931
-0.733038,-2.19911,0.0161823
-0.733038,-1.98968,0.0144066
-0.733038,-1.78024,0.0122888
-0.733038,-1.5708,0.0102216
-0.733038,-1.36136,0.00894609
-0.733038,-1.15192,0.00712541
