h,a_eff,rmse
0.1,0.798752,0.00109629
0.1,0.800252,0.00113395
0.1,0.801752,0.00117185
0.1,0.803252,0.00120996
0.1,0.804752,0.00124826
0.1,0.806252,0.00128674
0.1,0.807752,0.00132538
0.1,0.809252,0.00136416
0.1,0.810752,0.00140307
0.1,0.812252,0.00144211
0.1,0.813752,0.00148127
0.1,0.815252,0.00152052
0.1,0.816752,0.00155988
0.1,0.818252,0.00159933
0.1,0.819752,0.00163886
0.1,0.821252,0.00167847
0.1,0.822752,0.00171815
0.15,0.669315,0.00240023
0.15,0.670815,0.00236024
0.15,0.672315,0.00232027
0.15,0.673815,0.00228031
0.15,0.675315,0.00224038
0.15,0.676815,0.00220046
0.15,0.678315,0.00216057
0.15,0.679815,0.00212069
0.15,0.681315,0.00208085
0.15,0.682815,0.00204103
0.15,0.684315,0.00200124
0.15,0.685815,0.00196149
0.15,0.687315,0.00192176
0.15,0.688815,0.00188208
0.15,0.690315,0.00184243
0.15,0.691815,0.00180282
0.15,0.693315,0.00176327
0.15,0.694815,0.00172376
0.15,0.696315,0.0016843
0.15,0.697815,0.0016449
0.15,0.699315,0.00160557
0.15,0.700815,0.0015663
0.15,0.702315,0.00152711
0.15,0.703815,0.00148799
0.15,0.705315,0.00144897
0.15,0.706815,0.00141003
0.15,0.708315,0.00137121
0.15,0.709815,0.00133249
0.15,0.711315,0.0012939
0.15,0.712815,0.00125544
0.15,0.714315,0.00121713
0.15,0.715815,0.00117899
0.15,0.717315,0.00114103
0.15,0.718815,0.00110327
0.15,0.720315,0.00106573
0.15,0.721815,0.00102844
0.15,0.723315,0.000991427
0.15,0.724815,0.000954723
0.15,0.726315,0.000918367
0.15,0.727815,0.000882401
0.15,0.729315,0.000846877
0.15,0.730815,0.000811853
0.15,0.732315,0.000777399
0.15,0.733815,0.000743593
0.15,0.735315,0.00071053
0.15,0.736815,0.000678318
0.15,0.738315,0.000647087
0.15,0.739815,0.000616986
0.15,0.741315,0.00058819
0.15,0.742815,0.0005609
0.15,0.744315,0.000535349
0.15,0.745815,0.000511798
0.15,0.747315,0.000490536
0.15,0.748815,0.000471874
0.15,0.750315,0.000456133
0.15,0.751815,0.000443624
0.15,0.753315,0.00043463
0.15,0.754815,0.00042937
0.15,0.756315,0.000427986
0.15,0.757815,0.000430515
0.15,0.759315,0.00043689
0.15,0.760815,0.000446949
0.15,0.762315,0.00046045
0.15,0.763815,0.000477104
0.15,0.765315,0.000496593
0.15,0.766815,0.0005186
0.15,0.768315,0.000542819
0.15,0.769815,0.000568969
0.15,0.771315,0.000596796
0.15,0.772815,0.000626078
0.15,0.774315,0.00065662
0.15,0.775815,0.000688257
0.15,0.777315,0.000720844
0.15,0.778815,0.000754258
0.15,0.780315,0.000788396
0.15,0.781815,0.000823167
0.15,0.783315,0.000858496
0.15,0.784815,0.000894316
0.15,0.786315,0.000930572
0.15,0.787815,0.000967214
0.15,0.789315,0.0010042
0.15,0.790815,0.0010415
0.15,0.792315,0.00107907
0.15,0.793815,0.00111689
0.15,0.795315,0.00115494
0.15,0.796815,0.00119319
0.15,0.798315,0.00123162
0.15,0.799815,0.00127023
0.15,0.801315,0.00130899
0.15,0.802815,0.00134789
0.15,0.804315,0.00138691
0.15,0.805815,0.00142606
0.15,0.807315,0.00146532
0.15,0.808815,0.00150468
0.15,0.810315,0.00154413
0.15,0.811815,0.00158367
0.15,0.813315,0.00162329
0.15,0.814815,0.00166298
0.15,0.816315,0.00170275
0.15,0.817815,0.00174258
0.15,0.819315,0.00178247
0.2,0.664609,0.00230584
