n,k,one_minus_k,clone_count,horizon,psi_k,psi_k_ci_low,psi_k_ci_high,psi_one_minus_k,psi_one_minus_k_ci_low,psi_one_minus_k_ci_high,gc_residual,gc_residual_ci_low,gc_residual_ci_high,late_half_residual,late_half_ci_low,late_half_ci_high,minimum_weight_ess_k,minimum_weight_ess_one_minus_k,minimum_final_roots_k,minimum_final_roots_one_minus_k,support_gate,paired_gc_gate,time_convergence_gate,population_member_gates,population_pair_gate,primary_gate
10,0.3,0.7,2048,60.0,-0.17877837746917205,-0.18733512735012664,-0.17022162758821746,-0.17870305772415035,-0.18823729371798997,-0.16916882173031073,-7.531974502170136e-05,-0.00995313538417999,0.009802495894136587,0.0037106149303712532,-0.013256409518855476,0.020677639379597983,1276.8558192402143,300.3648892810636,132,28,1,1,1,1,1,1
20,0.4,0.6,1024,60.0,-0.08575513510533196,-0.09498590203455777,-0.07652436817610615,-0.08236564243268506,-0.08733277994194989,-0.07739850492342022,-0.0033894926726469043,-0.012080937417284946,0.005301952071991137,0.0039410374447203245,-0.005713489794341825,0.013595564683782474,533.7032524575255,268.87327553683446,47,17,1,1,1,1,1,1
30,0.4,0.6,2048,60.0,-0.048552014006316806,-0.052175324926592034,-0.04492870308604158,-0.04497781983374783,-0.04971288139835406,-0.0402427582691416,-0.0035741941725689758,-0.00823549476194226,0.001087106416804309,-0.0011714289820346918,-0.006205301307421857,0.0038624433433524733,1041.8938342572862,442.4532396498149,90,39,1,1,1,0,1,0
40,0.4,0.6,1024,120.0,-0.03259239323458671,-0.03983463868218032,-0.0253501477869931,-0.03709085630601513,-0.04128209166055365,-0.0328996209514766,0.00449846307142842,-0.0023428723086612443,0.011339798451518085,0.007934611405062686,-0.005986059618429018,0.02185528242855439,475.14395813211667,183.55745480998726,20,6,1,1,1,1,1,1
