# mode_index   <I_j>
# total_samples=1013760000
0 0.694122
1 0.639556
2 0.635864
3 0.628503
4 0.619998
5 0.611467
6 0.602609
7 0.59332
8 0.583758
9 0.573856
10 0.563816
11 0.55312
12 0.542029
13 0.530652
14 0.518727
15 0.50637
16 0.493347
17 0.479608
18 0.465344
19 0.450402
20 0.434505
21 0.417542
22 0.398902
23 0.379157
24 0.248633
