# mode_index   <I_j>
# total_samples=1013760000
0 0.542871
1 0.534533
2 0.536162
3 0.537314
4 0.53792
5 0.538815
6 0.539399
7 0.53983
8 0.540254
9 0.54054
10 0.540647
11 0.540777
12 0.540907
13 0.540855
14 0.540801
15 0.54047
16 0.540196
17 0.539959
18 0.539412
19 0.5388
20 0.538118
21 0.5374
22 0.536227
23 0.534491
24 0.542873
