j,R2,c0_const,c1_Ia2,c2_Ib2,c3_IaIb,c4_IaIbcos,c1_over_c2,c3_over_c4,c1_over_c3,mean_I_j
0,0.9094576140665228,-2.022387184374467,-0.451872351142069,-0.47172867850042177,-1.040085399940853,-0.17220294930306496,0.9579073135399059,6.0398814547036395,0.4344569697524509,0.643799953531266
1,0.9063275740230705,-2.0258741251328694,-0.4504305840267384,-0.44758258447795196,-1.1445855686712814,-0.39203706076818573,1.0063630705205124,2.919585118887734,0.39353159462741716,0.6337567032478851
2,0.9051193891592088,-2.033604203224694,-0.44175256312943023,-0.4432567508218991,-1.1721980859819932,-0.4547528232584405,0.9966065092304184,2.5776598319562742,0.37685828735964705,0.635635434246075
3,0.9042654696591743,-2.0393379650977352,-0.4400380623898994,-0.4351713283875354,-1.1882868019639223,-0.4950755670658828,1.0111834895474316,2.4002129796193103,0.3703130100095645,0.635886363263156
4,0.9044504784258255,-2.050997335073037,-0.4313323438524603,-0.4278063145869421,-1.203433848227088,-0.5511825842053449,1.0082421159886867,2.1833669689729254,0.3584179923872873,0.6386772959993636
5,0.9008280989569007,-2.0623840145619434,-0.42624992081430785,-0.424317836807555,-1.212572051399682,-0.5718710373402612,1.0045533886138025,2.120359263234039,0.3515254374552704,0.6400127016007835
6,0.9020627020246846,-2.0600260306427574,-0.42462016693262833,-0.42312684136308426,-1.2318760431244897,-0.6053887879964096,1.003529262205946,2.034851103208399,0.3446939075587798,0.6404569902410556
7,0.9003540313725026,-2.06567166935941,-0.4226080939279224,-0.4241844715989043,-1.2379778956630179,-0.6415430074721928,0.9962837449823659,1.9296880820833777,0.34136966048298323,0.640398533915562
8,0.900241070178881,-2.062908715189694,-0.4178451068576256,-0.4201190332174474,-1.2702238982475647,-0.6590758063877759,0.9945874236108583,1.927280421973511,0.32895390130361746,0.6390921147682261
9,0.8986887390346417,-2.0757554466214927,-0.4210461444650523,-0.41257784189203967,-1.2527473396344286,-0.657486332199786,1.0205253450698608,1.9053587554330553,0.33609821481474483,0.6397907348042786
10,0.8967752329073129,-2.0851066173115673,-0.40997848532084974,-0.41480311526548314,-1.255887920597729,-0.6731661398200107,0.988368867621581,1.8656433327640702,0.32644512189091207,0.6434581126493253
11,0.8976169523346165,-2.0783599935831387,-0.41413467011840766,-0.41510377192751335,-1.2641641848829868,-0.6628880966206977,0.997665398691499,1.90705518974847,0.32759563597092467,0.643146688078753
12,0.8981534657379564,-2.0803593141071164,-0.4151601586943485,-0.41300483577580244,-1.2594937383842129,-0.6633740505563249,1.0052186384561272,1.8986177365966674,0.32962463094651967,0.6418307110301136
13,0.8987908836428771,-2.0819675267765074,-0.412036137173969,-0.41117641073199324,-1.2609710650565693,-0.6549199462875606,1.002090894369269,1.9253819832552563,0.3267609769899711,0.643580071202115
14,0.902613484814699,-2.070687619574938,-0.4173031440860588,-0.41711890943631047,-1.2503802537622615,-0.6314071878099647,1.0004416837635035,1.9803072849062808,0.3337409902551147,0.6443122161500244
15,0.9006968785468848,-2.0709148220665194,-0.41867699085341,-0.41871470858767557,-1.2444234492786588,-0.6384978835040807,0.999909920207024,1.9489860208294734,0.3364425438110314,0.642761173505506
16,0.9017518559377734,-2.0656407221137814,-0.4190225212673919,-0.41887547573755296,-1.252241037824643,-0.6175542873634611,1.0003510483147289,2.0277424405405147,0.33461810355241656,0.641636057453731
17,0.9011042643369808,-2.0681694830750654,-0.4182221306511862,-0.41924692508367795,-1.234291861570711,-0.5826729434151745,0.9975556304144932,2.118327057261754,0.33883568681962567,0.6416926026863137
18,0.903235380441216,-2.0610535662978013,-0.42450867363742634,-0.4222673681647932,-1.2158062854064382,-0.5544331327339822,1.0053077875336993,2.192881726622539,0.34915815021923097,0.6418168792361384
19,0.903552580975643,-2.055795502060964,-0.42890842204607754,-0.4290189311620011,-1.1942439603788257,-0.5379076762338078,0.9997424143600744,2.220165305578822,0.3591464024737656,0.6413801533278666
20,0.9043198936105753,-2.0493781726275877,-0.43266239240136634,-0.43368863763565996,-1.171657630598528,-0.4791771135888592,0.997633681989253,2.4451452237007856,0.36927373756815435,0.6396046729183661
21,0.906363259574063,-2.034869268227781,-0.43922527145483603,-0.4394121610095216,-1.1704621754285816,-0.4377145120378206,0.9995746827892606,2.6740310024892393,0.375257979860825,0.6399203899583974
22,0.9076762438296522,-2.023705707692024,-0.441954925251529,-0.4484456009320501,-1.156117879207428,-0.37822474149842106,0.9855262808531718,3.0566955366991886,0.38227496797688953,0.6367385605259633
23,0.9114145340717967,-2.0146135498990385,-0.4751662914207008,-0.4566142761701411,-1.0417015286086062,-0.15905405428981764,1.0406295120822,6.549355395307859,0.4561443737683454,0.6335709427603264
