Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.7 burnin=500 observation=20 selection=0.5 dt=0.0005 seed=2026086304
  time=2 psi=0.992979 weight ESS=171.847 roots=99
  time=4 psi=0.465405 weight ESS=86.1234 roots=21
  time=6 psi=0.416563 weight ESS=70.019 roots=9
  time=8 psi=0.246547 weight ESS=51.7785 roots=3
  time=10 psi=0.214047 weight ESS=8.65449 roots=1
  time=12 psi=-0.234186 weight ESS=31.5713 roots=1
  time=14 psi=-0.2743 weight ESS=41.868 roots=1
  time=16 psi=-0.537454 weight ESS=34.7156 roots=1
  time=18 psi=-0.586875 weight ESS=51.3897 roots=1
  time=20 psi=-0.641442 weight ESS=13.2474 roots=1
