Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=40 selection=0.5 dt=0.0005 seed=2026086404
  time=4 psi=-0.0611022 weight ESS=691.15 roots=229
  time=8 psi=-0.113371 weight ESS=685.669 roots=104
  time=12 psi=-0.125747 weight ESS=710.675 roots=65
  time=16 psi=-0.134413 weight ESS=717.559 roots=45
  time=20 psi=-0.144112 weight ESS=666.113 roots=42
  time=24 psi=-0.147791 weight ESS=695.804 roots=33
  time=28 psi=-0.154654 weight ESS=707.608 roots=27
  time=32 psi=-0.150075 weight ESS=695.843 roots=24
  time=36 psi=-0.151214 weight ESS=688.765 roots=20
  time=40 psi=-0.155544 weight ESS=694.932 roots=19
