Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=40 selection=0.5 dt=0.0005 seed=2026086401
  time=4 psi=-0.0927157 weight ESS=689.766 roots=227
  time=8 psi=-0.160086 weight ESS=677.858 roots=107
  time=12 psi=-0.171229 weight ESS=660.75 roots=63
  time=16 psi=-0.173066 weight ESS=676.345 roots=42
  time=20 psi=-0.172445 weight ESS=651.439 roots=29
  time=24 psi=-0.17537 weight ESS=663.652 roots=26
  time=28 psi=-0.181046 weight ESS=692.347 roots=24
  time=32 psi=-0.187221 weight ESS=683.796 roots=22
  time=36 psi=-0.185943 weight ESS=687.893 roots=21
  time=40 psi=-0.186396 weight ESS=671.202 roots=19
