Entropy cloning sampler (tilted-generator guided)
  n=10 clones=1024 k=0.3 burnin=500 observation=40 selection=0.5 dt=0.0005 seed=2026086403
  time=4 psi=-0.121349 weight ESS=693.122 roots=213
  time=8 psi=-0.13825 weight ESS=671.513 roots=106
  time=12 psi=-0.175981 weight ESS=657.822 roots=67
  time=16 psi=-0.170179 weight ESS=661.285 roots=45
  time=20 psi=-0.175405 weight ESS=665.018 roots=36
  time=24 psi=-0.178389 weight ESS=667.624 roots=30
  time=28 psi=-0.174516 weight ESS=680.115 roots=26
  time=32 psi=-0.174198 weight ESS=698.192 roots=21
  time=36 psi=-0.172785 weight ESS=672.749 roots=18
  time=40 psi=-0.176709 weight ESS=685.019 roots=14
