case,observable,C0,plateau_start,plateau_end,lambda_R,ci_low,ci_high,bootstrap_accept,tau_int,tau_truncated_at_t10,effective_count,stationarity_rms_over_C0,stationarity_pass,last_supported_rate_time,last_supported_lambda_eff,late_dlambda_dt_last5
driven_dt1e-3,cos_theta1,0.4830086523161786,,,,,,0,0.29448670960084716,0,108663.64748131894,0.0008068936591796394,1,3.16,-0.7011549881790649,nan
driven_dt1e-3,sin_theta1,0.4675028565716866,,,,,,0,0.11463077212983075,0,279157.15305273194,0.0010450630628248854,1,nan,nan,nan
driven_dt1e-3,cos_theta3,0.4899698202699074,1.5,2.5100000000000002,-0.9080200380173782,-1.1010246488486712,-0.7093990524972748,2000,0.2639627889974528,0,121229.20856207803,0.0013655017719967414,1,4.22,-1.0504417030648403,nan
driven_dt1e-3,sin_theta3,0.4744059849777127,,,,,,0,0.08510016804347188,0,376027.45958919113,0.0006652993171705106,1,nan,nan,nan
driven_dt1e-3,cos_theta1_minus_theta3,0.4989266632124154,,,,,,0,0.13608205973522824,0,235152.2313981848,0.0009001951220519189,1,2.66,-0.9339652282487614,nan
driven_dt1e-3,I2,2.5837287342719346,1.0,2.99,-0.9440075863532579,-0.9906218180573125,-0.8998013955515076,2000,0.591572017471252,0,54093.16035059936,0.004981637758212704,1,4.22,-0.9487348157240154,0.11191804009760803
driven_dt1e-3,I1_plus_I3,3.107386636459807,1.26,2.5100000000000002,-0.9490674293858062,-1.0379818408154948,-0.8622288132708358,2000,0.43254726735325294,0,73980.3540912587,0.001928330291404725,1,3.98,-0.6690521884197038,0.44590919956639696
driven_dt1e-3,I1_minus_I3,5.1302013646309,,,,,,0,0.18464448439796233,0,173306.01617663668,0.0012728238429634286,1,1.33,-5.891880320654757,-33.90117576620186
driven_dt1e-3,cos_even_sum,0.9950573097114855,1.0,1.8800000000000001,-1.1878391136682045,-1.2911244689945456,-1.0931636528808408,2000,0.40145276489979426,0,79710.49846421521,0.000995458108457417,1,3.5500000000000003,-0.8335324931677693,0.027409219341793353
driven_dt1e-3,cos_odd_diff,0.9508996353883541,,,,,,0,0.14650047059898105,0,218429.3324735748,0.0008863517819597256,1,nan,nan,nan
driven_dt1e-3,sin_even_sum,0.9440477226050827,,,,,,0,0.08098172522554291,0,395150.880163105,0.0009256891565921122,1,nan,nan,nan
driven_dt1e-3,sin_odd_diff,0.9397699605454365,,,,,,0,0.12892299998981369,0,248210.17198272105,0.001346564679149827,1,1.33,-1.8748234245488495,nan
