case,observable,C0,plateau_start,plateau_end,lambda_R,ci_low,ci_high,bootstrap_accept,tau_int,tau_truncated_at_t10,effective_count,stationarity_rms_over_C0,stationarity_pass,last_supported_rate_time,last_supported_lambda_eff,late_dlambda_dt_last5
driven_dt2p5e-4,cos_theta1,0.48380652260090123,,,,,,0,0.3021843659717934,0,105895.61738937533,0.0012320162030712008,1,3.7600000000000002,-0.6906076146852473,nan
driven_dt2p5e-4,sin_theta1,0.4678071910426427,,,,,,0,0.11476709432578254,0,278825.56570756686,0.0008349360303752554,1,nan,nan,nan
driven_dt2p5e-4,cos_theta3,0.4893388869198829,1.0,2.11,-1.0920785663588402,-1.2128581923266042,-0.9686111979657135,2000,0.2520782639349548,0,126944.70161956186,0.0010910919950325108,1,2.99,-1.3122376457658311,-0.17048873450580318
driven_dt2p5e-4,sin_theta3,0.47650963220827924,,,,,,0,0.08507798132427581,0,376125.52039794635,0.0007573954357713677,1,nan,nan,nan
driven_dt2p5e-4,cos_theta1_minus_theta3,0.49857363640098606,,,,,,0,0.13014716536174292,0,245875.5049413199,0.0003922726223879096,1,1.8800000000000001,-1.8047139694918108,-4.930359011741437
driven_dt2p5e-4,I2,2.5473509677288475,1.0,3.35,-0.9351391254983286,-0.9975492145992482,-0.869741994393417,2000,0.574189441290478,0,55730.73570994394,0.00218077924501671,1,3.98,-0.9846492427766609,-0.23019437698033687
driven_dt2p5e-4,I1_plus_I3,3.091356790394519,1.0,2.24,-1.0028390517829922,-1.0767909488966865,-0.9364436100344037,2000,0.4299790746892852,0,74422.22629816135,0.0019631565902249273,1,3.98,-1.5303927580319798,-1.0519044353208937
driven_dt2p5e-4,I1_minus_I3,5.106234412399814,,,,,,0,0.18376140464703603,0,174138.8517434591,0.0014766254920400435,1,1.26,-2.8435824528972202,nan
driven_dt2p5e-4,cos_even_sum,0.9995195767248324,1.26,2.11,-1.1217760728028505,-1.2438775995455216,-1.0145981335355443,2000,0.40420077413517064,0,79168.57672642342,0.001063255514343383,1,3.7600000000000002,-0.7201251046442907,nan
driven_dt2p5e-4,cos_odd_diff,0.9467712423058446,,,,,,0,0.14671786317313618,0,218105.68466525452,0.0007926446388841314,1,nan,nan,nan
driven_dt2p5e-4,sin_even_sum,0.9470875838645536,,,,,,0,0.08112906334855823,0,394433.24844657764,0.0007833191382061487,1,nan,nan,nan
driven_dt2p5e-4,sin_odd_diff,0.9415460626104709,,,,,,0,0.12867673937349114,0,248685.19482078485,0.0009406762048881738,1,nan,nan,nan
