case,observable,time,C,SE_C,damped_fit,real_exponential_fit
driven_dt1e-3,I1_minus_I3,0.05,4.6160091539720645,0.02597089366701256,4.5611908858882915,5.738604137951557
driven_dt1e-3,I1_minus_I3,0.06,4.475162044437585,0.02521704846523087,4.435676188094145,5.310312988696732
driven_dt1e-3,I1_minus_I3,0.07,4.325474369699654,0.024396246526267807,4.299208264733824,4.913986635082175
driven_dt1e-3,I1_minus_I3,0.08,4.168528967837151,0.023529592489024493,4.153540450548339,4.547239437894697
driven_dt1e-3,I1_minus_I3,0.09,4.005917141983379,0.022643362978379353,4.000306061085891,4.2078638061251254
driven_dt1e-3,I1_minus_I3,0.1,3.8388971571683292,0.021742337805161313,3.841021415197329,3.8938169086375383
driven_dt1e-3,I1_minus_I3,0.11,3.6688550169881715,0.020844496369662534,3.6770891739820986,3.603208377590904
driven_dt1e-3,I1_minus_I3,0.12,3.4970341702596723,0.019964049056080343,3.5098019486531844,3.334288929595335
driven_dt1e-3,I1_minus_I3,0.13,3.3244853160171863,0.01913079787649879,3.3403461329421527,3.085439836109374
driven_dt1e-3,I1_minus_I3,0.14,3.152130961329857,0.018330002471939697,3.1698059187462926,2.8551631796966155
driven_dt1e-3,I1_minus_I3,0.15,2.98066884573759,0.01758415599461771,2.9991674567198663,2.6420728374903613
driven_dt1e-3,I1_minus_I3,0.16,2.8110070042424224,0.016913418893330482,2.8293231264228846,2.444886137592356
driven_dt1e-3,I1_minus_I3,0.17,2.643723560975536,0.016311195008642764,2.6610758834569843,2.26241613818229
driven_dt1e-3,I1_minus_I3,0.18,2.479390982824083,0.015778662684536145,2.4951436537334595,2.093564482863086
driven_dt1e-3,I1_minus_I3,0.19,2.318520174678715,0.015323394537124392,2.332163747628829,1.9373147892355715
driven_dt1e-3,I1_minus_I3,0.2,2.1614361633507664,0.014940211593777513,2.1726972692851323,1.7927265309058633
driven_dt1e-3,I1_minus_I3,0.21,2.0086054494987273,0.014629025570576158,2.0172334987027196,1.6589293760989172
driven_dt1e-3,I1_minus_I3,0.22,1.8603767844858674,0.014374722922359966,1.8661942265510842,1.5351179488002193
driven_dt1e-3,I1_minus_I3,0.23,1.71692660539647,0.014194581657251425,1.7199380237871225,1.4205469808909308
driven_dt1e-3,I1_minus_I3,0.24,1.57846019191321,0.0140749892154392,1.578764430219862,1.314526826095339
driven_dt1e-3,I1_minus_I3,0.25,1.445183680616358,0.01401761411217354,1.4429180480965031,1.216419308737357
driven_dt1e-3,I1_minus_I3,0.26,1.3172622121943007,0.014013917236968742,1.3125925286073745,1.1256338823181629
driven_dt1e-3,I1_minus_I3,0.27,1.1947788475680974,0.014045685667958612,1.187934440918541,1.0416240747919887
driven_dt1e-3,I1_minus_I3,0.28,1.0778376961241065,0.014102550231827991,1.0690470149421236,0.9638841991428208
driven_dt1e-3,I1_minus_I3,0.29,0.9664224490291148,0.014165858527547674,0.9559937505480842,0.8919463094617243
driven_dt1e-3,I1_minus_I3,0.3,0.8606570755950669,0.014238161040301605,0.8488018873099027,0.8253773842022574
driven_dt1e-3,I1_minus_I3,0.31,0.7604795806163698,0.014309122080951794,0.747465730163039,0.7637767196589261
driven_dt1e-3,I1_minus_I3,0.32,0.6658238047934741,0.014376964362136728,0.6519498275424376,0.706773517979019
driven_dt1e-3,I1_minus_I3,0.33,0.5765719214967966,0.014438390229511018,0.5621919996570169,0.6540246551891624
driven_dt1e-3,I1_minus_I3,0.34,0.4926677403730174,0.01448522918913806,0.4781062155584301,0.6052126158014889
driven_dt1e-3,I1_minus_I3,0.35000000000000003,0.41410710057318306,0.014518536421339528,0.3995853185722178,0.5600435815670305
driven_dt1e-3,I1_minus_I3,0.36,0.34079889542089015,0.014540275323777328,0.32650360048540533,0.5182456628718143
driven_dt1e-3,I1_minus_I3,0.37,0.2725936765103497,0.014549453321489084,0.25871922562956023,0.47956726212976053
driven_dt1e-3,I1_minus_I3,0.38,0.20936384847888612,0.014547271304953417,0.1960765066661643,0.44377555932102425
driven_dt1e-3,I1_minus_I3,0.39,0.15083175889831268,0.014538256541984616,0.13840803447578334,0.41065511055965526
driven_dt1e-3,I1_minus_I3,0.4,0.09689965657538091,0.014520050926098378,0.08553666507790009,0.38000655125482335
driven_dt1e-3,I1_minus_I3,0.41000000000000003,0.04745674616173387,0.014496532001765643,0.037277366968251686,0.3516453960594439
driven_dt1e-3,I1_minus_I3,0.42,0.0023056097805237083,0.014462752140972009,-0.0065610673409861936,0.32540092838263585
driven_dt1e-3,I1_minus_I3,0.43,-0.03863739851101208,0.014417085179281133,-0.04617444145202946,0.3011151727815648
driven_dt1e-3,I1_minus_I3,0.44,-0.07565221846946302,0.014377235282625425,-0.0817617024703122,0.2786419440471087
driven_dt1e-3,I1_minus_I3,0.45,-0.10887928585977048,0.01432793644096154,-0.11352361100168785,0.257845967259427
driven_dt1e-3,I1_minus_I3,0.46,-0.13851965894414253,0.01427388247304783,-0.14166152891844766,0.23860206351671598
driven_dt1e-3,I1_minus_I3,0.47000000000000003,-0.16466812446130813,0.014220272229931621,-0.16637631990787843,0.22079439643574095
driven_dt1e-3,I1_minus_I3,0.48,-0.1875232845007716,0.01416380673964889,-0.1878673577101725,0.20431577488854286
driven_dt1e-3,I1_minus_I3,0.49,-0.20733070801824174,0.014107447316704705,-0.2063316368821883,0.18906700777822946
driven_dt1e-3,I1_minus_I3,0.5,-0.2242981036902683,0.014049655191671392,-0.2219629808866733,0.17495630696999878
driven_dt1e-3,I1_minus_I3,0.51,-0.2385272542574129,0.013990904417316237,-0.2349513423001172,0.1618987347834098
driven_dt1e-3,I1_minus_I3,0.52,-0.2502177022480062,0.013921516189567749,-0.2454821899535165,0.1498156927201459
driven_dt1e-3,I1_minus_I3,0.53,-0.25959359791462633,0.013851759766631624,-0.2537359778662631,0.13863444834972952
driven_dt1e-3,I1_minus_I3,0.54,-0.26681263106255404,0.013777173655987235,-0.2598876909015002,0.1282876975053318
driven_dt1e-3,I1_minus_I3,0.55,-0.27191731103011724,0.013690835646964775,-0.26410646215915934,0.1187131591543685
driven_dt1e-3,I1_minus_I3,0.56,-0.27515524933103974,0.013592424041009597,-0.2665552572281407,0.10985320050525273
driven_dt1e-3,I1_minus_I3,0.5700000000000001,-0.27669719747834304,0.01349893507293479,-0.2673906205395375,0.1016544900936804
driven_dt1e-3,I1_minus_I3,0.58,-0.2766326094721032,0.013408816277042495,-0.2667624791963461,0.0940676767602421
driven_dt1e-3,I1_minus_I3,0.59,-0.27502196687159775,0.013295688692047041,-0.26481399979981357,0.08704709258700492
driven_dt1e-3,I1_minus_I3,0.6,-0.2721430024648077,0.013179565034314125,-0.26168149394661877,0.08055047800492861
