case,observable,mean_g,C0,significant_monotonicity_violations,supported_negative_lag_count,first_supported_negative_time
equilibrium_dt1e-3,cos_theta1,-0.18230051578879194,0.4901155828129298,27,0,
equilibrium_dt1e-3,sin_theta1,0.0011721368890446838,0.47664956524415564,94,83,0.24
equilibrium_dt1e-3,cos_theta3,-0.1817730731152136,0.48962828714627743,17,0,
equilibrium_dt1e-3,sin_theta3,-0.00143391354603126,0.4773282066487972,98,84,0.24
equilibrium_dt1e-3,cos_theta1_minus_theta3,0.040866450826467726,0.49977373383713586,22,0,
equilibrium_dt1e-3,I2,1.672515224962225,2.361632583242262,26,0,
equilibrium_dt1e-3,I1_plus_I3,2.9539627812817355,3.0014001927748226,14,0,
equilibrium_dt1e-3,I1_minus_I3,-0.00485148295115458,4.918246170560778,98,57,0.4
equilibrium_dt1e-3,cos_even_sum,-0.36407358887925506,0.9964313591874714,9,0,
equilibrium_dt1e-3,cos_odd_diff,-0.0005274426658241003,0.9630563807221232,63,41,0.51
equilibrium_dt1e-3,sin_even_sum,-0.00026177665876301936,0.9527518958157392,100,145,0.18
equilibrium_dt1e-3,sin_odd_diff,0.0026060504349210167,0.955203647933402,105,71,0.32
