epoch,phase,learning_rate,training_loss,training_nll,training_fp_loss,validation_nll
1,pretrain,0.001,7.997561407901527,7.997561407901527,57672069.481756136,7.801275371572536
2,pretrain,0.001,7.793845696694985,7.793845696694985,16801371.0133729,7.781556313204833
3,pretrain,0.001,7.775676765368589,7.775676765368589,10578121.406039864,7.7694806185411736
4,pretrain,0.001,7.769150134125269,7.769150134125269,6086253.330134351,7.765700344535132
5,pretrain,0.001,7.767610597348414,7.767610597348414,1572055.1097548748,7.764448586073295
6,pretrain,0.001,7.767207552063013,7.767207552063013,16680645.903055843,7.762993117168736
7,pretrain,0.001,7.764855748937584,7.764855748937584,7583421.058457838,7.762355461082179
8,pretrain,0.001,7.763353856680779,7.763353856680779,1432294232.730949,7.761821990245855
9,pretrain,0.001,7.767394825210823,7.767394825210823,2571500.4105045446,7.761512581171505
10,pretrain,0.001,7.765489154110611,7.765489154110611,2289263.783907177,7.761205991511418
11,pretrain,0.001,7.7627142955192765,7.7627142955192765,67916424.45200108,7.760583548885845
12,pretrain,0.001,7.762153616378398,7.762153616378398,105170918.24076824,7.7605865486247065
13,pretrain,0.001,7.762202913581429,7.762202913581429,9731731.384699406,7.760062349731078
14,pretrain,0.001,7.763246064537004,7.763246064537004,14537822.14003494,7.7602241099675835
15,pretrain,0.001,7.761243773827186,7.761243773827186,1180249.3158226782,7.760211561108239
16,pretrain,0.001,7.7606224308239335,7.7606224308239335,6518249.289599236,7.760132667284727
17,pretrain,0.001,7.760066834005244,7.760066834005244,14244801.662716359,7.7596763705889
18,pretrain,0.001,7.763736715415871,7.763736715415871,565183810.9819782,7.759346193446169
19,pretrain,0.001,7.757091128952885,7.757091128952885,9053763.48104191,7.7594110476025975
20,pretrain,0.001,7.763639361328547,7.763639361328547,860010.6842041262,7.759445277770855
21,pretrain,0.001,7.760598077976046,7.760598077976046,877375.3805158534,7.759585320438906
22,pretrain,0.001,7.761679673192586,7.761679673192586,22291998.35522227,7.759009181156989
23,pretrain,0.001,7.76106068850274,7.76106068850274,531219.7402439517,7.759017978741828
24,pretrain,0.001,7.762183946266133,7.762183946266133,33138254.87707425,7.759155318780951
25,pretrain,0.001,7.766161787090048,7.766161787090048,497113376.7318982,7.759387340721082
26,pretrain,0.001,7.761342150149047,7.761342150149047,4619652.500928728,7.759023550502192
27,pretrain,0.001,7.762578740949518,7.762578740949518,8590104.145521034,7.759191866127299
28,pretrain,0.001,7.75978158951149,7.75978158951149,122634725.0990693,7.758792225982218
29,pretrain,0.001,7.760511639147456,7.760511639147456,713893.0207769803,7.758801997537378
30,pretrain,0.001,7.762226536013807,7.762226536013807,7470549.140604419,7.758755097775347
31,pretrain,0.001,7.763487300239602,7.763487300239602,1846198.6844777921,7.759005157487583
32,pretrain,0.001,7.761590351251274,7.761590351251274,1519744.3370825031,7.758701459871579
33,pretrain,0.001,7.7618965590117845,7.7618965590117845,4522843.122471985,7.7587481974781545
34,pretrain,0.001,7.7609594288432575,7.7609594288432575,871236.0059554537,7.759032305616555
35,pretrain,0.001,7.762537024217545,7.762537024217545,1327217.0504241826,7.758704685070208
36,pretrain,0.001,7.7609985263624255,7.7609985263624255,1466521.0236951262,7.758847092355952
37,pretrain,0.001,7.763898097437822,7.763898097437822,2528859.300583921,7.759008647085133
38,pretrain,0.001,7.76123142410282,7.76123142410282,70606891.42364375,7.75889865755106
39,pretrain,0.001,7.762136048091452,7.762136048091452,1623960.4488979622,7.758689969542623
40,pretrain,0.001,7.764997562158453,7.764997562158453,842075.6532160161,7.75866753501453
41,pretrain,0.001,7.759787537514216,7.759787537514216,75528562.8829312,7.759356658290803
42,pretrain,0.001,7.760453282402248,7.760453282402248,10694169.783808712,7.758502770917269
43,pretrain,0.001,7.763136493244042,7.763136493244042,191242363.2887059,7.758616998824515
44,pretrain,0.001,7.760894582131032,7.760894582131032,654967.3207166675,7.758563213838888
45,pretrain,0.001,7.7598290524543545,7.7598290524543545,12348205.363055319,7.758473783275515
46,pretrain,0.001,7.763363651797523,7.763363651797523,79669557.68488954,7.758396873746655
47,pretrain,0.001,7.75983431786336,7.75983431786336,570882.9161587092,7.758533481789338
48,pretrain,0.001,7.76173378620985,7.76173378620985,845210.4582402904,7.7583094019638015
49,pretrain,0.001,7.760637865694705,7.760637865694705,733248.571736626,7.758325373595115
50,pretrain,0.001,7.764663812376294,7.764663812376294,15439505.751205018,7.758230320056057
51,joint,0.001,463.1753727917558,7.850455850020124,45532.49169417355,7.868672785331616
52,joint,0.001,8025.170179940475,7.84435405768808,801732.5825882783,7.825533163983826
53,joint,0.001,16.283823918482437,7.836370769399044,844.7453149083407,7.845736428365912
54,joint,0.001,38.15079697131671,7.847098209335986,3030.369876198073,7.836879578193088
55,joint,0.001,26.10845121523699,7.845053111854978,1826.3398103382,7.839930041949719
56,joint,0.001,1737.7518819349834,7.848011955565857,172990.38699794177,7.847436990493913
57,joint,0.001,1720.4243691629813,7.85322475892917,171257.11444040528,7.854907510484993
58,joint,0.001,471.59897444643747,7.858406941023755,46374.05675054138,7.856416505567952
59,joint,0.001,190.5912713014757,7.8610743561738285,18273.019694530176,7.859627487267119
60,joint,0.001,19.297681825419776,7.86277238658779,1143.4909438831978,7.860100276403436
61,joint,0.001,39.427413124301935,7.862275447923984,3156.5137676377935,7.857346777412925
62,joint,0.001,65708.82567722572,7.871152850931993,6570095.452437479,7.865823092034354
63,joint,0.001,1765.7145116565023,7.863313279864175,175785.11983766386,7.856892473149528
64,joint,0.001,1910.3266663477796,7.857306818335183,190246.93595294454,7.856171893231
65,joint,0.001,61.367986686316215,7.860840965129923,5350.7145721186325,7.858641513433178
66,joint,0.001,41.114773086639524,7.862028977133339,3325.274410950617,7.856960792190286
67,joint,0.001,227.07832348903065,7.859324579438843,21921.899890959172,7.857749085549299
68,joint,0.0005,16.043474210666382,7.859607210993141,818.3866999673236,7.855959132343865
69,joint,0.0005,11.142006350803825,7.857677943734381,328.43284070694466,7.855708244237108
70,joint,0.0005,27.397117046295318,7.86010891574305,1953.7008130552276,7.8577139495497965
71,joint,0.0005,70627.18441823684,7.856922347757414,7061932.749588908,7.855439600288148
72,joint,0.0005,9.904912074522944,7.858384027169107,204.65280473538402,7.859233486751592
73,joint,0.0005,1897.8455843533625,7.859196851905364,188998.63875014565,7.856937396904887
74,joint,0.0005,66755.28651595194,7.856947033754791,6674742.956891817,7.856511730232114
75,joint,0.0005,11653.89654479711,7.858762494214199,1164603.7782302902,7.854894014647808
76,joint,0.0005,177.31248052064063,7.860163933208477,16945.23165874322,7.8550982453698435
77,joint,0.0005,14.46254858447927,7.8555770493342,660.6971535145067,7.8539961242835545
78,joint,0.0005,9.73991276901388,7.857234289250867,188.26784797630108,7.853560774510637
79,joint,0.0005,650.2262100626283,7.857748566320891,64236.846149630735,7.8559353250047055
80,joint,0.0005,47.40814470064187,7.8554643200418175,3955.268038060005,7.855033581735081
81,joint,0.0005,47256.84430660268,7.853145733134345,4724899.116086954,7.854741476815395
82,joint,0.0005,32.24301714207387,7.856764239760607,2438.6252902313263,7.854110929620985
