case,kind,dictionary,cutoff,tau,lambda_real,lambda_imag,eigen_index,conjugate_index,observable,contribution_real,contribution_imag,reconstructed_variance_real,reconstructed_variance_imag,weight_real,weight_imag,weight_abs,weight_abs_ci_low,weight_abs_ci_high,bootstrap_replicates
driven_dt1e-3,complex,E3,1e-08,0.05,-4.788003670621297,5.881028019876776,25,26,I2,0.2645269433033644,7.24247051220317e-16,2.7591668214870277,4.724482160893135e-15,0.09587203689293423,9.832726353419446e-17,0.09587203689293423,0.07870100734667265,0.10941484374920897,500
driven_dt1e-3,complex,E3,1e-08,0.05,-4.788003670621297,5.881028019876776,25,26,I1_plus_I3,0.35815946366338514,4.0314973581701e-15,3.276002164851297,-3.826047411868805e-14,0.10932821336509788,2.5074606861380685e-15,0.10932821336509788,0.09003211187273959,0.1228508533352764,500
driven_dt1e-3,complex,E3,1e-08,0.05,-4.788003670621297,5.881028019876776,25,26,cos_theta3,0.02090063310507248,-8.977193988179977e-17,0.5096837998720243,4.9553612036656756e-15,0.04100705792556167,-5.748205532060509e-16,0.04100705792556167,0.03403979730287856,0.046155877047222314,500
driven_dt1e-3,complex,E3,1e-08,0.05,-4.788003670621297,5.881028019876776,25,26,cos_theta1_plus_cos_theta3,0.029614126280669485,-1.6219664500383146e-16,1.0379247881033207,1.4204292377393383e-14,0.028532054172042312,-5.46739312034484e-16,0.028532054172042312,0.022352553374593423,0.033907737211808654,500
driven_dt1e-3,real,E1,1e-08,0.5,-0.9138946031796822,0.0,1,-1,I2,1.3259160155349914,-9.376854150575226e-16,2.6636612371827444,-3.166434943103353e-16,0.49777952129429326,-2.9285509626735394e-16,0.49777952129429326,0.47523524620695556,0.5128441501391989,500
driven_dt1e-3,real,E1,1e-08,0.5,-0.9138946031796822,0.0,1,-1,I1_plus_I3,0.9571908041056983,5.158706054840418e-16,3.1385987847265566,8.688498695284419e-16,0.3049739293737385,7.99382348451242e-17,0.3049739293737385,0.2875916652290771,0.31650091568511984,500
driven_dt1e-3,real,E1,1e-08,0.5,-0.9138946031796822,0.0,1,-1,cos_theta3,0.061695156417409996,3.636768384889905e-17,0.4969806237983915,4.280480671330964e-18,0.1241399633367551,7.21080529486275e-17,0.1241399633367551,0.11580831018208657,0.1318583216724885,500
driven_dt1e-3,real,E1,1e-08,0.5,-0.9138946031796822,0.0,1,-1,cos_theta1_plus_cos_theta3,0.22395975723996328,1.032854121458393e-16,1.0139901744637627,5.084127852913195e-16,0.2208697508912272,-8.883313978987017e-18,0.2208697508912272,0.20572890362760804,0.235877233015418,500
driven_dt2p5e-4,complex,E3,1e-08,0.05,-5.170430718959359,5.948782943638818,31,32,I2,-0.0001383460215429369,-8.777700788442644e-16,2.7454903232369863,1.512071717835184e-14,-5.0390278330984695e-05,-3.194358888371799e-16,5.0390278330984695e-05,0.0001247605495887851,0.0047103125458537514,500
driven_dt2p5e-4,complex,E3,1e-08,0.05,-5.170430718959359,5.948782943638818,31,32,I1_plus_I3,0.04861605372717786,1.850949948867253e-15,3.2811600860780064,-4.157958699568809e-14,0.014816727148869157,7.518753366568841e-16,0.014816727148869157,0.007330060917735523,0.021083580392544116,500
driven_dt2p5e-4,complex,E3,1e-08,0.05,-5.170430718959359,5.948782943638818,31,32,cos_theta3,0.043176678211757254,1.6028844918025698e-15,0.5047003674799524,-2.6496816893373243e-15,0.0855491317102564,3.625046814943357e-15,0.0855491317102564,0.07176407114478468,0.09820491963013225,500
