case,kind,replicate,observable,weight_abs
driven_dt1e-3,complex,21,I2,0.08373612075402945
driven_dt1e-3,complex,21,I1_plus_I3,0.09345100707653926
driven_dt1e-3,complex,21,cos_theta3,0.03746267956206003
driven_dt1e-3,complex,21,cos_theta1_plus_cos_theta3,0.02667158263937626
driven_dt1e-3,complex,22,I2,0.09732926909619664
driven_dt1e-3,complex,22,I1_plus_I3,0.10982261140534885
driven_dt1e-3,complex,22,cos_theta3,0.03709239003101011
driven_dt1e-3,complex,22,cos_theta1_plus_cos_theta3,0.026390018147570724
driven_dt1e-3,complex,23,I2,0.09832054015701089
driven_dt1e-3,complex,23,I1_plus_I3,0.10356354987925884
driven_dt1e-3,complex,23,cos_theta3,0.039527790036632524
driven_dt1e-3,complex,23,cos_theta1_plus_cos_theta3,0.028314184554841266
driven_dt1e-3,complex,24,I2,0.09608741892068702
driven_dt1e-3,complex,24,I1_plus_I3,0.1109961742645426
driven_dt1e-3,complex,24,cos_theta3,0.04149051470309264
driven_dt1e-3,complex,24,cos_theta1_plus_cos_theta3,0.02961472528463328
driven_dt1e-3,complex,25,I2,0.10259551308508436
driven_dt1e-3,complex,25,I1_plus_I3,0.1170982968157161
driven_dt1e-3,complex,25,cos_theta3,0.04180901486731907
driven_dt1e-3,complex,25,cos_theta1_plus_cos_theta3,0.026795579674027275
driven_dt1e-3,complex,26,I2,0.08551218831112334
driven_dt1e-3,complex,26,I1_plus_I3,0.09280349130955827
driven_dt1e-3,complex,26,cos_theta3,0.03902946166064783
driven_dt1e-3,complex,26,cos_theta1_plus_cos_theta3,0.03186515775150263
driven_dt1e-3,complex,27,I2,0.10149706892446408
driven_dt1e-3,complex,27,I1_plus_I3,0.11332428178556614
driven_dt1e-3,complex,27,cos_theta3,0.04330939560061456
driven_dt1e-3,complex,27,cos_theta1_plus_cos_theta3,0.0295759080884815
driven_dt1e-3,complex,28,I2,0.10236129956330534
driven_dt1e-3,complex,28,I1_plus_I3,0.1003811024895666
driven_dt1e-3,complex,28,cos_theta3,0.04658630782335761
driven_dt1e-3,complex,28,cos_theta1_plus_cos_theta3,0.03205748838748412
driven_dt1e-3,complex,29,I2,0.10653348254089491
driven_dt1e-3,complex,29,I1_plus_I3,0.11260690202906883
driven_dt1e-3,complex,29,cos_theta3,0.04467301083855381
driven_dt1e-3,complex,29,cos_theta1_plus_cos_theta3,0.03029893662186738
driven_dt1e-3,complex,30,I2,0.09482383763124008
driven_dt1e-3,complex,30,I1_plus_I3,0.11201303397306059
driven_dt1e-3,complex,30,cos_theta3,0.0404130015711234
driven_dt1e-3,complex,30,cos_theta1_plus_cos_theta3,0.029455822868255734
driven_dt1e-3,complex,31,I2,0.09768598498082444
driven_dt1e-3,complex,31,I1_plus_I3,0.09417865470750453
driven_dt1e-3,complex,31,cos_theta3,0.034776562173861464
driven_dt1e-3,complex,31,cos_theta1_plus_cos_theta3,0.026169607756340467
driven_dt1e-3,complex,32,I2,0.09821201512851194
driven_dt1e-3,complex,32,I1_plus_I3,0.09767231311791039
driven_dt1e-3,complex,32,cos_theta3,0.039684658854301405
driven_dt1e-3,complex,32,cos_theta1_plus_cos_theta3,0.025479202734520118
driven_dt1e-3,complex,33,I2,0.0912497624035985
driven_dt1e-3,complex,33,I1_plus_I3,0.10263476153184516
driven_dt1e-3,complex,33,cos_theta3,0.03959486012145592
driven_dt1e-3,complex,33,cos_theta1_plus_cos_theta3,0.02897027270020421
driven_dt1e-3,complex,34,I2,0.11099765952905812
driven_dt1e-3,complex,34,I1_plus_I3,0.11745362552946077
driven_dt1e-3,complex,34,cos_theta3,0.04072159518058603
driven_dt1e-3,complex,34,cos_theta1_plus_cos_theta3,0.02902406510322189
driven_dt1e-3,complex,35,I2,0.08095146965255423
driven_dt1e-3,complex,35,I1_plus_I3,0.11782402409479562
driven_dt1e-3,complex,35,cos_theta3,0.035525722083809594
driven_dt1e-3,complex,35,cos_theta1_plus_cos_theta3,0.027631023424645726
driven_dt1e-3,complex,36,I2,0.08648640271912769
driven_dt1e-3,complex,36,I1_plus_I3,0.10568370906364521
driven_dt1e-3,complex,36,cos_theta3,0.03166255346070738
driven_dt1e-3,complex,36,cos_theta1_plus_cos_theta3,0.020233558316739522
driven_dt1e-3,complex,37,I2,0.09210330208982515
driven_dt1e-3,complex,37,I1_plus_I3,0.10787389707362986
driven_dt1e-3,complex,37,cos_theta3,0.04254749353639033
driven_dt1e-3,complex,37,cos_theta1_plus_cos_theta3,0.03083046293532938
driven_dt1e-3,complex,38,I2,0.09210310035301214
driven_dt1e-3,complex,38,I1_plus_I3,0.09254108011146223
driven_dt1e-3,complex,38,cos_theta3,0.04193054373221424
driven_dt1e-3,complex,38,cos_theta1_plus_cos_theta3,0.03147082765702779
driven_dt1e-3,complex,39,I2,0.09007326017797408
driven_dt1e-3,complex,39,I1_plus_I3,0.10607382389112491
driven_dt1e-3,complex,39,cos_theta3,0.04264492778488469
driven_dt1e-3,complex,39,cos_theta1_plus_cos_theta3,0.028217791138921422
driven_dt1e-3,complex,40,I2,0.08544385086920116
driven_dt1e-3,complex,40,I1_plus_I3,0.09789446702006865
driven_dt1e-3,complex,40,cos_theta3,0.03498152605379219
driven_dt1e-3,complex,40,cos_theta1_plus_cos_theta3,0.025374463137765018
driven_dt1e-3,complex,41,I2,0.09326480942402697
driven_dt1e-3,complex,41,I1_plus_I3,0.11353834762251949
driven_dt1e-3,complex,41,cos_theta3,0.04279465090598519
driven_dt1e-3,complex,41,cos_theta1_plus_cos_theta3,0.03090795188482127
driven_dt1e-3,complex,42,I2,0.08817755301265355
driven_dt1e-3,complex,42,I1_plus_I3,0.10022544443307572
driven_dt1e-3,complex,42,cos_theta3,0.043194875710946726
driven_dt1e-3,complex,42,cos_theta1_plus_cos_theta3,0.029070437922829873
driven_dt1e-3,complex,43,I2,0.08520274244427362
driven_dt1e-3,complex,43,I1_plus_I3,0.10455375336895466
driven_dt1e-3,complex,43,cos_theta3,0.03992330496679898
driven_dt1e-3,complex,43,cos_theta1_plus_cos_theta3,0.022572478732899366
driven_dt1e-3,complex,44,I2,0.10307983306654805
driven_dt1e-3,complex,44,I1_plus_I3,0.11185803213109845
driven_dt1e-3,complex,44,cos_theta3,0.0393264486266224
driven_dt1e-3,complex,44,cos_theta1_plus_cos_theta3,0.02745727771950653
driven_dt1e-3,complex,45,I2,0.09099040847531223
driven_dt1e-3,complex,45,I1_plus_I3,0.09431822559712671
driven_dt1e-3,complex,45,cos_theta3,0.041341056536011264
driven_dt1e-3,complex,45,cos_theta1_plus_cos_theta3,0.02393345365011134
driven_dt1e-3,complex,46,I2,0.08696015924504365
driven_dt1e-3,complex,46,I1_plus_I3,0.1027541397881525
driven_dt1e-3,complex,46,cos_theta3,0.040192855977120315
driven_dt1e-3,complex,46,cos_theta1_plus_cos_theta3,0.02748224917780644
driven_dt1e-3,complex,47,I2,0.09463724651974399
driven_dt1e-3,complex,47,I1_plus_I3,0.10088931399150936
driven_dt1e-3,complex,47,cos_theta3,0.038196392357913826
driven_dt1e-3,complex,47,cos_theta1_plus_cos_theta3,0.026697643477007864
driven_dt1e-3,complex,48,I2,0.0974459599706421
driven_dt1e-3,complex,48,I1_plus_I3,0.10153392524179211
driven_dt1e-3,complex,48,cos_theta3,0.03984241096387445
driven_dt1e-3,complex,48,cos_theta1_plus_cos_theta3,0.026040349017594264
driven_dt1e-3,complex,49,I2,0.0857900319086867
driven_dt1e-3,complex,49,I1_plus_I3,0.09915058940884716
driven_dt1e-3,complex,49,cos_theta3,0.04110294177702626
driven_dt1e-3,complex,49,cos_theta1_plus_cos_theta3,0.028590303370490625
driven_dt1e-3,complex,50,I2,0.10477514681080968
driven_dt1e-3,complex,50,I1_plus_I3,0.10101821078193712
driven_dt1e-3,complex,50,cos_theta3,0.038289080957172913
driven_dt1e-3,complex,50,cos_theta1_plus_cos_theta3,0.025265969572889218
driven_dt1e-3,complex,51,I2,0.0990078674605962
driven_dt1e-3,complex,51,I1_plus_I3,0.11684117948544022
driven_dt1e-3,complex,51,cos_theta3,0.04457390212593456
driven_dt1e-3,complex,51,cos_theta1_plus_cos_theta3,0.033477592603316494
driven_dt1e-3,complex,52,I2,0.09389135539256531
driven_dt1e-3,complex,52,I1_plus_I3,0.09946033909413005
driven_dt1e-3,complex,52,cos_theta3,0.03970009318118118
driven_dt1e-3,complex,52,cos_theta1_plus_cos_theta3,0.031221431939338802
driven_dt1e-3,complex,53,I2,0.09644397977635745
