case,stream_order,stream_id,observable,mean
driven_dt2p5e-4,6,37,I2,1.71413152565668
driven_dt2p5e-4,6,37,I1_plus_I3,2.989584757577201
driven_dt2p5e-4,6,37,cos_theta3,-0.20184785649745474
driven_dt2p5e-4,6,37,cos_theta1_plus_cos_theta3,-0.40121304942286923
driven_dt2p5e-4,7,39,I2,1.7193987178139987
driven_dt2p5e-4,7,39,I1_plus_I3,2.9183575470392635
driven_dt2p5e-4,7,39,cos_theta3,-0.20037715737867554
driven_dt2p5e-4,7,39,cos_theta1_plus_cos_theta3,-0.4445607083814859
driven_dt2p5e-4,8,44,I2,1.712683967152502
driven_dt2p5e-4,8,44,I1_plus_I3,2.9347039590935733
driven_dt2p5e-4,8,44,cos_theta3,-0.15786381084962073
driven_dt2p5e-4,8,44,cos_theta1_plus_cos_theta3,-0.3719817025554764
driven_dt2p5e-4,9,45,I2,1.6331142271196302
driven_dt2p5e-4,9,45,I1_plus_I3,2.9495141058520535
driven_dt2p5e-4,9,45,cos_theta3,-0.16166383066272416
driven_dt2p5e-4,9,45,cos_theta1_plus_cos_theta3,-0.3764660763883379
driven_dt2p5e-4,10,47,I2,1.6283217117998696
driven_dt2p5e-4,10,47,I1_plus_I3,2.959331081055649
driven_dt2p5e-4,10,47,cos_theta3,-0.13655116620955618
driven_dt2p5e-4,10,47,cos_theta1_plus_cos_theta3,-0.35441939580859744
driven_dt2p5e-4,11,51,I2,1.840628392395681
driven_dt2p5e-4,11,51,I1_plus_I3,3.039764203690122
driven_dt2p5e-4,11,51,cos_theta3,-0.17218603245481437
driven_dt2p5e-4,11,51,cos_theta1_plus_cos_theta3,-0.40743231301359834
driven_dt2p5e-4,12,52,I2,1.6812594360270028
driven_dt2p5e-4,12,52,I1_plus_I3,2.8823668462903678
driven_dt2p5e-4,12,52,cos_theta3,-0.17061181390565636
driven_dt2p5e-4,12,52,cos_theta1_plus_cos_theta3,-0.38168319500679154
driven_dt2p5e-4,13,54,I2,1.6718442156013849
driven_dt2p5e-4,13,54,I1_plus_I3,3.0221642196132836
driven_dt2p5e-4,13,54,cos_theta3,-0.19409565347247526
driven_dt2p5e-4,13,54,cos_theta1_plus_cos_theta3,-0.39005480917385793
driven_dt2p5e-4,14,57,I2,1.8296824574542077
driven_dt2p5e-4,14,57,I1_plus_I3,3.067841547891674
driven_dt2p5e-4,14,57,cos_theta3,-0.22406149246032822
driven_dt2p5e-4,14,57,cos_theta1_plus_cos_theta3,-0.47444026007650064
