case	rows	sha256
dbeta_0p027972	1000064	8b44be37ea8f566fb3862b6cd796dcfcf433be0888752babb876754c84d4c421
dbeta_0p057143	1000064	382496fcd194154b0f6d486f2d4da9de80d2d0791f94cb0f3e695d8e666a29cc
dbeta_0p125000	1000064	0404492717ce335c1e2eff7970d5d514435fabec9b91604fa92b7d4846cdf685
dbeta_0p222222	1000064	342f3783b40db98263cd685c8ab4e531c9d83842db6762b0bd0a06061642958d
