n,A,tail,time_points,t_min,t_max,minimum_raw_count,maximum_probability,rate_proxy,intercept,r_squared,minimum_observed_count,maximum_included_probability
10,0.46,plus,4,140.0,200.0,20,0.2,0.004083504063244939,-1.0775262382997213,0.9996876648365683,15057,0.19254032258064516
10,0.47000000000000003,plus,6,100.0,200.0,20,0.2,0.00542267267984712,-1.0789745518711318,0.999016802922045,11479,0.1990536971830986
10,0.48,plus,7,80.0,200.0,20,0.2,0.006594294608423842,-1.1208676887898044,0.999186995212803,8751,0.19428043394777267
10,0.49,plus,7,80.0,200.0,20,0.2,0.007907583100151504,-1.1567272077896882,0.9992267200218456,6477,0.16893881208397338
10,0.5,plus,8,60.0,200.0,20,0.2,0.009479423678602671,-1.167272705941682,0.9988230203898568,4726,0.18046454973118278
10,0.51,plus,8,60.0,200.0,20,0.2,0.010979833228825907,-1.2034921723083019,0.9989723859328857,3397,0.15915118567588327
10,0.52,plus,9,40.0,200.0,20,0.2,0.012810598540736228,-1.2023784073658994,0.9984600878886816,2401,0.18875408026113671
10,0.53,plus,9,40.0,200.0,20,0.2,0.014609501868143209,-1.2262437879538706,0.9990112982000863,1620,0.17133696556579622
10,0.54,plus,9,40.0,200.0,20,0.2,0.016304596471613076,-1.2677747678025288,0.9987499347311798,1118,0.15494591653865847
10,0.55,plus,9,40.0,200.0,20,0.2,0.01817333907936987,-1.298782141501554,0.9987806428043772,746,0.13997495839733742
10,0.56,plus,9,40.0,200.0,20,0.2,0.020052221249727976,-1.3397068986530627,0.9981958609773395,501,0.1257980510752688
10,0.5700000000000001,plus,10,20.0,200.0,20,0.2,0.022897467719091708,-1.2727707305324536,0.9975057450416928,300,0.19976221521822604
10,0.58,plus,10,20.0,200.0,20,0.2,0.025102609532456202,-1.2968549609575015,0.9976127383275081,194,0.18766998912069627
10,0.59,plus,10,20.0,200.0,20,0.2,0.02748868999129655,-1.3125101352508515,0.9981831161316194,121,0.17632471521822604
10,0.6,plus,10,20.0,200.0,20,0.2,0.029603927053041094,-1.3530704888947227,0.9973615271484855,81,0.16517342890055037
10,0.61,plus,10,20.0,200.0,20,0.2,0.032269217431244474,-1.3571002607387161,0.9983809517350746,46,0.15463310348137718
10,0.62,plus,10,20.0,200.0,20,0.2,0.03477481420902298,-1.3743850548608034,0.9986717097805929,25,0.14466674132855498
10,0.63,plus,9,20.0,180.0,20,0.2,0.03773035238298849,-1.3748223846145515,0.9982802300115899,37,0.13509935364136696
10,0.64,plus,9,20.0,180.0,20,0.2,0.03966657198328081,-1.4439144361774765,0.9964953081099838,27,0.1260779310124152
10,0.65,plus,8,20.0,160.0,20,0.2,0.043226995333479304,-1.4019641501649958,0.9987411670697719,33,0.11762447203378984
10,0.66,plus,8,20.0,160.0,20,0.2,0.045502053536712085,-1.4618416520917894,0.9972973925898121,24,0.10954298924868808
10,0.67,plus,7,20.0,140.0,20,0.2,0.048937280115208634,-1.4382001764375925,0.9978505305230315,41,0.10189447875335979
10,0.68,plus,7,20.0,140.0,20,0.2,0.051449628988130554,-1.4820808282572686,0.9970727306151894,29,0.09454594905926021
10,0.6900000000000001,plus,7,20.0,140.0,20,0.2,0.053648065716312324,-1.5504829127728044,0.9944671899133408,22,0.08759639383079483
10,0.7000000000000001,plus,6,20.0,120.0,20,0.2,0.05882842369970638,-1.455945778567093,0.9975597843786775,39,0.08104981281198004
10,0.71,plus,6,20.0,120.0,20,0.2,0.061504945488984185,-1.4987111578572871,0.9958215962787427,29,0.07506019614744656
10,0.72,plus,5,20.0,100.0,20,0.2,0.06735734420241708,-1.3860599453365687,0.9993644215341049,61,0.06940355817227697
10,0.73,plus,5,20.0,100.0,20,0.2,0.07024100104567482,-1.4243680135967416,0.9989508197511313,46,0.06412089626263918
10,0.74,plus,5,20.0,100.0,20,0.2,0.07439658853902742,-1.403449372404285,0.999246228716208,29,0.059198211314475876
10,0.75,plus,4,20.0,80.0,20,0.2,0.07835229887450015,-1.3951219178259422,0.9990260017377419,124,0.05462850377575835
10,0.76,plus,4,20.0,80.0,20,0.2,0.08184014762057162,-1.4109585653702315,0.9991181708839075,92,0.05025078394982721
10,0.77,plus,4,20.0,80.0,20,0.2,0.08639819362313059,-1.4014283409863562,0.999116615752049,65,0.046276038333546654
10,0.78,plus,4,20.0,80.0,20,0.2,0.08993180358748919,-1.4180114645342734,0.9992051230735614,48,0.04250427972609753
10,0.79,plus,4,20.0,80.0,20,0.2,0.09339616240424534,-1.4442183405611397,0.9989257544455841,36,0.03894050780750032
10,0.8,plus,4,20.0,80.0,20,0.2,0.09741264733748282,-1.4550379485659342,0.9988537796155628,26,0.035663717522078586
10,0.81,plus,4,20.0,80.0,20,0.2,0.10023858769125717,-1.5051860618044093,0.998465886311759,20,0.03252591834122616
20,0.01,minus,6,20.0,120.0,20,0.2,0.06708339228002456,-0.6864142439224288,0.9994612940140082,29,0.13226753487776782
20,0.02,minus,5,20.0,100.0,20,0.2,0.07722536859790817,-0.590920339895723,0.9996961002254797,47,0.11357873096121848
20,0.03,minus,5,20.0,100.0,20,0.2,0.08459373693715773,-0.6138145546273861,0.9997324539910754,23,0.09700679156533981
20,0.04,minus,4,20.0,80.0,20,0.2,0.0917126528654959,-0.6434573787693699,0.9998121569934204,83,0.08274870408293869
20,0.05,minus,4,20.0,80.0,20,0.2,0.09990612528837507,-0.6329244481811985,0.9996922821893286,43,0.07029450115192627
20,0.06,minus,4,20.0,80.0,20,0.2,0.10755665762907868,-0.6473965989419997,0.9997425133010187,23,0.05953019006783566
20,0.15,plus,4,140.0,200.0,20,0.2,0.004385594173555239,-1.0412396834351434,0.9973303492669275,14744,0.19209929435483872
20,0.16,plus,7,80.0,200.0,20,0.2,0.007050529789824342,-1.0644851803972082,0.9991234678918774,8500,0.19880072324628775
20,0.17,plus,8,60.0,200.0,20,0.2,0.010144792751413997,-1.0842209967482943,0.9989124718095813,4489,0.1888050835253456
20,0.18,plus,8,60.0,200.0,20,0.2,0.013406848768635304,-1.1289667269558898,0.9992091319766545,2206,0.14872551843317972
20,0.19,plus,9,40.0,200.0,20,0.2,0.017598932103107832,-1.1034824043516958,0.9989701932256129,980,0.1728670634920635
20,0.2,plus,9,40.0,200.0,20,0.2,0.021871833535340605,-1.116241107514625,0.9992352021384483,406,0.1435171850998464
20,0.21,plus,9,40.0,200.0,20,0.2,0.026651315905131163,-1.10854322942287,0.9990718505402234,150,0.11832757296466974
20,0.22,plus,10,20.0,200.0,20,0.2,0.03205497112084536,-1.051740460558929,0.9996592080944992,58,0.19847429764495073
20,0.23,plus,9,20.0,180.0,20,0.2,0.037436934950732914,-1.0443609046441138,0.9994258526165074,49,0.17843258031485984
20,0.24,plus,8,20.0,160.0,20,0.2,0.04388296319168813,-0.9910163978877271,0.9984962331406753,37,0.16007875495968257
20,0.25,plus,7,20.0,140.0,20,0.2,0.04873661627779375,-1.0457681737499862,0.9989360089308781,54,0.14282285933700242
20,0.26,plus,7,20.0,140.0,20,0.2,0.05645406180148954,-0.9691285908864482,0.9999112271789524,20,0.1272528558172277
20,0.27,plus,6,20.0,120.0,20,0.2,0.06410591052705444,-0.9001656753015445,0.9995952241324281,29,0.11296577019070779
20,0.28,plus,5,20.0,100.0,20,0.2,0.0701675235401444,-0.9085058608886134,0.999525475510352,69,0.10000459970561884
20,0.29,plus,5,20.0,100.0,20,0.2,0.07406421808136794,-1.0175289647665982,0.9991391619792426,47,0.0882573515295021
20,0.3,plus,5,20.0,100.0,20,0.2,0.07979321563503101,-1.051192699934506,0.9987570188383413,26,0.0777720225905542
20,0.31,plus,4,20.0,80.0,20,0.2,0.09000310346081042,-0.9292199363537985,0.9989992684446436,79,0.06830562843977986
20,0.32,plus,4,20.0,80.0,20,0.2,0.09781409437361063,-0.8973472211060758,0.9994803234251354,43,0.05992316491744528
20,0.33,plus,4,20.0,80.0,20,0.2,0.10418066889454239,-0.9316891926072104,0.9986088292135099,26,0.05245564283885831
30,0.01,minus,8,40.0,180.0,20,0.2,0.040463024693971616,-0.5145181801745107,0.9979592737810521,53,0.11606942844342037
30,0.02,minus,7,40.0,160.0,20,0.2,0.04990684376105061,-0.48162729183579167,0.9990176262823154,29,0.08282730094726062
30,0.03,minus,7,20.0,140.0,20,0.2,0.05832265711448413,-0.554768827266565,0.9993447941993954,25,0.16940015838986305
30,0.04,minus,6,20.0,120.0,20,0.2,0.06867450847573313,-0.5056324603654468,0.9993949780610708,25,0.14126595897862537
30,0.05,minus,5,20.0,100.0,20,0.2,0.0766580242519679,-0.569656785255155,0.9997539810290426,51,0.11714450275182388
