n,n_blocks,mean_action_current,mean_heat_current,mean_entropy_rate,mean_energy_drift_rate,balance_rms_rate
10,1000064,0.3980903448624745,3.212120902595726,1.2848486496939346,-1.1936160321851947e-06,9.708818422923686e-06
20,1000064,0.11978669963958916,1.406913397121395,0.5627507138743028,4.8642993237674906e-05,5.714498461096947e-06
30,1000064,0.0542605041951381,0.7959487012002547,0.31839227322791996,-4.2720474604859635e-05,3.9867027309477425e-06
40,1000064,0.030518628270088638,0.5229449840788877,0.20918304735744828,-1.6890439439841228e-05,3.0522008438264373e-06
