source,n,tau,observable,n_samples,autocorrelation_time,effective_sample_size,mean,std,negative_count,negative_probability,target_symmetry_slope,ft_slope,ft_intercept,ft_r_squared,ft_slope_ci_low,ft_slope_ci_high,ft_intercept_ci_low,ft_intercept_ci_high,ft_bins_used
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,heat_current,1000064,1.0,1000064.0,1.4069133971213776,1.1735033699634436,99933,0.09992660469729937,0.4,0.1258065332551973,0.0007807444340732241,0.9983291271356284,0.12452565688410847,0.12712040267512206,0.00012796791211240775,0.001436956558461388,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,heat_current,499968,1.0,499968.0,1.4069236430739207,0.7874152516750871,11174,0.02234943036354327,0.4,0.15609039329016564,0.000608247181140362,0.9075775963053228,0.14151003448722857,0.16892888079782967,-0.0008883317924709245,0.002245545280149616,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,heat_current,333312,1.0,333312.0,1.4069236430739207,0.6313309724541729,1587,0.004761304723502304,0.4,0.16822868649880027,0.0004525454661072374,0.9401538825664091,0.1378833212640862,0.19924435061264106,-0.002074158529066895,0.0030039221419760525,11
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,heat_current,249984,1.0,249984.0,1.4069236430739207,0.5412614296075972,255,0.0010200652841781874,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,heat_current,199936,1.0,199936.0,1.4069434021088316,0.4816300258982976,44,0.00022007042253521127,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,heat_current,166656,1.0,166656.0,1.4069236430739207,0.43813017783420766,4,2.4001536098310292e-05,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,heat_current,142848,1.0,142848.0,1.4069236430739207,0.4049278701757028,1,7.000448028673835e-06,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,heat_current,124928,1.0,124928.0,1.4069469238144872,0.3778099441897314,0,0.0,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,heat_current,111104,1.0,111104.0,1.4069236430739207,0.35589978831459645,0,0.0,0.4,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,heat_current,99968,1.0,99968.0,1.4069434021088316,0.3364040236365548,0,0.0,0.4,nan,nan,nan,nan,nan,nan,nan,0
