# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=50 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026091451 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
1,0.34171332028542656,0.0012698532411165057,0.0037445033016958733,0.00028459290822957186,256
2,0.33184432585061951,0.0013651080294612929,0.0076909540578709796,0.00081600490008872204,256
3,0.33442861320060036,0.001514730709560547,0.0081243322231605158,0.00071980551135425474,256
4,0.33676386346010617,0.0014884987232614672,0.0079788056523290365,0.0007578457493286634,256
5,0.33862309126884421,0.0014814202650387453,0.0069280805027161305,0.000792277729733028,256
6,0.33965032000466,0.0015524026112629307,0.0068323558742442222,0.00079732591845400815,256
7,0.34169971240303465,0.0015598804789598672,0.0067790547326057361,0.000824633086642209,256
8,0.34317522293193042,0.0015365834730051286,0.0065868818333113385,0.00080195901937498196,256
9,0.34469206155143178,0.0015837787614665564,0.007042474997815267,0.00082700358713136163,256
10,0.34721990716007434,0.0015662066743120247,0.0064077183482964054,0.00078875278491641072,256
11,0.34914501267125997,0.0017513374919277736,0.0066172055531675752,0.00080889073681886703,256
12,0.34958412407731321,0.0017574456321607168,0.0072130428429235975,0.00085771853287133391,256
13,0.35001248141939856,0.0017839137060937109,0.0077814305686633818,0.00083209304634007154,256
14,0.3514584098999145,0.0018419422991412669,0.0070379637039982611,0.00080529898592766023,256
15,0.35207795540504616,0.0018691633587460611,0.0061801809053503879,0.00084588734276086345,256
16,0.35289592066022857,0.0019536030011559221,0.005909686814580541,0.00084987047654982864,256
17,0.35425663037711697,0.0020170633485198496,0.0038358290017243796,0.00078331839978062578,256
18,0.35579133895781923,0.0020927449010528813,0.003981818105398327,0.00077017652328553558,256
19,0.35726403237288878,0.00229573517470062,0.0043770192960291736,0.00082091058776807705,256
20,0.3578078340389676,0.0022202244482852,0.0043700274150893044,0.00078936498652547023,256
21,0.35631544969148221,0.0022313407157968962,0.0044145576689675033,0.00075776824807437162,256
22,0.3590181676460466,0.002316972668521885,0.0038706573842670023,0.0007861234582858767,256
23,0.35823314334621997,0.0023817863148605238,0.0049666536276250358,0.00084663862218757775,256
24,0.35709641772514084,0.002393276635986675,0.0036775714923622492,0.00079687116140237822,256
25,0.35962170600139742,0.0024490751261807236,0.0044459361174728424,0.00083395751458705349,256
26,0.35995206965586968,0.0024815283670855393,0.0041284133818235581,0.00085562157866778685,256
27,0.35999237050876737,0.0024987471760552099,0.0038334394889746617,0.00085295443649741358,256
28,0.36065303803357962,0.0025542403033111064,0.0032871393169420092,0.00082927838712059635,256
29,0.36304707915669487,0.0026401192286242712,0.0043353399187799372,0.0008279128411803645,256
30,0.36406751687609906,0.0026198340204359426,0.0040285994453335234,0.00082449076341011777,256
31,0.36754121552924962,0.0027432244444054715,0.0028639052702403548,0.00082180597501327519,256
32,0.36898786593738114,0.0027906476499107448,0.0036482887471657901,0.00085917036754875437,256
33,0.36955891417829795,0.0029509811022544181,0.0023974896184597722,0.00086855463666739253,256
34,0.36995425094184181,0.0031671032184642342,0.0013862606833330473,0.00080353953259234417,256
35,0.37022564741239589,0.0031113774124927529,0.0028714690410561339,0.00083876994167514948,256
36,0.37007865144200264,0.003225272576196403,0.0026766451424255428,0.00081967749338922086,256
37,0.37003546054459879,0.0033270553082207902,0.0031186071762988724,0.00080254723753723296,256
38,0.3694598426233664,0.0034605357719781323,0.0014348535600269422,0.00079702434382824844,256
39,0.37141458345822542,0.0037613589532752918,0.0013204193403753587,0.00081518469274640131,256
40,0.37225068357464308,0.0038489231339193411,0.0020488844763163153,0.00088454509574042983,256
41,0.37229817622500688,0.0037702521980418,0.0018664493843103072,0.00080812133652536462,256
42,0.3705320924268653,0.0036543643483716889,0.0018829262082949068,0.00084163547997522122,256
43,0.37060623583356994,0.0036582565625734699,0.0011909224220054764,0.00075536550456770882,256
44,0.3699790985836538,0.0037651522213377302,0.00051309879746614989,0.00079978351210705737,256
45,0.3704294202567382,0.0039002220744014074,0.00012887838786224964,0.00074978111248965001,256
46,0.3707531991028486,0.0040718161140394548,0.0020066466385237547,0.00076488641303135727,256
47,0.37049977245596788,0.0041343548938520503,0.0013875404567245692,0.00074581516822147162,256
48,0.36882593291300469,0.0043641601667842944,0.0008034062215264286,0.00075037347357085542,256
49,0.36447152315419706,0.0041181171169686883,4.3323355027253993e-07,0.0007549244353558265,256
50,0.31902779837014772,0.002307481533605884,,,256
