# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=10 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091300 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
series,checkpoint,absolute_time,mean_total_action,se_total_action,mean_I_left,se_I_left,mean_I_right,se_I_right,sample_count
burnin_snapshot,1,8000,32.948778989341349,0.19495003961969334,0.30865236293720955,0.020599710833456356,0.30472399593782029,0.02967274312995824,256
burnin_snapshot,2,16000,33.022552514002406,0.19951406474808425,0.28862533516456051,0.020496595034142251,0.27713123573266785,0.025195840742520462,256
burnin_snapshot,3,24000,33.433410124678872,0.19756231450870249,0.27632805957585288,0.017590477880770668,0.29664452709232592,0.028417213577511199,256
burnin_snapshot,4,32000,33.039550816347962,0.18583976748038561,0.30923141754738026,0.019317797478588149,0.30358482263295627,0.026953860060395955,256
measurement_snapshot,1,32500,32.889136789320297,0.17635812939051917,0.319368210904031,0.020248228184167359,0.26858563308815064,0.020445471344940985,256
measurement_snapshot,2,33000,32.943769498723377,0.18454950722348765,0.3203511309315486,0.022403071433671189,0.26991232907951712,0.022185558848390269,256
measurement_snapshot,3,33500,33.150948238672804,0.19054713680071261,0.32897555297898134,0.020747706026556467,0.23421075639271294,0.015452448393549388,256
measurement_snapshot,4,34000,33.133947045068531,0.1945942603042751,0.29423432469086902,0.018744334549953157,0.2447438409706848,0.019055597686410273,256
measurement_quarter,1,32250,32.859217819187478,0.16768421795556568,0.30776754208357227,0.0016494973699903047,0.27812197289337398,0.0049265336421416162,256
measurement_quarter,2,32750,32.821256475080531,0.17010358530482705,0.30833492561043824,0.0016931484909217707,0.28225625032830315,0.004839351263391683,256
measurement_quarter,3,33250,33.055354305760147,0.16260144345641098,0.30542937720595059,0.0015768956693557844,0.28145943832619547,0.0049571819710720654,256
measurement_quarter,4,33750,33.178952216781347,0.17880929135160814,0.30525344730546178,0.0017197626359347577,0.27707487756133597,0.0054038186304136773,256
measurement_quarter_difference_q4_minus_q3,4,34000,0.12359791102122202,0.11704585784442365,-0.00017592990048870738,0.0012243220710996519,-0.0043845607648596106,0.0058630523541427513,256
