# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=10 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091225 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
phase,checkpoint,absolute_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
burnin,1,500,1,0.59424816172486317,0.040362216136106945,-0.083152833811254823,0.042703402404310913,256
burnin,1,500,2,0.57250997251594526,0.035939044558077733,-0.029410073866984021,0.042780889957485274,256
burnin,1,500,3,0.63025726365231094,0.042052415663221036,0.040184511024563108,0.044677858789246398,256
burnin,1,500,4,0.57294659404931281,0.039564359963840542,-0.043930092068876547,0.044028684132665551,256
burnin,1,500,5,0.59465106932293565,0.044728128209649894,-0.0084604362423306156,0.045553543021682213,256
burnin,1,500,6,0.67931201700071142,0.049338960869561008,0.073401646115598851,0.04485987730482055,256
burnin,1,500,7,0.69014743374827958,0.045663940142991209,-0.0013831381656927988,0.043895816941214971,256
burnin,1,500,8,0.58070961636394713,0.036610696468954998,0.060377530924597522,0.044144895492188432,256
burnin,1,500,9,0.70716746696371047,0.052891329217482422,-0.043583098420640454,0.043405524297622879,256
burnin,1,500,10,0.59062761296195276,0.038601632475307152,0.074428105278457224,0.045051779922269344,256
burnin,1,500,11,0.63661700400552945,0.039450532404443787,0.040553659404395148,0.044473936023396068,256
burnin,1,500,12,0.64906865705916061,0.042018854358882016,0.0034870865497396153,0.044647969479237153,256
burnin,1,500,13,0.62752649670346727,0.045715537101470562,0.0010531680127314758,0.045737920488503177,256
burnin,1,500,14,0.66742840973438433,0.043675249313985212,-0.023773014061816866,0.04254533837564644,256
burnin,1,500,15,0.68068905893824194,0.051688445209944069,0.0053171538347669411,0.045257147238245476,256
burnin,1,500,16,0.75199243823772122,0.055288113991882909,-0.004891668051641318,0.043099510626568756,256
burnin,1,500,17,0.63588415442359292,0.052370418460987417,-0.042250732362845156,0.042664770454339099,256
burnin,1,500,18,0.69167141083198658,0.051824816326877632,0.033404564877855591,0.043879132743176799,256
burnin,1,500,19,0.65902803272592791,0.047587896365413329,0.02699957771528716,0.045040799081844551,256
burnin,1,500,20,0.64604183878054755,0.046288215253256638,-0.04343958444223972,0.041753174477054421,256
burnin,1,500,21,0.63323728963041503,0.043639170436843899,-0.080321014784203726,0.045067396169577147,256
burnin,1,500,22,0.52663680025526105,0.031106922034085396,0.019416939252550947,0.042976790719494083,256
burnin,1,500,23,0.60961097936547048,0.045560796836184171,0.082103431379437097,0.044286546200868651,256
burnin,1,500,24,0.71912701833457504,0.050670282684267161,-0.051662718678926467,0.044221388354917984,256
burnin,1,500,25,0.67732004912522825,0.053481457495220541,,,256
measurement,1,2500,1,0.61710817038731824,0.036749671886552517,0.038467997221232508,0.045221108870883812,256
measurement,1,2500,2,0.65037305139776436,0.040947192599573461,0.0075932371746603167,0.045719390171194259,256
measurement,1,2500,3,0.66282593046526017,0.048319578785548017,0.11070768218951343,0.042000972218252712,256
measurement,1,2500,4,0.73285420313459326,0.046745543241672294,0.014038311949775562,0.043227761281012037,256
measurement,1,2500,5,0.63900826972258074,0.037912037526851475,0.0045679980739805615,0.046241709091477158,256
measurement,1,2500,6,0.56699847096024314,0.037984701085624205,0.011418579412747931,0.043666980985115032,256
measurement,1,2500,7,0.70592775288332632,0.045760954603716979,-0.023190970928652632,0.044729378386049352,256
measurement,1,2500,8,0.65725651437514898,0.045307351981906073,0.0084097573651433777,0.042912633236153935,256
measurement,1,2500,9,0.63730540120923251,0.044715401471390068,0.067597303451293556,0.043859667669838849,256
measurement,1,2500,10,0.66168399153593782,0.04528679618748134,0.016172383235243615,0.044299487395416462,256
measurement,1,2500,11,0.55574656339103967,0.037377884850624682,-0.00096568273511365987,0.04371012025626933,256
measurement,1,2500,12,0.62617883574057487,0.045244937850643693,0.035268295406240213,0.04261161237544038,256
measurement,1,2500,13,0.66785355002321012,0.04916582713252083,0.0048272059482314944,0.042160159486832743,256
measurement,1,2500,14,0.64527804894441942,0.045018418648555172,-0.016306206347508123,0.043761005045858802,256
measurement,1,2500,15,0.67207383999546222,0.050948061207880382,0.070787525848572841,0.043220576366537665,256
measurement,1,2500,16,0.64709674608911882,0.041690617501854342,-0.034253938303663745,0.04267652743288055,256
measurement,1,2500,17,0.73302380777568032,0.054080853258507706,-0.018289826697127864,0.041243649575962278,256
measurement,1,2500,18,0.59650130641512078,0.043829854338666999,0.0031877344245003769,0.04380287650287977,256
measurement,1,2500,19,0.56727859162492678,0.035782238533643235,-0.016979701137188385,0.043989774068825239,256
