# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=10 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091225 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
series,checkpoint,absolute_time,mean_total_action,se_total_action,mean_I_left,se_I_left,mean_I_right,se_I_right,sample_count
burnin_snapshot,1,500,16.024456846455479,0.15742041153163963,0.59424816172486317,0.040362216136106945,0.67732004912522825,0.053481457495220541,256
burnin_snapshot,2,1000,15.77702153015283,0.14279411777216861,0.62658045509670046,0.038767898722084887,0.60056980301487783,0.043530873053724307,256
burnin_snapshot,3,1500,16.223500112269448,0.155095024641347,0.60383556426904761,0.035409123599481715,0.67484622959182161,0.048218622444703096,256
burnin_snapshot,4,2000,16.243247522089888,0.15761760283490778,0.68661880154559185,0.041023814010730228,0.59283041931848857,0.040721326774934778,256
measurement_snapshot,1,2500,16.001146864241157,0.15947587033906002,0.61710817038731824,0.036749671886552517,0.6021029496500887,0.036068899382647714,256
measurement_snapshot,2,3000,16.2026845210506,0.15702647414525539,0.71743009710189654,0.043271903359007151,0.59095393482675718,0.041479599722766256,256
measurement_snapshot,3,3500,16.256825333571523,0.15897700777754209,0.59621072790105245,0.039116392273383135,0.64539051588735674,0.044379952042046832,256
measurement_snapshot,4,4000,15.852744418081592,0.15730210065842659,0.58408375773387888,0.034517116794255134,0.57368132893680013,0.037870166549830955,256
measurement_quarter,1,2250,16.05136774150079,0.051327196782082758,0.64036661042436305,0.0019952244246271267,0.60145666960831001,0.0040229863964596066,256
measurement_quarter,2,2750,16.148850308907932,0.058279137076522013,0.63712554833193868,0.0021497405390168496,0.61155277281880494,0.0042440393364913884,256
measurement_quarter,3,3250,16.194843393303266,0.062287784559359696,0.63590373480108564,0.0023229895000743857,0.61169179011069696,0.0043220088647221476,256
measurement_quarter,4,3750,16.107376174512734,0.052814621049805228,0.63860831931572692,0.0020241109163742109,0.60752780696687336,0.004138464834895131,256
measurement_quarter_difference_q4_minus_q3,4,4000,-0.087467218790530918,0.080740389284126107,0.0027045845146411707,0.0031380072848481238,-0.0041639831438242342,0.0061285203565008715,256
