# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
quarter,interval_start,interval_end,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
1,0,500,1,0.4933320163805508,0.0015983518239078461,0.0033877216566655251,0.00058459286815417332,256
1,0,500,2,0.486465146446459,0.0021916844050271769,0.0032416533881420946,0.0013411044578938709,256
1,0,500,3,0.4905293528714858,0.0023595379691373863,0.0053959691700003632,0.0012101682242096807,256
1,0,500,4,0.49292147865543562,0.002285753049381362,0.0072406481407583188,0.0011951641192339344,256
1,0,500,5,0.49462224367018953,0.002338336002787161,0.0057338906562927729,0.0013284583574207916,256
1,0,500,6,0.49586549427486154,0.0025770806245408958,0.0058500800503790305,0.0012941558057887653,256
1,0,500,7,0.49860908937682674,0.0023974477767241395,0.0064568665180113113,0.001207541142756125,256
1,0,500,8,0.49846627861754006,0.00248639996860289,0.003803826565092708,0.001269923038909585,256
1,0,500,9,0.50039687819788081,0.0025801135571091897,0.0042983348885181879,0.0013023226850137127,256
1,0,500,10,0.50095392910780812,0.0027827708770215092,0.0048732280182060828,0.0013126179778294954,256
1,0,500,11,0.50472427623027361,0.0028263747738770384,0.0042512348539291761,0.0013207866517707667,256
1,0,500,12,0.50323155273271336,0.0031057044876033899,0.0035796803352611648,0.0013179804581606028,256
1,0,500,13,0.50397853215139854,0.0032258461947416999,0.0043904356071643768,0.0013384238695186693,256
1,0,500,14,0.5040889450328232,0.0031230370798066088,0.0043266215073004839,0.0013389769676799067,256
1,0,500,15,0.50803199949731903,0.003069697427804404,0.0023357659879005314,0.0013963890247956758,256
1,0,500,16,0.50324310326657795,0.0031826002817725656,0.001930022803425776,0.0012658093835989563,256
1,0,500,17,0.50277280238842526,0.0035200328148317964,0.005578653376271241,0.0012879005901706513,256
1,0,500,18,0.50607103490300032,0.0039682099236953714,0.0049648605639023404,0.0013498591108482482,256
1,0,500,19,0.50639909546988238,0.0040732500171739017,0.0015283658439909536,0.0012643484949728151,256
1,0,500,20,0.50315007153306801,0.0042821481422584701,0.0017904939729333684,0.0013860538505093972,256
1,0,500,21,0.50518394491657492,0.0044071240175108809,0.0011928532431775207,0.001344264456918892,256
1,0,500,22,0.50588323039309135,0.0046134447847791813,-0.00039324631350268191,0.0012360570956073764,256
1,0,500,23,0.50858364011674695,0.0048670101191139233,-0.00061551349554864155,0.0011455438548032691,256
1,0,500,24,0.50682234129894388,0.0048222129440111585,-0.00022507318699255139,0.0011855906610959204,256
1,0,500,25,0.47659848501631008,0.0035721854904002658,,,256
2,500,1000,1,0.4989230063652319,0.0016665843509122685,0.0034806812902440044,0.00057979069173855885,256
2,500,1000,2,0.49102163755370848,0.0022178061341097013,0.0065660354641785068,0.0013566517472547138,256
2,500,1000,3,0.48994740152503663,0.002377747688004615,0.0062382255090689953,0.0012542274295211315,256
2,500,1000,4,0.49169713148581823,0.0022393637971661823,0.0067820408877275898,0.0012758055426947382,256
2,500,1000,5,0.49247145189359265,0.0022156291323235373,0.0071909645833265236,0.0011439803738726962,256
2,500,1000,6,0.49399833165245077,0.0022245732434690545,0.0076219061146893079,0.0012953893643115027,256
2,500,1000,7,0.4928342078746647,0.002322930773697066,0.0058726290524888985,0.0013903113661199046,256
2,500,1000,8,0.49371417989907895,0.0025040942194803168,0.0049038031557510249,0.0012556572192649884,256
2,500,1000,9,0.49504052669216519,0.0025143207026009978,0.0043571162717249033,0.0013081692475733957,256
2,500,1000,10,0.49482426580711703,0.0026407733069075509,0.005971906835834693,0.0012979364580826375,256
2,500,1000,11,0.49475424288513026,0.0025735426850071672,0.0068572376569519793,0.0013860723872988576,256
2,500,1000,12,0.49837400771897433,0.0030231270919886138,0.0059016099573346963,0.0013585385491237589,256
2,500,1000,13,0.49837423096607636,0.0031035474905560198,0.0023329126200210171,0.0013483081003514438,256
2,500,1000,14,0.49809345599164734,0.0031456330454424845,0.0038026503796346261,0.001293107085772519,256
2,500,1000,15,0.49769039116159935,0.0032106416565745141,0.0040215858131671146,0.0014248985523248553,256
2,500,1000,16,0.49513594090215446,0.0032869658325599595,0.0040101529586892655,0.0013081675004426149,256
2,500,1000,17,0.49604138900607109,0.003280726356122352,0.00052872187219802995,0.0014200536777668892,256
2,500,1000,18,0.49754218231253572,0.003328430448856183,0.0012753566160482591,0.0012357697751598257,256
2,500,1000,19,0.4978658602112328,0.0033370059149937406,0.0011488815900314085,0.0013447028917231423,256
2,500,1000,20,0.49766583551235466,0.0034991097658534616,-0.00044971760139586641,0.001232574789348202,256
2,500,1000,21,0.49732833160478468,0.0033937449421036691,0.00036261783336879506,0.0011554001317388139,256
2,500,1000,22,0.50081548243695928,0.0036762439352869118,0.00076010223839454848,0.001198918088754589,256
2,500,1000,23,0.5013735662125689,0.0040774057095622606,-0.00031476266231096807,0.001155213850688069,256
2,500,1000,24,0.50047657350654084,0.0041673510425338416,0.00016353147217524361,0.0012050292457983602,256
2,500,1000,25,0.47996051888473401,0.0031996401761523749,,,256
3,1000,1500,1,0.49616419343788976,0.0015187131526600227,0.0047334091096295572,0.00058337315302237481,256
3,1000,1500,2,0.48853422378661121,0.0020722357108162795,0.0073758029897916053,0.0014622851603256211,256
3,1000,1500,3,0.49144434856659036,0.0021456280147725466,0.0051192696055273358,0.001311380466688228,256
3,1000,1500,4,0.49139792733552379,0.0020881224249832612,0.0060032258528167921,0.0013091414898612553,256
3,1000,1500,5,0.49082642730146353,0.0022473845482767849,0.0062775096430318384,0.0012969889790239394,256
3,1000,1500,6,0.49362059098543815,0.0023820173834284606,0.0051343910092565203,0.0012668167247457749,256
3,1000,1500,7,0.49497237974246328,0.0023646872944101728,0.0050433526738594284,0.001302004705555243,256
3,1000,1500,8,0.49440797398612812,0.002426846889407178,0.0062037752161219865,0.0013527334170866999,256
3,1000,1500,9,0.49232072026410129,0.0023543959736593602,0.0068269717194884595,0.0013755318151306331,256
3,1000,1500,10,0.49375580436999822,0.0026059718869898035,0.0053060102987890429,0.0014711167784340195,256
3,1000,1500,11,0.49586359008203201,0.0027030440874105817,0.0050296083674958494,0.0013208707882357855,256
3,1000,1500,12,0.49795253776795079,0.0027898711599777504,0.0054397300896817987,0.0013027442427296671,256
3,1000,1500,13,0.49800203411998961,0.0028997894404227385,0.0044925781795437233,0.0012900102599325495,256
3,1000,1500,14,0.49846241556604876,0.0030233347590033011,0.0052457641059637352,0.001292716221721499,256
3,1000,1500,15,0.49974195371981811,0.0030272987349800021,0.0044642657827484401,0.0013277147343792066,256
3,1000,1500,16,0.49999158891411005,0.003231395075605885,0.0056622396935160271,0.0013625030445161101,256
3,1000,1500,17,0.50077389872599332,0.003171251255107913,0.0026888162167135205,0.0012394595168848303,256
3,1000,1500,18,0.49941033162138193,0.0030350197159503792,0.0018930950512108019,0.001266239260351705,256
3,1000,1500,19,0.50128920185790227,0.0034684463682698174,0.0025032378799792194,0.0012555245988153719,256
3,1000,1500,20,0.50457064269592777,0.0036820174688343291,0.0022626753596165206,0.0013206920025485495,256
3,1000,1500,21,0.50369670575818237,0.0035935769083487558,0.0017827900119674073,0.0013187226870176548,256
3,1000,1500,22,0.50391452336042031,0.0037691906198082221,0.0030415006784746132,0.001303427750492091,256
3,1000,1500,23,0.50135789476828185,0.0040404429649538625,0.0015014256150773589,0.0010723228415449189,256
3,1000,1500,24,0.50116435833826556,0.0041614573133471064,-0.0013104142388952809,0.0012470088879821982,256
3,1000,1500,25,0.47978431134969046,0.0036073707641690878,,,256
4,1500,2000,1,0.49508766190894749,0.0015964452147897831,0.0047964198879189039,0.0006369203246645148,256
