# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=50 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026091451 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
quarter,interval_start,interval_end,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
1,0,500,1,0.33990790332182086,0.0019370174032583673,0.0044831485033011457,0.00058932960326894064,256
1,0,500,2,0.33087585329042118,0.0023451167595275194,0.010044952403402972,0.0016542180082806646,256
1,0,500,3,0.33226239249131939,0.0025256205608592814,0.010612553632065478,0.0014915127811577008,256
1,0,500,4,0.33552089713384969,0.002807597227787454,0.0099312836118897463,0.0015370814709249774,256
1,0,500,5,0.33583245050625532,0.0028313644133595986,0.0067651883814270715,0.0015699801789110966,256
1,0,500,6,0.33872862248152824,0.0026711482298022193,0.0062903398844025207,0.0017231687315921805,256
1,0,500,7,0.34018139726002705,0.0027519482432492746,0.0072964368136923469,0.0015156336353952021,256
1,0,500,8,0.34266113576215329,0.0029617249280607634,0.0091339054227660525,0.0015776729503848073,256
1,0,500,9,0.34223883989473397,0.0031912739769469488,0.0097964772586992994,0.0016941041668224303,256
1,0,500,10,0.346553693083058,0.0034968010008550776,0.0074865869832716715,0.0015792226356209917,256
1,0,500,11,0.35073231938325689,0.0036177430030923789,0.0086209825780361789,0.0015361003209779236,256
1,0,500,12,0.34854435785679927,0.0034960194735904004,0.0097376257494261424,0.0016264710219193867,256
1,0,500,13,0.34737825259968674,0.0037097137970061129,0.010558071712128848,0.0015657118636927686,256
1,0,500,14,0.34927266117195105,0.0035775270676256864,0.0082160389721120143,0.0016250695068418446,256
