# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091425 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
series,checkpoint,absolute_time,mean_total_action,se_total_action,mean_I_left,se_I_left,mean_I_right,se_I_right,sample_count
burnin_snapshot,1,500,12.734679549976818,0.11375953705561408,0.45773976315194886,0.030161312795528809,0.45422058136864507,0.035360290208821331,256
burnin_snapshot,2,1000,12.428978999749802,0.11791574460456393,0.47918023718511904,0.029222356409136837,0.47970350363175385,0.036350897918885648,256
burnin_snapshot,3,1500,12.454631790368524,0.11950394670151379,0.48787100681602169,0.032366600798795171,0.45256184560309975,0.029278921322437566,256
burnin_snapshot,4,2000,12.262852605272933,0.12716606978576436,0.48307320623455735,0.027704083897232043,0.46558955660202628,0.029636530001292689,256
measurement_snapshot,1,2500,12.604060967109376,0.10448092995867322,0.5211607841301884,0.037312048828969963,0.4115909406625633,0.026398301941056038,256
measurement_snapshot,2,3000,12.586300691740746,0.1135602697616888,0.48964211877773778,0.029125527910467328,0.48483408068932476,0.03493020707096775,256
measurement_snapshot,3,3500,12.497388044288726,0.11451840147082742,0.52310383082840417,0.030556033535043339,0.53491359647341596,0.03639337491842537,256
measurement_snapshot,4,4000,12.425139215266128,0.11969693279225979,0.46895277898192944,0.028350034177397964,0.50123794464252569,0.037330754759157363,256
measurement_quarter,1,2250,12.465069447857768,0.04549846917407039,0.49580165935027026,0.0017814874222966785,0.47630646410068461,0.003574553602174858,256
measurement_quarter,2,2750,12.42465514733423,0.044205034107573871,0.49570176336589367,0.0017555125282328495,0.47758492825864846,0.0037543051704165679,256
measurement_quarter,3,3250,12.472287266674707,0.041580847032253933,0.4955030105535107,0.0015800863106823215,0.4767018675254297,0.0033419787744642109,256
measurement_quarter,4,3750,12.415799959507137,0.041812522056588614,0.49453007738238436,0.001644429139689799,0.47632108684962432,0.0034668454046518265,256
measurement_quarter_difference_q4_minus_q3,4,4000,-0.056487307167578146,0.055536536771758328,-0.00097293317112600534,0.0022786355194026955,-0.00038078067580512155,0.0048190583893395885,256
