# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=50 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026091450 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
checkpoint_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
500,1,0.342138006362392,0.0018981644998325561,0.0031081542075103341,0.00052008393555286734
500,2,0.32869109257294793,0.0025274548401404032,0.0079751509533165822,0.0015984862121266785
500,3,0.33013474931776204,0.0024889483892352885,0.0085621867797375309,0.0016351629705966943
500,4,0.33493965488007227,0.0024868179901519774,0.010014580027237621,0.0016087964302046174
500,5,0.33765312716112283,0.0025009997069108535,0.006995067418311368,0.0016278065985655796
500,6,0.34051088029083176,0.0027301472181135455,0.0089101186667578085,0.0015406345107915396
500,7,0.34082145946099734,0.0028814948268415458,0.0085602032556737363,0.0016387461861250875
500,8,0.3410681041066122,0.0028008476412692842,0.0076939171504095526,0.0016474953586345876
500,9,0.34201261603539046,0.002865183041828887,0.0067141302883018637,0.0015959798387387384
500,10,0.34617018562632024,0.0030088201101228338,0.008342084153213615,0.0016791962959463982
500,11,0.3445205431539104,0.0029924422066235994,0.0090310828182386237,0.0017466877207529541
500,12,0.34450652691431888,0.0030516856817495645,0.010455696915608213,0.0016173800678627791
500,13,0.3470559229648072,0.0031149504044259086,0.0057538207652076739,0.0015629703505689789
500,14,0.34751066908098388,0.0032990292166499104,0.0030306077416914494,0.0015966377824663865
500,15,0.35144340681431929,0.0035065558423002857,0.00418356357219298,0.0016140780646717607
500,16,0.35223904058267719,0.0037137643210116218,0.0064575366838605687,0.0017016064038058167
500,17,0.35415664636390498,0.0037636990402050464,0.0073594743628571796,0.0017229086061295506
500,18,0.35109995511228465,0.003726823111040509,0.0048530524736024629,0.0016239421023180592
500,19,0.35378440663071486,0.0038959426964888279,0.0050934584046743465,0.0016929872750266377
500,20,0.3548070553047537,0.0041019757301049443,0.0054396601870556477,0.001610033860404857
500,21,0.35662365605766522,0.004164011572693244,0.0049182862143391688,0.0017253005296875661
500,22,0.36307126614161767,0.0045620216730191772,0.0051741991823386945,0.00160036501903904
500,23,0.36513528600768014,0.0048150195371384633,0.0065222672780267804,0.0015962526545976511
500,24,0.36021885601962716,0.0044532454064228058,0.0071992404721458007,0.0017060859665275967
500,25,0.35984783559689149,0.0042117193171047757,0.0047978424525344536,0.0016842043470738576
500,26,0.36009377611984944,0.0039448344773442261,0.0050735251687140737,0.001699124738871827
500,27,0.36034450204911578,0.0041573526461384409,0.0048899907765664269,0.001730861764388163
500,28,0.36327815731311436,0.0040543162505877021,0.00059358083219876294,0.0015726568444605852
500,29,0.36006453284193751,0.0038843465741933152,0.0040575087624534784,0.0016856531873100612
500,30,0.35904394224726865,0.0039426288723972266,0.003406692805949203,0.0016825563961796075
500,31,0.36581328458599488,0.0041899095985019515,0.0070831205366342969,0.001564873227577321
500,32,0.36666208891613677,0.0043347723503290468,0.0044215784453320774,0.0015818989593112912
500,33,0.36418724183610479,0.0042259292762480563,0.0022518923979524355,0.00150048819767696
500,34,0.36536678346801221,0.0046370808147074742,0.003859892126727923,0.0016715581319159082
