# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091500 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
series,checkpoint,absolute_time,mean_total_action,se_total_action,mean_I_left,se_I_left,mean_I_right,se_I_right,sample_count
burnin_snapshot,1,8000,25.410449551668542,0.14600161565537018,0.24032565933885053,0.015006184482256619,0.21569567371670928,0.018527209224602919,256
burnin_snapshot,2,16000,25.432477170356211,0.15567511177614274,0.24980730965778958,0.014489405924546426,0.24666827737996755,0.026000950249757831,256
burnin_snapshot,3,24000,25.649882638493498,0.15338921490386581,0.23973202436172869,0.01547684985940664,0.26443916417713353,0.027138397671478808,256
burnin_snapshot,4,32000,25.507539483849502,0.14558712398579118,0.23969067916596032,0.015052513348874381,0.23115484360823757,0.019970885435221578,256
measurement_snapshot,1,32500,25.33055096572981,0.15345619915742431,0.25502980777400808,0.017375876127700592,0.19048029480381956,0.016010656388248806,256
measurement_snapshot,2,33000,25.599819224773334,0.14885743601300114,0.23912164243179745,0.014225310467146809,0.20710825361311436,0.018149612095983526,256
measurement_snapshot,3,33500,25.488394001951594,0.15290738605195156,0.23926233494876215,0.014461321483353778,0.22726404759578145,0.016991394259536149,256
measurement_snapshot,4,34000,25.463878784167274,0.15075329992691525,0.24635562330195171,0.013362822468207445,0.26171569439929954,0.024467579649949972,256
measurement_quarter,1,32250,25.467151809882647,0.13668730084734315,0.23808356232966554,0.0012739145480933094,0.21477642438391731,0.0043827363902705155,256
measurement_quarter,2,32750,25.514040937238001,0.13697437773432578,0.23769527467845983,0.0012909651713553648,0.22453071148175222,0.0044667205732213128,256
measurement_quarter,3,33250,25.557754079207751,0.13709083313960244,0.23720210981406256,0.0012819748910931357,0.21699098402265632,0.0037716634226429282,256
measurement_quarter,4,33750,25.514703987438576,0.13827968841546048,0.23850919470213849,0.0013653079651842282,0.2224473820512036,0.0043966466958112139,256
measurement_quarter_difference_q4_minus_q3,4,34000,-0.043050091769163752,0.094722715132107393,0.0013070848880760066,0.0010082249844250264,0.00545639802854708,0.0050523046800483055,256
