# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=50 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026091451 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
1,0.34241037345403186,0.34214661074736114,-0.0002637627066709061,0.0021283323436464491,-0.00077060847455559241,-0.12392928550764035,0.0033635591333680548,0.0038227808632412003,0.00045922172987314342,0.00073104379446946484,0.62817266673662298,256
2,0.33195462463263786,0.33132077892333001,-0.00063384570930778629,0.0032239655888166058,-0.001911259503698155,-0.19660436560070318,0.0082367181821209126,0.0062361959806091494,-0.0020005222015117654,0.0021872840724533275,-0.9146147163536541,256
3,0.33503623928693721,0.33524454209599186,0.0002083028090546379,0.0031667087960536668,0.00062153895752423561,0.06577895931391721,0.0081435109839866557,0.0072181508286271101,-0.00092536015535954193,0.0022022610603574665,-0.42018640388135425,256
4,0.33620378389847649,0.33801973454135353,0.001815950642877145,0.0033075513570321128,0.0053867911551922724,0.54903172977686099,0.0052085810906904772,0.0084801211686145895,0.003271540077924108,0.002156125753735169,1.5173234085519589,256
5,0.34160109522775611,0.3401212975216848,-0.0014797977060712105,0.0038560554058283134,-0.0043413498568033483,-0.38375945113095111,0.0067627634832319525,0.0067735075233474043,1.0744040115446098e-05,0.002407689373547523,0.0044623863167264303,256
6,0.34007373799766855,0.34125095049796805,0.0011772125002993859,0.0041075941585559314,0.0034556578388452901,0.28659416068340293,0.0080068032881172261,0.0063953736519594944,-0.0016114296361577239,0.0023427772702277129,-0.68782878194865549,256
7,0.3412396727828711,0.34518966619137742,0.0039499934085064602,0.0042515681760627077,0.011508812879149516,0.92906740405712374,0.0093082257666034403,0.0066719370327011779,-0.0026362887339022572,0.0023832467728150467,-1.1061753083959165,256
8,0.34119194272569625,0.3453312214393317,0.0041392787136355106,0.0043003625789072896,0.012058671665273923,0.96254179448452226,0.0068640451213668593,0.0057645146441621118,-0.0010995304772047508,0.0023087427487645676,-0.4762464236403649,256
9,0.34484073151333278,0.34792693574358025,0.0030862042302475905,0.0044544942153410989,0.0089097813772624334,0.69282932720370971,0.0061866839118125943,0.0070202623724666315,0.0008335784606540291,0.0023103869006721009,0.3607960469354885,256
10,0.3478531830820526,0.34924959765094199,0.0013964145688896692,0.0046304765681373867,0.0040063376807114651,0.30157037798193159,0.0063666715329880408,0.0074100841651125902,0.001043412632124549,0.0021754197852070331,0.47963737354041219,256
11,0.34692809930863772,0.35028592339757803,0.0033578240889398899,0.0048366262571904427,0.0096321186309666976,0.69424923704781416,0.0072246108677347376,0.0056811048497472112,-0.0015435060179875262,0.002209474214561431,-0.69858521444383725,256
12,0.35031492195045189,0.34848298464480293,-0.0018319373056491944,0.0048731028132304108,-0.0052431104568556085,-0.37592831012625227,0.0075637451729810828,0.0058748316072881968,-0.0016889135656928808,0.0022961376602026813,-0.73554543134134187,256
13,0.35213843525731842,0.34978055485514858,-0.0023578804021696384,0.0049863260533025491,-0.0067183832760867191,-0.47286927829518177,0.0064961155301227697,0.0098081338986810325,0.0033120183685582732,0.0023543089986703142,1.4067900052324744,256
14,0.35358872192843027,0.35162442940633598,-0.0019642925220940345,0.0049978392933523212,-0.0055707767740184426,-0.39302834821174837,0.0056316530767435867,0.0070298830841492308,0.001398230007405643,0.0022205700424054934,0.62967165219025112,256
15,0.35409908374358745,0.35383897828271949,-0.0002601054608680107,0.0052557141582859823,-0.00073482547363965629,-0.049490031808129664,0.0055008079965804049,0.0039954927540079878,-0.001505315242572415,0.0024645939994841653,-0.61077615334918223,256
16,0.35469605991300862,0.3536749266916579,-0.0010211332213507448,0.0051541273723567744,-0.00288304642810174,-0.19811951618180942,0.0050322134131211343,0.0059101236455392251,0.00087791023241808996,0.0023696493625836477,0.37048107044026857,256
17,0.35706197163727277,0.35347635173007508,-0.0035856199071978749,0.0049207784387885409,-0.010092685473191884,-0.72866924447031756,0.0035681426848274511,0.005547002915878097,0.0019788602310506515,0.0022718440780557653,0.87103699156332592,256
18,0.35853793523557348,0.35466230349366284,-0.0038756317419106831,0.0051958865955893949,-0.010868285038199635,-0.7459038357766643,0.0036512071530935874,0.0059003103933407798,0.0022491032402472003,0.0023636145452081408,0.95155246222651058,256
19,0.3587190446426417,0.35660412345318776,-0.0021149211894541729,0.0054442559117683842,-0.0059131908032114631,-0.38846836440633292,0.0050839101141488905,0.0052399492428881391,0.00015603912873924462,0.0025207868409901054,0.061900961319663245,256
20,0.35911171844866763,0.35468860504031735,-0.0044231134083504821,0.0056727867076373393,-0.012393139265420178,-0.77970733544337079,0.0030140813050991088,0.0054358800609627536,0.0024217987558636401,0.0024608445106448279,0.98413318898764701,256
21,0.35492595921473691,0.35201021585861431,-0.0029157433561224737,0.0058608689660121704,-0.0082489578520152495,-0.49749335346536377,0.0044897264964448734,0.0042484102067989931,-0.00024131628964588171,0.0023223432055489339,-0.10391069204124874,256
22,0.35649739330193247,0.35521656678587699,-0.0012808265160553947,0.0058823945874377339,-0.0035992732695516315,-0.21773896616705882,0.0053205410227627221,0.0031843124929897427,-0.0021362285297729764,0.0022856514091738446,-0.93462569191385247,256
23,0.35534769139503952,0.35373217405923235,-0.0016155173358072751,0.0058211633511952229,-0.0045566583244393616,-0.27752482422187502,0.008538771711354514,0.0015496145452080668,-0.0069891571661464431,0.0023882263547853177,-2.9265053340284037,256
24,0.35535736763511017,0.35180134173952698,-0.003556025895583465,0.0055533782149208323,-0.01005722152168124,-0.64033562238370956,0.0063964848669660953,0.0014258357259746288,-0.0049706491409914674,0.0023909801618755646,-2.078916931327579,256
25,0.35893584412117141,0.35597739792363409,-0.0029584461975372908,0.0055630922299223142,-0.0082763782331839297,-0.53179887646381951,0.0031181178028508246,0.0038178586071626499,0.00069974080431182614,0.0022237950492602116,0.31466065388742026,256
26,0.35871694529707188,0.35739757962184243,-0.0013193656752296598,0.0056618148610444487,-0.0036847895952928809,-0.23302875625754269,0.002518895187436108,0.0021070200933649081,-0.00041187509407120072,0.0022842920213083763,-0.18030754834720764,256
27,0.35939782405634213,0.35562844339965016,-0.0037693806566918165,0.0058886131852675626,-0.010543334778743106,-0.6401134763142956,0.0037998241336374447,0.0024173778050767722,-0.0013824463285606711,0.002311538525743128,-0.59806328692541844,256
28,0.35845962175098373,0.35864281363188272,0.00018319188089906666,0.0057263709975343118,0.00051092248989855718,0.031990920773024713,0.0031507491079625569,0.0019647687302799424,-0.0011859803776826134,0.0024598547123569738,-0.48213431944776747,256
29,0.36045061506278392,0.35923563273582987,-0.0012149823269538118,0.005528200290359696,-0.0033764222414148287,-0.21977899915684099,0.0050059664745280667,0.0064527932322220672,0.0014468267576940067,0.0022848304699481822,0.63323155775615136,256
30,0.36030858205654526,0.36044939773228202,0.00014081567573657637,0.0056497449746136172,0.00039074329992942579,0.024924253460875314,0.0041533067214987252,0.0045757287133704168,0.00042242199187169136,0.0023245459447959098,0.18172236725085644,256
31,0.36123730168010881,0.36566052764444984,0.0044232259643407143,0.006051218522750818,0.012170144925183842,0.73096450701799542,0.0023185274094580021,0.0036290966566233655,0.001310569247165363,0.0025005330774883639,0.52411594110234749,256
32,0.36601234161907842,0.36735028084189786,0.0013379392228195469,0.0062788681323514128,0.0036487794219175421,0.21308605223382732,0.0046361115651821173,0.0026842247838899094,-0.0019518867812922053,0.0024982114807475561,-0.78131367033351773,256
33,0.36674065465464528,0.36730220556197135,0.0005615509073258584,0.0061200196672118864,0.0015300221220328858,0.091756389335540423,0.0033471135003087867,0.00092199461546560739,-0.0024251188848431792,0.0024867731949033789,-0.97520710365281416,256
34,0.36860719639322564,0.36736030871014153,-0.0012468876830845038,0.0067199412412902683,-0.0033884313490427204,-0.18555038478953934,0.0011056924263866566,0.0024051464795772095,0.0012994540531905553,0.0021934605738335943,0.59242188744676183,256
35,0.36854117466132724,0.36854147017543881,2.9551411145738171e-07,0.0064221922639448046,8.0184797058361379e-07,4.6014522660189471e-05,0.0024708637472078509,0.00050838616535224632,-0.0019624775818556039,0.0023890774880412362,-0.821437392331969,256
36,0.3675498018332839,0.37069331582130982,0.0031435139880259888,0.0066722755871590203,0.0085162026244496973,0.47113071799308903,0.0024701525606762695,0.00096684307355236678,-0.0015033094871239052,0.002265513589356298,-0.66356233491013472,256
37,0.36543534996813448,0.37300388912547627,0.0075685391573419502,0.0066115313468431761,0.020498745886342311,1.1447482830064353,0.0047036620254111827,-5.0357078334330673e-05,-0.0047540191037455104,0.0023966334343090978,-1.9836237931463225,256
38,0.3686008652873764,0.37264420442383095,0.0040433391364549731,0.006853340609602865,0.010909587939735713,0.5899807651161344,0.0020876509498055727,-0.0014188557750953368,-0.0035065067249009118,0.0023204765659196763,-1.5111149047571508,256
39,0.37076026400493417,0.37201693895737692,0.0012566749524427763,0.0072272304759113453,0.0033837197680030053,0.17388056969143648,0.00038271003282570556,0.0018386012734753641,0.0014558912406496588,0.0024309383494100739,0.59890093099356723,256
40,0.36993910956155152,0.37226812876162246,0.0023290192000707732,0.0072953970091268507,0.0062759269374213925,0.31924502493244322,0.001359145049287232,0.0017889829225463043,0.00042983787325907245,0.0023365409649952207,0.18396333712897334,256
41,0.37212454972160514,0.37367539937783872,0.0015508496562337065,0.0072806118931629457,0.004158889144753531,0.21301089509936294,0.00083289135885493664,0.001126146424599141,0.00029325506574420313,0.0023145739789321718,0.12669937034352052,256
42,0.36974393143652989,0.37187893228256957,0.0021350008460395116,0.0073807228632494087,0.0057576456996832137,0.28926717417751197,0.0019946826208174845,7.3061095965948564e-05,-0.0019216215248515388,0.0023259781429410928,-0.82615631220925256,256
43,0.37055176242512605,0.37159528994366742,0.0010435275185413694,0.0078052921130576788,0.0028121853080481192,0.13369487053477791,0.0010157597079345211,0.00017030949739816099,-0.00084545021053635927,0.0022868498809155411,-0.36970079129019301,256
44,0.37445749266118938,0.36969792703260895,-0.0047595656285805438,0.0082407706614103671,-0.01279185907303877,-0.5775631702588806,0.0015722060295027067,-0.00042408570250971749,-0.0019962917320124262,0.0022663293778379698,-0.88084801420914649,256
45,0.3718821312962225,0.37077948097701108,-0.0011026503192114862,0.0082483586800391577,-0.0029694555393440982,-0.13368117973335411,0.00080567753388514224,0.0017381485560633255,0.00093247102217818337,0.0022945803873130584,0.40637975785633818,256
46,0.37188197992179134,0.37147442311350209,-0.00040755680828904713,0.0082098104393545594,-0.0010965313720979596,-0.049642657561906937,0.0020303333894276603,0.0028985271889322983,0.00086819379950463888,0.0025538469597116216,0.33995529614768877,256
47,0.37101171830238716,0.36960458100963595,-0.001407137292751157,0.0086047544568928248,-0.003799909059679842,-0.16353020877010291,0.0033946247956244346,-0.0011633195653518533,-0.0045579443609762849,0.002219756430517061,-2.0533533762146039,256
48,0.369527425392634,0.36408960919901018,-0.0054378161936239275,0.0090404100107687596,-0.014824672648586461,-0.60150105881774252,0.00021930834146913556,-0.0014209768829648234,-0.0016402852244339595,0.0019965025999068775,-0.82157930799111756,256
49,0.36305008895568414,0.36155534122603888,-0.0014947477296448134,0.0090180465088216602,-0.0041256873531018033,-0.16575072308427516,-0.00022128055076668855,-0.0010325438717669903,-0.00081126332100030175,0.0020921545466631706,-0.38776452833955588,256
50,0.31830587764111085,0.31963932270740653,0.0013334450662954745,0.0058200442583710458,0.0041804376475189312,0.22911253026599634,,,,,,256
