# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=50 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026091450 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
1,0.34299856385195227,0.0012610059036735303,0.0037568645574781383,0.0002670181672055002,256
2,0.33144802859216072,0.0013504920757143083,0.0075859405946098312,0.00074685320233965644,256
3,0.33351471621818379,0.0013533255983092128,0.0079995779943505905,0.00076898269895119909,256
4,0.33514228592992346,0.0013348523864202483,0.0087278266688181252,0.0007858036704054916,256
5,0.33739412618832049,0.0012902615304963101,0.0078274397702614348,0.00075731718012098364,256
6,0.33877579814729553,0.0014764423688186791,0.0083502430448917295,0.00077591613788575921,256
7,0.33967183371263099,0.0015752740993568118,0.0076056396240883894,0.00080525723638693041,256
8,0.34051817738982465,0.0015484437985405696,0.0082151920597110639,0.00079906854417806264,256
9,0.34139804423291453,0.0015464281580733631,0.0071176833839440862,0.00083617520645013225,256
10,0.34308792188174791,0.0015213048366907304,0.0059138914839908848,0.0008020860805689026,256
11,0.34325588779481792,0.0016061096109393153,0.0079466217350031548,0.00083175158519358579,256
12,0.34588644107286665,0.0016373277021565901,0.0073797474913972882,0.00083610604753082149,256
13,0.34740191367452256,0.0016707577505754819,0.0058901479996444567,0.0007945646999833419,256
14,0.34901959966982377,0.0017936635105904393,0.0059064057552330089,0.00078025680509940349,256
15,0.3516484587589096,0.0017298725485277661,0.0057496058111176328,0.00082962358436253398,256
16,0.35111799509986591,0.0018487898052662948,0.0053415667137308998,0.00081472761382618628,256
17,0.35330733550770715,0.0018650074975897993,0.0056024472102203038,0.00083163213180388249,256
18,0.35501339664203746,0.0019252767610465069,0.0059353257477835833,0.00078697854922198888,256
19,0.35673499693121224,0.0020709968799508482,0.0062682636750841436,0.00086109622932411417,256
20,0.35647375495553513,0.0021498200650501755,0.0056524939505161881,0.00083927405779610903,256
21,0.35632598216218714,0.0020287052196144633,0.0059133902466626817,0.00085158780752684628,256
22,0.35844553719323846,0.0021684049154264981,0.0060023586194884971,0.00084415074804582895,256
23,0.36038130881186736,0.002272962556446689,0.0060221436955234485,0.00077917651401639815,256
24,0.36005625149610393,0.0022214779803507744,0.0063594410999708558,0.00080491941972221507,256
25,0.3599844127251417,0.0022708905598313196,0.005501410129094257,0.00086152826084864907,256
26,0.36062554623094989,0.0024704318580064809,0.003496672914062326,0.00087471112002484078,256
27,0.36203997311283614,0.0025764465106326382,0.0033141722754885623,0.00083758115160626249,256
28,0.36353624695163939,0.0025225303550713263,0.0034080004235433575,0.00078037333909877001,256
29,0.36206692169668048,0.0027836091153744481,0.0036037012690604089,0.00079652610201169844,256
30,0.36468053094486258,0.003008481803934651,0.0037959261226027004,0.00081524028834191724,256
31,0.3683736196254202,0.0031503594094197587,0.0050747140027968358,0.0007408875636500693,256
32,0.36827419852567261,0.003016619661654423,0.0035765449242061704,0.00076524525353618056,256
33,0.36818557699427418,0.0028568697948189331,0.0015837289332043007,0.00084276205849058211,256
34,0.36888726480878903,0.0029092782577661946,0.0030234763175337261,0.00087680309228773171,256
35,0.36867536972733217,0.0029352728607935957,0.0032648196246642691,0.0008123827565831329,256
36,0.37050609553930031,0.0030687802893663127,0.003641199278457906,0.00081157588055538776,256
37,0.36928340271136345,0.0032296034851559759,0.0027842771877110541,0.0008240903874191563,256
38,0.36711204393071761,0.0032451495534632953,0.0016573177743406183,0.00080223487386318492,256
39,0.36897957342868398,0.0032933682279351105,0.00070585178426721732,0.00082636857723781371,256
40,0.37043331965077481,0.0032379528111399478,0.0015294755346220705,0.00083232628662704945,256
41,0.37030252665105806,0.0031807483065367501,0.0022799280300192246,0.00079696725943159512,256
42,0.36884434074483657,0.0032618974062451908,0.0015877123470704906,0.00080112536803377866,256
43,0.36850239756751019,0.0033929563734368395,0.0017546987149184283,0.00082521486780299949,256
44,0.36675165816616728,0.0034701172284753801,0.001118683993449924,0.00081015980881105358,256
45,0.3668009688796835,0.0036397977421302086,0.0007836367698283071,0.00081445943887801175,256
46,0.36663610194474883,0.0037465536056378174,-0.00020251750538651455,0.00081912768393029706,256
47,0.36645495892918056,0.0039096439946462924,0.0011695167854490732,0.00079695164949020029,256
48,0.36553536021323219,0.0038792433263043014,0.0011115012346422125,0.00075643783761004143,256
49,0.35993980528337838,0.0038200062425209464,0.00071164983368387526,0.00074964037500018063,256
50,0.31587359665355491,0.0023722717273851474,,,256
