theta1,theta3,pdf,log_pdf
0.942478,2.82743,0.0273554,-3.59884
0.942478,3.03687,0.0281979,-3.56851
1.15192,-3.03687,0.0297714,-3.51421
1.15192,-2.82743,0.0289751,-3.54132
1.15192,-2.61799,0.0274937,-3.5938
1.15192,-2.40855,0.0257101,-3.66087
1.15192,-2.19911,0.0238733,-3.73499
1.15192,-1.98968,0.0219622,-3.81843
1.15192,-1.78024,0.0202128,-3.90144
1.15192,-1.5708,0.0187414,-3.97702
1.15192,-1.36136,0.0175363,-4.04348
1.15192,-1.15192,0.0165784,-4.09965
1.15192,-0.942478,0.0158348,-4.14555
1.15192,-0.733038,0.0152569,-4.18272
1.15192,-0.523599,0.014842,-4.2103
1.15192,-0.314159,0.014573,-4.22859
1.15192,-0.10472,0.0144741,-4.23539
1.15192,0.10472,0.0144821,-4.23484
1.15192,0.314159,0.014622,-4.22522
1.15192,0.523599,0.0149246,-4.20474
1.15192,0.733038,0.015366,-4.1756
1.15192,0.942478,0.0159661,-4.13728
1.15192,1.15192,0.0167357,-4.09021
1.15192,1.36136,0.0177093,-4.03366
1.15192,1.5708,0.0188521,-3.97113
1.15192,1.78024,0.0202382,-3.90018
1.15192,1.98968,0.0218402,-3.824
1.15192,2.19911,0.0236289,-3.74529
1.15192,2.40855,0.0254979,-3.66916
1.15192,2.61799,0.0273218,-3.60007
1.15192,2.82743,0.0288391,-3.54602
1.15192,3.03687,0.0297259,-3.51574
1.36136,-3.03687,0.0317033,-3.45134
1.36136,-2.82743,0.0308103,-3.47991
1.36136,-2.61799,0.0292165,-3.53302
1.36136,-2.40855,0.0273065,-3.60063
1.36136,-2.19911,0.0253161,-3.67632
1.36136,-1.98968,0.023294,-3.75956
1.36136,-1.78024,0.0214271,-3.8431
1.36136,-1.5708,0.0198399,-3.92006
1.36136,-1.36136,0.0185552,-3.98701
1.36136,-1.15192,0.0175026,-4.0454
1.36136,-0.942478,0.0167103,-4.09173
1.36136,-0.733038,0.0161037,-4.12871
1.36136,-0.523599,0.0156603,-4.15663
1.36136,-0.314159,0.0153695,-4.17537
1.36136,-0.10472,0.0152448,-4.18352
1.36136,0.10472,0.0152669,-4.18207
1.36136,0.314159,0.0154275,-4.1716
1.36136,0.523599,0.0157363,-4.15178
1.36136,0.733038,0.0162304,-4.12087
1.36136,0.942478,0.0168695,-4.08225
1.36136,1.15192,0.0177033,-4.03401
1.36136,1.36136,0.0187454,-3.97681
1.36136,1.5708,0.0200134,-3.91135
1.36136,1.78024,0.0214972,-3.83983
1.36136,1.98968,0.023226,-3.76248
1.36136,2.19911,0.0251518,-3.68282
1.36136,2.40855,0.0271531,-3.60626
1.36136,2.61799,0.0291303,-3.53598
1.36136,2.82743,0.0307297,-3.48252
1.36136,3.03687,0.0316721,-3.45232
1.5708,-3.03687,0.0340817,-3.379
1.5708,-2.82743,0.0330897,-3.40853
1.5708,-2.61799,0.0313426,-3.46278
1.5708,-2.40855,0.0292612,-3.53149
1.5708,-2.19911,0.0270774,-3.60906
1.5708,-1.98968,0.0249245,-3.6919
1.5708,-1.78024,0.0229174,-3.77586
1.5708,-1.5708,0.0212023,-3.85365
1.5708,-1.36136,0.0198163,-3.92125
1.5708,-1.15192,0.0186851,-3.98003
1.5708,-0.942478,0.0177902,-4.02911
1.5708,-0.733038,0.0171327,-4.06677
1.5708,-0.523599,0.0166671,-4.09432
1.5708,-0.314159,0.0163686,-4.11239
1.5708,-0.10472,0.0162129,-4.12195
1.5708,0.10472,0.0162285,-4.12098
1.5708,0.314159,0.016406,-4.11011
1.5708,0.523599,0.016742,-4.08984
1.5708,0.733038,0.0172511,-4.05988
1.5708,0.942478,0.0179597,-4.01963
1.5708,1.15192,0.0188657,-3.97041
1.5708,1.36136,0.0200041,-3.91182
1.5708,1.5708,0.0213975,-3.84448
1.5708,1.78024,0.0230475,-3.7702
1.5708,1.98968,0.0249484,-3.69094
1.5708,2.19911,0.0270199,-3.61118
1.5708,2.40855,0.0292333,-3.53245
1.5708,2.61799,0.0313659,-3.46203
1.5708,2.82743,0.033077,-3.40892
1.5708,3.03687,0.0340514,-3.37988
1.78024,-3.03687,0.0369086,-3.29931
1.78024,-2.82743,0.0358176,-3.32931
1.78024,-2.61799,0.0338719,-3.38517
1.78024,-2.40855,0.0315777,-3.4553
1.78024,-2.19911,0.0292016,-3.53353
1.78024,-1.98968,0.0268786,-3.61643
1.78024,-1.78024,0.0246857,-3.70153
1.78024,-1.5708,0.022811,-3.78051
1.78024,-1.36136,0.0213022,-3.84895
1.78024,-1.15192,0.0200761,-3.90823
1.78024,-0.942478,0.0190976,-3.95819
1.78024,-0.733038,0.0183589,-3.99764
1.78024,-0.523599,0.0178328,-4.02672
1.78024,-0.314159,0.0175081,-4.04509
1.78024,-0.10472,0.0173614,-4.05351
1.78024,0.10472,0.0173775,-4.05258
1.78024,0.314159,0.0175609,-4.04208
1.78024,0.523599,0.0179105,-4.02237
1.78024,0.733038,0.0184733,-3.99143
1.78024,0.942478,0.0192361,-3.95097
1.78024,1.15192,0.0202401,-3.90009
1.78024,1.36136,0.0214794,-3.84066
1.78024,1.5708,0.0230405,-3.7705
1.78024,1.78024,0.0248562,-3.69465
1.78024,1.98968,0.0269917,-3.61222
1.78024,2.19911,0.0293195,-3.5295
1.78024,2.40855,0.0317633,-3.44944
1.78024,2.61799,0.0340796,-3.37906
1.78024,2.82743,0.0359205,-3.32645
1.78024,3.03687,0.0369656,-3.29777
1.98968,-3.03687,0.0403348,-3.21054
1.98968,-2.82743,0.0390688,-3.24243
1.98968,-2.61799,0.0369076,-3.29934
1.98968,-2.40855,0.0343095,-3.37233
1.98968,-2.19911,0.0317122,-3.45105
1.98968,-1.98968,0.0291741,-3.53447
1.98968,-1.78024,0.0267823,-3.62002
1.98968,-1.5708,0.0247404,-3.69932
1.98968,-1.36136,0.023073,-3.76909
1.98968,-1.15192,0.0217098,-3.82999
1.98968,-0.942478,0.0206366,-3.88069
1.98968,-0.733038,0.0198317,-3.92047
1.98968,-0.523599,0.0192447,-3.95052
1.98968,-0.314159,0.0188733,-3.97001
1.98968,-0.10472,0.0187047,-3.97898
1.98968,0.10472,0.0187171,-3.97832
1.98968,0.314159,0.0189076,-3.96819
1.98968,0.523599,0.0193094,-3.94716
1.98968,0.733038,0.0199069,-3.91669
1.98968,0.942478,0.0207348,-3.87594
1.98968,1.15192,0.0218147,-3.82517
1.98968,1.36136,0.0232033,-3.76346
1.98968,1.5708,0.024916,-3.69224
1.98968,1.78024,0.0269717,-3.61297
1.98968,1.98968,0.0293628,-3.52803
1.98968,2.19911,0.03199,-3.44233
1.98968,2.40855,0.0347149,-3.36059
1.98968,2.61799,0.0373024,-3.2887
1.98968,2.82743,0.0393478,-3.23532
1.98968,3.03687,0.0404165,-3.20852
2.19911,-3.03687,0.0442745,-3.11735
2.19911,-2.82743,0.0427938,-3.15136
2.19911,-2.61799,0.0403469,-3.21024
2.19911,-2.40855,0.0374411,-3.28499
2.19911,-2.19911,0.0345396,-3.36565
2.19911,-1.98968,0.0317486,-3.44991
2.19911,-1.78024,0.0291103,-3.53666
2.19911,-1.5708,0.0268719,-3.61667
2.19911,-1.36136,0.0250499,-3.68688
2.19911,-1.15192,0.0235678,-3.74788
2.19911,-0.942478,0.0223659,-3.80022
2.19911,-0.733038,0.0214736,-3.84093
2.19911,-0.523599,0.0208125,-3.8722
2.19911,-0.314159,0.0203863,-3.89289
2.19911,-0.10472,0.0201988,-3.90213
2.19911,0.10472,0.0202077,-3.90169
2.19911,0.314159,0.0204302,-3.89074
2.19911,0.523599,0.020853,-3.87026
2.19911,0.733038,0.0215101,-3.83923
2.19911,0.942478,0.0224261,-3.79753
2.19911,1.15192,0.0236211,-3.74562
2.19911,1.36136,0.0251294,-3.68372
2.19911,1.5708,0.0270178,-3.61126
2.19911,1.78024,0.0293015,-3.53012
2.19911,1.98968,0.0319585,-3.44332
2.19911,2.19911,0.0349485,-3.35388
2.19911,2.40855,0.0380266,-3.26947
2.19911,2.61799,0.0409245,-3.19603
2.19911,2.82743,0.0432082,-3.14173
2.19911,3.03687,0.0444284,-3.11388
2.40855,-3.03687,0.0484566,-3.02709
2.40855,-2.82743,0.0467612,-3.0627
2.40855,-2.61799,0.0440114,-3.12331
2.40855,-2.40855,0.0408066,-3.19891
2.40855,-2.19911,0.0375527,-3.28201
2.40855,-1.98968,0.0344899,-3.36709
2.40855,-1.78024,0.0315982,-3.45466
2.40855,-1.5708,0.0291481,-3.53537
2.40855,-1.36136,0.0271169,-3.6076
2.40855,-1.15192,0.0254891,-3.6695
2.40855,-0.942478,0.0241988,-3.72145
2.40855,-0.733038,0.0232217,-3.76267
2.40855,-0.523599,0.0224845,-3.79493
2.40855,-0.314159,0.0220247,-3.81559
2.40855,-0.10472,0.0218122,-3.82529
2.40855,0.10472,0.0218146,-3.82518
2.40855,0.314159,0.0220482,-3.81453
2.40855,0.523599,0.0224961,-3.79441
2.40855,0.733038,0.0232097,-3.76319
2.40855,0.942478,0.0241995,-3.72142
2.40855,1.15192,0.0255081,-3.66876
2.40855,1.36136,0.0271409,-3.60672
2.40855,1.5708,0.0292316,-3.5325
2.40855,1.78024,0.0317411,-3.45014
2.40855,1.98968,0.0346837,-3.36149
2.40855,2.19911,0.0379966,-3.27026
2.40855,2.40855,0.0414885,-3.18234
2.40855,2.61799,0.0447706,-3.1062
2.40855,2.82743,0.0473331,-3.05055
2.40855,3.03687,0.0486687,-3.02272
2.61799,-3.03687,0.0525424,-2.94613
2.61799,-2.82743,0.0506596,-2.98263
2.61799,-2.61799,0.0475968,-3.04499
2.61799,-2.40855,0.0440472,-3.12249
2.61799,-2.19911,0.0404938,-3.20661
2.61799,-1.98968,0.0371428,-3.29299
2.61799,-1.78024,0.0340406,-3.3802
2.61799,-1.5708,0.0313597,-3.46223
2.61799,-1.36136,0.0291641,-3.53482
2.61799,-1.15192,0.0273849,-3.59776
2.61799,-0.942478,0.0259739,-3.65066
2.61799,-0.733038,0.0249104,-3.69247
2.61799,-0.523599,0.0241316,-3.72423
2.61799,-0.314159,0.0236395,-3.74483
2.61799,-0.10472,0.023371,-3.75626
2.61799,0.10472,0.0233473,-3.75728
2.61799,0.314159,0.0235997,-3.74652
2.61799,0.523599,0.0240879,-3.72605
2.61799,0.733038,0.0248605,-3.69448
2.61799,0.942478,0.025919,-3.65278
2.61799,1.15192,0.0272994,-3.60089
2.61799,1.36136,0.0290998,-3.53703
2.61799,1.5708,0.0313482,-3.4626
2.61799,1.78024,0.0340725,-3.37927
2.61799,1.98968,0.0372448,-3.29024
2.61799,2.19911,0.040879,-3.19714
2.61799,2.40855,0.0447805,-3.10598
2.61799,2.61799,0.048441,-3.02741
2.61799,2.82743,0.05129,-2.97026
2.61799,3.03687,0.0527873,-2.94148
2.82743,-3.03687,0.0559382,-2.88351
2.82743,-2.82743,0.0539341,-2.91999
2.82743,-2.61799,0.0506302,-2.98321
2.82743,-2.40855,0.0467907,-3.06207
2.82743,-2.19911,0.0429576,-3.14754
2.82743,-1.98968,0.0393618,-3.23496
2.82743,-1.78024,0.0360806,-3.322
2.82743,-1.5708,0.0332414,-3.40396
2.82743,-1.36136,0.0308979,-3.47707
2.82743,-1.15192,0.0289938,-3.54067
2.82743,-0.942478,0.0274928,-3.59383
2.82743,-0.733038,0.0263239,-3.63728
2.82743,-0.523599,0.0254863,-3.66961
2.82743,-0.314159,0.0249612,-3.69043
2.82743,-0.10472,0.0246711,-3.70212
2.82743,0.10472,0.0246488,-3.70303
2.82743,0.314159,0.0249021,-3.6928
2.82743,0.523599,0.0254008,-3.67297
2.82743,0.733038,0.0262,-3.642
2.82743,0.942478,0.0273288,-3.59981
2.82743,1.15192,0.0288218,-3.54662
2.82743,1.36136,0.0307202,-3.48284
2.82743,1.5708,0.0330908,-3.4085
2.82743,1.78024,0.0359414,-3.32587
2.82743,1.98968,0.0393296,-3.23578
2.82743,2.19911,0.0432074,-3.14174
2.82743,2.40855,0.0473421,-3.05036
2.82743,2.61799,0.0513266,-2.96955
2.82743,2.82743,0.0544771,-2.90997
2.82743,3.03687,0.0561524,-2.87969
3.03687,-3.03687,0.0578809,-2.84937
3.03687,-2.82743,0.0558403,-2.88526
3.03687,-2.61799,0.0523547,-2.94971
3.03687,-2.40855,0.0483915,-3.02843
3.03687,-2.19911,0.044433,-3.11377
3.03687,-1.98968,0.0406909,-3.20175
3.03687,-1.78024,0.0372941,-3.28892
3.03687,-1.5708,0.034352,-3.3711
3.03687,-1.36136,0.0319214,-3.44448
3.03687,-1.15192,0.0299476,-3.50831
3.03687,-0.942478,0.028374,-3.56228
3.03687,-0.733038,0.0271812,-3.60523
3.03687,-0.523599,0.0263225,-3.63733
3.03687,-0.314159,0.0257754,-3.65833
3.03687,-0.10472,0.0254788,-3.66991
3.03687,0.10472,0.0254424,-3.67134
3.03687,0.314159,0.0257034,-3.66113
3.03687,0.523599,0.0262082,-3.64168
3.03687,0.733038,0.0270277,-3.61089
3.03687,0.942478,0.028189,-3.56882
3.03687,1.15192,0.0297112,-3.51623
3.03687,1.36136,0.0316559,-3.45283
3.03687,1.5708,0.0340843,-3.37892
3.03687,1.78024,0.0369908,-3.29709
3.03687,1.98968,0.040457,-3.20752
3.03687,2.19911,0.0444349,-3.11373
3.03687,2.40855,0.0486846,-3.02239
3.03687,2.61799,0.0528315,-2.94065
3.03687,2.82743,0.0561802,-2.87919
3.03687,3.03687,0.0580488,-2.84647
