theta1,theta3,pdf,log_pdf
-2.40855,2.82743,0.0468049,-3.06177
-2.40855,3.03687,0.0484353,-3.02753
-2.19911,-3.03687,0.0444805,-3.1127
-2.19911,-2.82743,0.0431391,-3.14332
-2.19911,-2.61799,0.0407614,-3.20002
-2.19911,-2.40855,0.0379193,-3.2723
-2.19911,-2.19911,0.0350337,-3.35144
-2.19911,-1.98968,0.0323272,-3.43185
-2.19911,-1.78024,0.0298016,-3.51319
-2.19911,-1.5708,0.0275774,-3.59076
-2.19911,-1.36136,0.0257177,-3.66058
-2.19911,-1.15192,0.0241901,-3.72181
-2.19911,-0.942478,0.0229625,-3.77389
-2.19911,-0.733038,0.0220127,-3.81613
-2.19911,-0.523599,0.0213213,-3.84805
-2.19911,-0.314159,0.020874,-3.86925
-2.19911,-0.10472,0.0206523,-3.87993
-2.19911,0.10472,0.0206184,-3.88157
-2.19911,0.314159,0.0208109,-3.87228
-2.19911,0.523599,0.0212111,-3.85323
-2.19911,0.733038,0.0218337,-3.8243
-2.19911,0.942478,0.0227202,-3.7845
-2.19911,1.15192,0.0238668,-3.73527
-2.19911,1.36136,0.0253186,-3.67622
-2.19911,1.5708,0.0270819,-3.60889
-2.19911,1.78024,0.0292158,-3.53304
-2.19911,1.98968,0.0317232,-3.45071
-2.19911,2.19911,0.0345285,-3.36597
-2.19911,2.40855,0.0375275,-3.28268
-2.19911,2.61799,0.0404751,-3.20707
-2.19911,2.82743,0.0429475,-3.14778
-2.19911,3.03687,0.0444073,-3.11435
-1.98968,-3.03687,0.0407905,-3.19931
-1.98968,-2.82743,0.0395526,-3.23012
-1.98968,-2.61799,0.0374314,-3.28524
-1.98968,-2.40855,0.0348797,-3.35585
-1.98968,-2.19911,0.0323362,-3.43157
-1.98968,-1.98968,0.0298689,-3.51094
-1.98968,-1.78024,0.0275676,-3.59111
-1.98968,-1.5708,0.0254971,-3.66919
-1.98968,-1.36136,0.0237274,-3.74112
-1.98968,-1.15192,0.0223229,-3.80214
-1.98968,-0.942478,0.0211866,-3.85438
-1.98968,-0.733038,0.0203175,-3.89627
-1.98968,-0.523599,0.0196685,-3.92874
-1.98968,-0.314159,0.019267,-3.94936
-1.98968,-0.10472,0.0190749,-3.95938
-1.98968,0.10472,0.0190242,-3.96204
-1.98968,0.314159,0.0191883,-3.95346
-1.98968,0.523599,0.0195509,-3.93473
-1.98968,0.733038,0.0201052,-3.90678
-1.98968,0.942478,0.0208973,-3.86813
-1.98968,1.15192,0.0219716,-3.818
-1.98968,1.36136,0.0233028,-3.75918
-1.98968,1.5708,0.0249111,-3.69244
-1.98968,1.78024,0.0268635,-3.61699
-1.98968,1.98968,0.0291266,-3.5361
-1.98968,2.19911,0.031699,-3.45147
-1.98968,2.40855,0.0344391,-3.36856
-1.98968,2.61799,0.0371246,-3.29347
-1.98968,2.82743,0.0393716,-3.23471
-1.98968,3.03687,0.040677,-3.20209
-1.78024,-3.03687,0.0374042,-3.28597
-1.78024,-2.82743,0.0363156,-3.31551
-1.78024,-2.61799,0.0344212,-3.36908
-1.78024,-2.40855,0.0321378,-3.43772
-1.78024,-2.19911,0.0298031,-3.51314
-1.78024,-1.98968,0.0275652,-3.5912
-1.78024,-1.78024,0.0253842,-3.67363
-1.78024,-1.5708,0.0234403,-3.7533
-1.78024,-1.36136,0.0218171,-3.82506
-1.78024,-1.15192,0.0204964,-3.8875
-1.78024,-0.942478,0.0194779,-3.93848
-1.78024,-0.733038,0.0186979,-3.97934
-1.78024,-0.523599,0.018133,-4.01002
-1.78024,-0.314159,0.0177513,-4.03129
-1.78024,-0.10472,0.0175662,-4.04178
-1.78024,0.10472,0.0175491,-4.04275
-1.78024,0.314159,0.0176845,-4.03506
-1.78024,0.523599,0.0180193,-4.01631
-1.78024,0.733038,0.0185307,-3.98832
-1.78024,0.942478,0.0192696,-3.94922
-1.78024,1.15192,0.0202388,-3.90015
-1.78024,1.36136,0.0214466,-3.84219
-1.78024,1.5708,0.0229074,-3.77629
-1.78024,1.78024,0.0246698,-3.70218
-1.78024,1.98968,0.0267379,-3.62167
-1.78024,2.19911,0.0290907,-3.53734
-1.78024,2.40855,0.0315891,-3.45494
-1.78024,2.61799,0.0340252,-3.38065
-1.78024,2.82743,0.0360951,-3.3216
-1.78024,3.03687,0.037292,-3.28898
-1.5708,-3.03687,0.034472,-3.36761
-1.5708,-2.82743,0.0335162,-3.39573
-1.5708,-2.61799,0.0317935,-3.44849
-1.5708,-2.40855,0.0297341,-3.51546
-1.5708,-2.19911,0.0275977,-3.59002
-1.5708,-1.98968,0.0255255,-3.66808
-1.5708,-1.78024,0.023446,-3.75305
-1.5708,-1.5708,0.0216518,-3.83267
-1.5708,-1.36136,0.0201759,-3.90327
-1.5708,-1.15192,0.0189706,-3.96487
-1.5708,-0.942478,0.0180494,-4.01464
-1.5708,-0.733038,0.0173271,-4.05548
-1.5708,-0.523599,0.0168279,-4.08472
-1.5708,-0.314159,0.0164789,-4.10568
-1.5708,-0.10472,0.0163182,-4.11548
-1.5708,0.10472,0.0162978,-4.11673
-1.5708,0.314159,0.016438,-4.10816
-1.5708,0.523599,0.0167387,-4.09003
-1.5708,0.733038,0.017219,-4.06174
-1.5708,0.942478,0.0178828,-4.02391
-1.5708,1.15192,0.0187753,-3.97521
-1.5708,1.36136,0.0198622,-3.91893
-1.5708,1.5708,0.0212118,-3.8532
-1.5708,1.78024,0.0228158,-3.7803
-1.5708,1.98968,0.0247137,-3.7004
-1.5708,2.19911,0.026844,-3.61771
-1.5708,2.40855,0.0291533,-3.53519
