bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
-8.963589356263016,-8.73949962235644,-8.851544489309727,0,175,nan,nan,0
-8.73949962235644,-8.515409888449865,-8.627454755403154,0,169,nan,nan,0
-8.515409888449865,-8.291320154543289,-8.403365021496576,0,193,nan,nan,0
-8.291320154543289,-8.067230420636715,-8.179275287590002,0,192,nan,nan,0
-8.067230420636715,-7.843140686730139,-7.955185553683427,0,257,nan,nan,0
-7.843140686730139,-7.619050952823564,-7.731095819776852,0,243,nan,nan,0
-7.619050952823564,-7.394961218916988,-7.507006085870276,0,266,nan,nan,0
-7.394961218916988,-7.170871485010413,-7.282916351963701,0,329,nan,nan,0
-7.170871485010413,-6.946781751103837,-7.058826618057125,0,346,nan,nan,0
-6.946781751103837,-6.722692017197263,-6.83473688415055,0,357,nan,nan,0
-6.722692017197263,-6.498602283290687,-6.610647150243975,1,419,-6.037870919922137,1.0011926062675796,0
-6.498602283290687,-6.274512549384111,-6.386557416337399,2,456,-5.429345628954441,0.7086557573717582,0
-6.274512549384111,-6.0504228154775355,-6.162467682430823,0,543,nan,nan,0
-6.0504228154775355,-5.826333081570961,-5.9383779485242485,1,553,-6.315358001522335,1.0009037507492988,0
-5.826333081570961,-5.602243347664385,-5.714288214617673,2,594,-5.6937321388027,0.708296196293261,0
-5.602243347664385,-5.37815361375781,-5.490198480711097,2,669,-5.8126368795682835,0.7081629532183337,0
-5.37815361375781,-5.154063879851234,-5.266108746804522,6,701,-4.760748417806535,0.40999170746516866,0
-5.154063879851234,-4.929974145944659,-5.0420190128979465,8,843,-4.657525416322019,0.35522702546456586,0
-4.929974145944659,-4.705884412038084,-4.817929278991372,8,883,-4.703883658924124,0.3551513801623993,0
-4.705884412038084,-4.481794678131508,-4.593839545084796,14,1087,-4.352119557505951,0.2689768291694349,0
-4.481794678131508,-4.257704944224932,-4.36974981117822,10,1232,-4.813809051099419,0.3175085641548718,0
-4.257704944224932,-4.033615210318358,-4.1456600772716445,28,1383,-3.8998058214895543,0.1908857027471503,0
-4.033615210318358,-3.809525476411782,-3.9215703433650697,30,1628,-3.9939101649003304,0.18424870134571897,0
-3.809525476411782,-3.585435742505206,-3.697480609458494,46,1904,-3.7230708188622157,0.14921240068712863,0
-3.585435742505206,-3.3613460085986313,-3.4733908755519187,79,2180,-3.3176323033161133,0.11452922528521504,1
-3.3613460085986313,-3.1372562746920556,-3.2493011416453434,124,2570,-3.0313796122842285,0.09194357610729538,1
-3.1372562746920556,-2.91316654078548,-3.0252114077387677,138,3211,-3.147084008932309,0.08693564443208111,1
-2.91316654078548,-2.689076806878905,-2.8011216738321925,213,3877,-2.901524771961504,0.07037589836727746,1
-2.689076806878905,-2.4649870729723293,-2.577031939925617,355,4651,-2.572719739748681,0.05506277266642217,1
-2.4649870729723293,-2.2408973390657536,-2.3529422060190415,586,6021,-2.3296888478874354,0.04327320197902294,1
-2.2408973390657536,-2.016807605159179,-2.128852472112466,1007,7932,-2.063929596921124,0.0334532549695547,1
-2.016807605159179,-1.792717871252603,-1.904762738205891,1515,10714,-1.956135858497436,0.027448166220883582,1
-1.792717871252603,-1.5686281373460274,-1.6806730042993152,2746,14570,-1.668819312861334,0.020803851555536174,1
-1.5686281373460274,-1.3445384034394525,-1.45658327039274,4893,20384,-1.4269446670827663,0.015919537672429603,1
-1.3445384034394525,-1.1204486695328768,-1.2324935364861647,8636,29358,-1.2236255688824806,0.012241593648609637,1
-1.1204486695328768,-0.8963589356263011,-1.008403802579589,15497,42365,-1.0056760928452295,0.009387918238826787,1
-0.8963589356263011,-0.6722692017197254,-0.7843140686730132,28061,60625,-0.7703266372996024,0.00722021426900741,1
-0.6722692017197254,-0.44817946781315143,-0.5602243347664384,51004,88937,-0.5560241928874632,0.005554297401043175,1
-0.44817946781315143,-0.22408973390657572,-0.3361346008598636,93779,130343,-0.3292284870146785,0.0042819894178641816,1
-0.22408973390657572,0.0,-0.11204486695328786,163790,182469,-0.1079951760862038,0.0034037863928159224,1
0.0,0.22408973390657572,0.11204486695328786,181511,163027,0.10740042666797799,0.003412222332640289,1
0.22408973390657572,0.44817946781315143,0.3361346008598636,130655,94012,0.32913782772517847,0.004276760989306477,1
0.44817946781315143,0.6722692017197271,0.5602243347664393,88472,50924,0.55235179257366,0.005562384146944735,1
0.6722692017197271,0.8963589356263011,0.7843140686730141,61057,28150,0.7742604995127059,0.007204312399278319,1
0.8963589356263011,1.1204486695328768,1.008403802579589,42295,15652,0.994070171407812,0.009355910188040785,1
1.1204486695328768,1.3445384034394525,1.2324935364861647,29437,8571,1.2338679745776373,0.012273685400066285,1
1.3445384034394525,1.5686281373460282,1.4565832703927404,20642,4831,1.4522743495714718,0.015982534191670304,1
1.5686281373460282,1.792717871252604,1.680673004299316,14664,2672,1.7025682548630046,0.021034393600395884,1
1.792717871252604,2.0168076051591797,1.9047627382058918,10554,1594,1.8902583546154528,0.026871981272831216,1
2.0168076051591797,2.2408973390657536,2.1288524721124666,7822,893,2.1701089744389606,0.03532230697031991,1
2.2408973390657536,2.4649870729723293,2.3529422060190415,6075,578,2.352363399536372,0.04352829952716182,1
2.4649870729723293,2.689076806878905,2.577031939925617,4708,293,2.7768458593631,0.06021107623426395,1
2.689076806878905,2.9131665407854808,2.801121673832193,3795,207,2.908720896564361,0.07137522319213323,1
2.9131665407854808,3.1372562746920565,3.0252114077387686,3154,148,3.059214493758869,0.08410597161473718,1
3.1372562746920565,3.361346008598632,3.2493011416453443,2582,99,3.261199721271998,0.10241243464667144,1
