T_run,rmse
4.3805,0.00182968
4.46761,0.0014904
4.55472,0.00121132
4.64182,0.0008433
4.72893,0.000668444
4.81604,0.000650947
4.90315,0.000846427
4.99025,0.00103263
5.07736,0.0013206
5.16447,0.00166062
5.25157,0.00192128
5.33868,0.00218897
5.42579,0.00245069
5.51289,0.00268676
5.6,0.00297069
