theta1,theta3,diff
-1.98968,-1.78024,0.00281682
-1.98968,-1.5708,0.00208022
-1.98968,-1.36136,0.000590459
-1.98968,-1.15192,-0.000366999
-1.98968,-0.942478,-0.00166007
-1.98968,-0.733038,-0.00178626
-1.98968,-0.523599,-0.00149227
-1.98968,-0.314159,-0.00212442
-1.98968,-0.10472,-0.00212238
-1.98968,0.10472,-0.00213505
-1.98968,0.314159,-0.00199786
-1.98968,0.523599,-0.0022943
-1.98968,0.733038,-0.00211755
-1.98968,0.942478,-0.00192763
-1.98968,1.15192,-0.00147104
-1.98968,1.36136,-0.00100806
-1.98968,1.5708,0.000324514
-1.98968,1.78024,0.00131064
-1.98968,1.98968,0.00313407
-1.98968,2.19911,0.00394939
-1.98968,2.40855,0.00344341
-1.98968,2.61799,0.0034699
-1.98968,2.82743,0.00235007
-1.98968,3.03687,0.0013394
-1.78024,-3.03687,0.00120983
-1.78024,-2.82743,0.00127051
-1.78024,-2.61799,0.00206406
-1.78024,-2.40855,0.00300539
-1.78024,-2.19911,0.00279914
-1.78024,-1.98968,0.00297896
-1.78024,-1.78024,0.00254659
-1.78024,-1.5708,0.00073016
-1.78024,-1.36136,-0.000821024
-1.78024,-1.15192,-0.00150269
-1.78024,-0.942478,-0.00198093
-1.78024,-0.733038,-0.00184912
-1.78024,-0.523599,-0.00212864
-1.78024,-0.314159,-0.00231177
-1.78024,-0.10472,-0.00229722
-1.78024,0.10472,-0.00219209
-1.78024,0.314159,-0.00259467
-1.78024,0.523599,-0.00209083
-1.78024,0.733038,-0.00222126
-1.78024,0.942478,-0.00200404
-1.78024,1.15192,-0.00192385
-1.78024,1.36136,-0.00155507
-1.78024,1.5708,-0.00115214
-1.78024,1.78024,9.30833e-05
-1.78024,1.98968,0.00174229
-1.78024,2.19911,0.0035397
-1.78024,2.40855,0.00360352
-1.78024,2.61799,0.00315161
-1.78024,2.82743,0.0026469
-1.78024,3.03687,0.00148728
-1.5708,-3.03687,0.00132153
-1.5708,-2.82743,0.00162711
-1.5708,-2.61799,0.00204174
-1.5708,-2.40855,0.00237451
-1.5708,-2.19911,0.00282097
-1.5708,-1.98968,0.00247467
-1.5708,-1.78024,0.00105451
-1.5708,-1.5708,-0.000535631
-1.5708,-1.36136,-0.0015145
-1.5708,-1.15192,-0.00183881
-1.5708,-0.942478,-0.00199332
-1.5708,-0.733038,-0.00211551
-1.5708,-0.523599,-0.00209768
-1.5708,-0.314159,-0.00231499
-1.5708,-0.10472,-0.00217897
-1.5708,0.10472,-0.00199766
-1.5708,0.314159,-0.00224854
-1.5708,0.523599,-0.00221577
-1.5708,0.733038,-0.00218485
-1.5708,0.942478,-0.0019129
-1.5708,1.15192,-0.00213369
-1.5708,1.36136,-0.00196006
-1.5708,1.5708,-0.00173285
-1.5708,1.78024,-0.0010045
-1.5708,1.98968,-0.000411876
-1.5708,2.19911,0.0020549
-1.5708,2.40855,0.00223382
-1.5708,2.61799,0.00240469
-1.5708,2.82743,0.00228923
-1.5708,3.03687,0.00211202
-1.36136,-3.03687,0.00164602
-1.36136,-2.82743,0.00175518
-1.36136,-2.61799,0.00201112
-1.36136,-2.40855,0.0025282
-1.36136,-2.19911,0.00193166
-1.36136,-1.98968,0.00105118
-1.36136,-1.78024,-0.000238035
-1.36136,-1.5708,-0.00120342
-1.36136,-1.36136,-0.00194752
-1.36136,-1.15192,-0.00222216
-1.36136,-0.942478,-0.00200403
-1.36136,-0.733038,-0.00217907
-1.36136,-0.523599,-0.0019113
-1.36136,-0.314159,-0.00203322
-1.36136,-0.10472,-0.00190231
-1.36136,0.10472,-0.00208085
-1.36136,0.314159,-0.00194556
-1.36136,0.523599,-0.00200434
-1.36136,0.733038,-0.00187675
-1.36136,0.942478,-0.00208902
-1.36136,1.15192,-0.00229862
-1.36136,1.36136,-0.00239368
-1.36136,1.5708,-0.00182915
-1.36136,1.78024,-0.00186183
-1.36136,1.98968,-0.0012681
-1.36136,2.19911,-0.000190306
-1.36136,2.40855,0.000971689
-1.36136,2.61799,0.00132914
-1.36136,2.82743,0.00205533
-1.36136,3.03687,0.00177385
-1.15192,-3.03687,0.001102
-1.15192,-2.82743,0.00160722
-1.15192,-2.61799,0.00153966
-1.15192,-2.40855,0.00165489
-1.15192,-2.19911,0.000707056
-1.15192,-1.98968,-0.000465678
-1.15192,-1.78024,-0.00157614
-1.15192,-1.5708,-0.00182546
-1.15192,-1.36136,-0.00240479
-1.15192,-1.15192,-0.00221927
-1.15192,-0.942478,-0.00196427
-1.15192,-0.733038,-0.00196381
-1.15192,-0.523599,-0.00186666
-1.15192,-0.314159,-0.00196802
-1.15192,-0.10472,-0.00174413
-1.15192,0.10472,-0.00191401
-1.15192,0.314159,-0.00183113
-1.15192,0.523599,-0.00179221
-1.15192,0.733038,-0.00192962
-1.15192,0.942478,-0.00209752
-1.15192,1.15192,-0.00195037
-1.15192,1.36136,-0.00207928
-1.15192,1.5708,-0.00204655
-1.15192,1.78024,-0.00240698
-1.15192,1.98968,-0.00188468
-1.15192,2.19911,-0.00136324
-1.15192,2.40855,-2.00307e-05
-1.15192,2.61799,0.000475192
-1.15192,2.82743,0.000512241
-1.15192,3.03687,0.00112464
-0.942478,-3.03687,0.001051
-0.942478,-2.82743,0.0014983
-0.942478,-2.61799,0.00104384
-0.942478,-2.40855,0.000410088
-0.942478,-2.19911,-0.000197479
-0.942478,-1.98968,-0.00143808
-0.942478,-1.78024,-0.00210591
-0.942478,-1.5708,-0.00240091
-0.942478,-1.36136,-0.00216519
-0.942478,-1.15192,-0.0020993
-0.942478,-0.942478,-0.0018203
-0.942478,-0.733038,-0.00181857
-0.942478,-0.523599,-0.00165976
-0.942478,-0.314159,-0.00156266
-0.942478,-0.10472,-0.00160632
-0.942478,0.10472,-0.00149293
-0.942478,0.314159,-0.00184899
-0.942478,0.523599,-0.00171757
-0.942478,0.733038,-0.00175525
-0.942478,0.942478,-0.00185802
-0.942478,1.15192,-0.00221629
-0.942478,1.36136,-0.00202917
-0.942478,1.5708,-0.00238277
-0.942478,1.78024,-0.00244315
-0.942478,1.98968,-0.00228524
-0.942478,2.19911,-0.00190761
-0.942478,2.40855,-0.00114114
-0.942478,2.61799,6.08175e-05
-0.942478,2.82743,-5.64078e-05
-0.942478,3.03687,0.000851378
-0.733038,-3.03687,4.90746e-05
-0.733038,-2.82743,0.000705206
-0.733038,-2.61799,0.000366905
-0.733038,-2.40855,-0.000557931
-0.733038,-2.19911,-0.00128724
-0.733038,-1.98968,-0.00205731
-0.733038,-1.78024,-0.00215899
-0.733038,-1.5708,-0.00234544
-0.733038,-1.36136,-0.00218068
-0.733038,-1.15192,-0.00198279
-0.733038,-0.942478,-0.00190216
-0.733038,-0.733038,-0.00171155
-0.733038,-0.523599,-0.00155805
-0.733038,-0.314159,-0.00151383
-0.733038,-0.10472,-0.00149163
-0.733038,0.10472,-0.00141084
-0.733038,0.314159,-0.00140562
-0.733038,0.523599,-0.00165088
-0.733038,0.733038,-0.00184029
-0.733038,0.942478,-0.00189776
-0.733038,1.15192,-0.00180045
-0.733038,1.36136,-0.00187141
-0.733038,1.5708,-0.00223186
-0.733038,1.78024,-0.00210931
-0.733038,1.98968,-0.00206328
