support,comparison,sample_count,centered_shift_mean,centered_shift_rms,centered_abs_shift_p90,centered_abs_shift_p99,centered_abs_shift_max,normalized_log_density_shift_mean,normalized_log_density_shift_rms
fine,seed_8201,50000,3.996802888650564e-20,0.0014761755062603363,0.002044602673018488,0.0059854500675742325,0.02258445470934159,-2.4698276789595933e-06,0.0014761775724253922
fine,seed_8202,50000,1.8318679906315083e-20,0.0011001715250718949,0.0015237860382138315,0.004460464636601753,0.01683222802897683,-2.212003742235102e-06,0.0011001737487958774
fine,seed_8203,50000,-5.495603971894525e-20,0.001978378504492161,0.0027402668968143106,0.008020177559094963,0.03026850174065562,-1.7861895353581386e-06,0.0019783793108273493
fine,ensemble_mean,50000,-7.771561172376095e-21,0.0015182413704522351,0.002103010921079515,0.0061553642111154315,0.02322839482632446,-2.156006985517765e-06,0.0015182429012904365
coarse,seed_8201,50000,-2.2204460492503133e-21,0.0015005211589801618,0.0020672496604015387,0.006077091573702582,0.023145195259848157,nan,nan
coarse,seed_8202,50000,1.554312234475219e-20,0.0011183169856652433,0.0015406306301565336,0.004529561741318188,0.017250240962997685,nan,nan
coarse,seed_8203,50000,6.217248937900876e-20,0.002010983272073278,0.0027715149063388383,0.00814351349977973,0.03102093370148332,nan,nan
coarse,ensemble_mean,50000,-6.217248937900876e-20,0.0015432733278693156,0.0021262780305008125,0.006248678191099742,0.02380545664144291,nan,nan
