theta1,theta3,density
-1.98968,-0.942478,0.0161124
-1.98968,-0.733038,0.0142304
-1.98968,-0.523599,0.0128988
-1.98968,-0.314159,0.0120511
-1.98968,-0.10472,0.0116395
-1.98968,0.10472,0.0116395
-1.98968,0.314159,0.0120511
-1.98968,0.523599,0.0128988
-1.98968,0.733038,0.0142304
-1.98968,0.942478,0.0161124
-1.98968,1.15192,0.0186218
-1.98968,1.36136,0.0218302
-1.98968,1.5708,0.0257779
-1.98968,1.78024,0.0304396
-1.98968,1.98968,0.035684
-1.98968,2.19911,0.0412417
-1.98968,2.40855,0.046696
-1.98968,2.61799,0.0515165
-1.98968,2.82743,0.0551405
-1.98968,3.03687,0.0570903
-1.78024,-3.03687,0.0486998
-1.78024,-2.82743,0.0470365
-1.78024,-2.61799,0.0439451
-1.78024,-2.40855,0.0398332
-1.78024,-2.19911,0.0351804
-1.78024,-1.98968,0.0304396
-1.78024,-1.78024,0.0259659
-1.78024,-1.5708,0.0219894
-1.78024,-1.36136,0.0186218
-1.78024,-1.15192,0.015885
-1.78024,-0.942478,0.0137443
-1.78024,-0.733038,0.0121389
-1.78024,-0.523599,0.0110031
-1.78024,-0.314159,0.0102799
-1.78024,-0.10472,0.00992883
-1.78024,0.10472,0.00992883
-1.78024,0.314159,0.0102799
-1.78024,0.523599,0.0110031
-1.78024,0.733038,0.0121389
-1.78024,0.942478,0.0137443
-1.78024,1.15192,0.015885
-1.78024,1.36136,0.0186218
-1.78024,1.5708,0.0219894
-1.78024,1.78024,0.0259659
-1.78024,1.98968,0.0304396
-1.78024,2.19911,0.0351804
-1.78024,2.40855,0.0398332
-1.78024,2.61799,0.0439451
-1.78024,2.82743,0.0470365
-1.78024,3.03687,0.0486998
-1.5708,-3.03687,0.0412417
-1.5708,-2.82743,0.0398332
-1.5708,-2.61799,0.0372152
-1.5708,-2.40855,0.033733
-1.5708,-2.19911,0.0297928
-1.5708,-1.98968,0.0257779
-1.5708,-1.78024,0.0219894
-1.5708,-1.5708,0.0186218
-1.5708,-1.36136,0.01577
-1.5708,-1.15192,0.0134523
-1.5708,-0.942478,0.0116395
-1.5708,-0.733038,0.0102799
-1.5708,-0.523599,0.00931803
-1.5708,-0.314159,0.00870562
-1.5708,-0.10472,0.00840829
-1.5708,0.10472,0.00840829
-1.5708,0.314159,0.00870562
-1.5708,0.523599,0.00931803
-1.5708,0.733038,0.0102799
-1.5708,0.942478,0.0116395
-1.5708,1.15192,0.0134523
-1.5708,1.36136,0.01577
-1.5708,1.5708,0.0186218
-1.5708,1.78024,0.0219894
-1.5708,1.98968,0.0257779
-1.5708,2.19911,0.0297928
-1.5708,2.40855,0.033733
-1.5708,2.61799,0.0372152
-1.5708,2.82743,0.0398332
-1.5708,3.03687,0.0412417
-1.36136,-3.03687,0.0349258
-1.36136,-2.82743,0.033733
-1.36136,-2.61799,0.0315159
-1.36136,-2.40855,0.028567
-1.36136,-2.19911,0.0252302
-1.36136,-1.98968,0.0218302
-1.36136,-1.78024,0.0186218
-1.36136,-1.5708,0.01577
-1.36136,-1.36136,0.0133549
-1.36136,-1.15192,0.0113922
-1.36136,-0.942478,0.00985697
-1.36136,-0.733038,0.00870562
-1.36136,-0.523599,0.00789103
-1.36136,-0.314159,0.00737241
-1.36136,-0.10472,0.00712062
-1.36136,0.10472,0.00712062
-1.36136,0.314159,0.00737241
-1.36136,0.523599,0.00789103
-1.36136,0.733038,0.00870562
-1.36136,0.942478,0.00985697
-1.36136,1.15192,0.0113922
-1.36136,1.36136,0.0133549
-1.36136,1.5708,0.01577
-1.36136,1.78024,0.0186218
-1.36136,1.98968,0.0218302
-1.36136,2.19911,0.0252302
-1.36136,2.40855,0.028567
-1.36136,2.61799,0.0315159
-1.36136,2.82743,0.033733
-1.36136,3.03687,0.0349258
-1.15192,-3.03687,0.0297928
-1.15192,-2.82743,0.0287752
-1.15192,-2.61799,0.0268841
-1.15192,-2.40855,0.0243685
-1.15192,-2.19911,0.0215221
-1.15192,-1.98968,0.0186218
-1.15192,-1.78024,0.015885
-1.15192,-1.5708,0.0134523
-1.15192,-1.36136,0.0113922
-1.15192,-1.15192,0.00971787
-1.15192,-0.942478,0.00840829
-1.15192,-0.733038,0.00742616
-1.15192,-0.523599,0.00673129
-1.15192,-0.314159,0.00628889
-1.15192,-0.10472,0.0060741
-1.15192,0.10472,0.0060741
-1.15192,0.314159,0.00628889
-1.15192,0.523599,0.00673129
-1.15192,0.733038,0.00742616
-1.15192,0.942478,0.00840829
-1.15192,1.15192,0.00971787
-1.15192,1.36136,0.0113922
-1.15192,1.5708,0.0134523
-1.15192,1.78024,0.015885
-1.15192,1.98968,0.0186218
-1.15192,2.19911,0.0215221
-1.15192,2.40855,0.0243685
-1.15192,2.61799,0.0268841
-1.15192,2.82743,0.0287752
-1.15192,3.03687,0.0297928
-0.942478,-3.03687,0.0257779
-0.942478,-2.82743,0.0248975
-0.942478,-2.61799,0.0232612
-0.942478,-2.40855,0.0210846
-0.942478,-2.19911,0.0186218
-0.942478,-1.98968,0.0161124
-0.942478,-1.78024,0.0137443
-0.942478,-1.5708,0.0116395
-0.942478,-1.36136,0.00985697
-0.942478,-1.15192,0.00840829
-0.942478,-0.942478,0.0072752
-0.942478,-0.733038,0.00642542
-0.942478,-0.523599,0.00582419
-0.942478,-0.314159,0.00544141
-0.942478,-0.10472,0.00525556
-0.942478,0.10472,0.00525556
-0.942478,0.314159,0.00544141
-0.942478,0.523599,0.00582419
-0.942478,0.733038,0.00642542
-0.942478,0.942478,0.0072752
-0.942478,1.15192,0.00840829
-0.942478,1.36136,0.00985697
-0.942478,1.5708,0.0116395
-0.942478,1.78024,0.0137443
-0.942478,1.98968,0.0161124
-0.942478,2.19911,0.0186218
-0.942478,2.40855,0.0210846
-0.942478,2.61799,0.0232612
-0.942478,2.82743,0.0248975
-0.942478,3.03687,0.0257779
-0.733038,-3.03687,0.0227669
-0.733038,-2.82743,0.0219894
-0.733038,-2.61799,0.0205442
-0.733038,-2.40855,0.0186218
-0.733038,-2.19911,0.0164467
-0.733038,-1.98968,0.0142304
-0.733038,-1.78024,0.0121389
-0.733038,-1.5708,0.0102799
-0.733038,-1.36136,0.00870562
-0.733038,-1.15192,0.00742616
-0.733038,-0.942478,0.00642542
-0.733038,-0.733038,0.0056749
-0.733038,-0.523599,0.00514389
-0.733038,-0.314159,0.00480582
-0.733038,-0.10472,0.00464169
-0.733038,0.10472,0.00464169
-0.733038,0.314159,0.00480582
-0.733038,0.523599,0.00514389
-0.733038,0.733038,0.0056749
-0.733038,0.942478,0.00642542
-0.733038,1.15192,0.00742616
-0.733038,1.36136,0.00870562
-0.733038,1.5708,0.0102799
-0.733038,1.78024,0.0121389
-0.733038,1.98968,0.0142304
-0.733038,2.19911,0.0164467
-0.733038,2.40855,0.0186218
-0.733038,2.61799,0.0205442
-0.733038,2.82743,0.0219894
-0.733038,3.03687,0.0227669
-0.523599,-3.03687,0.0206366
-0.523599,-2.82743,0.0199318
-0.523599,-2.61799,0.0186218
-0.523599,-2.40855,0.0168794
-0.523599,-2.19911,0.0149078
-0.523599,-1.98968,0.0128988
-0.523599,-1.78024,0.0110031
-0.523599,-1.5708,0.00931803
-0.523599,-1.36136,0.00789103
-0.523599,-1.15192,0.00673129
-0.523599,-0.942478,0.00582419
-0.523599,-0.733038,0.00514389
-0.523599,-0.523599,0.00466257
-0.523599,-0.314159,0.00435614
-0.523599,-0.10472,0.00420736
-0.523599,0.10472,0.00420736
