site,mean_action
1,0.97413726547125368
2,0.91693529990085232
3,0.89638431929086804
4,0.87220031328920056
5,0.84740095519763015
6,0.82178005770070417
7,0.79451511906507033
8,0.76516452587175554
9,0.73738764077814256
10,0.59981428841312856
