site,mean_action
1,0.84248240117960316
2,0.83505436124956955
3,0.8292322349156569
4,0.82253161965938559
5,0.81535109353361634
6,0.80883543576256733
7,0.80207215009113964
8,0.79493702354007978
9,0.7881010683380083
10,0.74842413553259657
