stream_id,time,energy
0,50,13.852664812763905
0,100,58.889859547710635
0,150,27.064139253864852
0,200,38.963793165640475
0,250,31.558568096470868
0,300,28.119340418055511
0,350,49.549896129109626
0,400,31.578821399614984
0,450,52.809973459414735
0,500,22.365950546926932
1,50,37.998332941102014
1,100,22.520752032914356
1,150,14.960705886816376
1,200,47.924594328348959
1,250,51.069586463924196
1,300,32.083061860839287
1,350,33.193536558336866
1,400,47.597551265871324
1,450,38.352175266977405
1,500,45.857126362300392
2,50,13.290966195504822
2,100,19.299316474249064
2,150,19.02529822672102
2,200,8.3613431668547591
2,250,38.841153101443439
2,300,27.158346949643338
2,350,15.928162589945643
2,400,12.983324536467491
2,450,30.742504208569979
2,500,30.238678999800467
3,50,37.581726930997107
3,100,22.62946126016584
3,150,7.560609766904161
3,200,23.866094511112568
3,250,16.504182373828339
3,300,27.786528220257498
3,350,46.181798817925745
3,400,28.949267192298446
3,450,35.05105105910188
3,500,29.780597830705346
4,50,26.973506194747337
4,100,32.988076114224363
4,150,39.970353755195411
4,200,31.077881398341354
4,250,22.062729454496651
4,300,10.164682548914881
4,350,19.994019174938281
4,400,16.020619422529521
4,450,19.505467714548168
4,500,49.15173475986667
5,50,25.732875395040519
5,100,34.456412338416769
5,150,40.061275799633172
5,200,16.700444626251908
5,250,15.008308693985766
5,300,17.084494119062246
5,350,29.41767957528895
5,400,13.806114220880831
5,450,13.047251656831444
5,500,28.394061284918397
6,50,26.60624410931776
6,100,12.347455491287102
6,150,25.708981425504668
6,200,28.847701358667493
6,250,9.1844293060546711
6,300,23.860757381293613
6,350,23.097077532765379
6,400,32.960096778913744
6,450,50.04431657276119
6,500,28.046686072159368
7,50,40.602215821473976
7,100,21.471244716387041
7,150,32.151595259358444
7,200,41.744512481852411
7,250,52.284876698218874
7,300,19.136996137458134
7,350,74.365266256695961
7,400,38.959216827000887
7,450,21.74967471670335
7,500,15.613414200005463
8,50,21.363600392116634
8,100,23.2512692225827
8,150,14.065354775862696
8,200,30.830002849744112
8,250,19.485068954660687
8,300,41.260428440600286
8,350,24.220765619411079
8,400,46.757495766854611
8,450,12.403498738379078
8,500,14.998964759898183
9,50,37.046277606063583
9,100,21.300328170148553
9,150,19.998346378413281
9,200,36.98128742466254
9,250,39.006800158811082
9,300,13.731703903787185
9,350,28.805150813686261
9,400,5.2634147353495235
9,450,32.046647007997706
9,500,20.981126841130237
10,50,18.287927881152655
10,100,18.828156371830168
10,150,20.659407315879211
10,200,16.234869817966995
10,250,34.365726266186435
10,300,8.9645326640197585
10,350,13.411263251837084
10,400,44.493225430563193
10,450,53.24201622979362
10,500,35.663055133519514
11,50,31.247745887568968
11,100,36.09467295748474
11,150,29.751911661244574
11,200,15.975385754016632
11,250,23.570840973493738
11,300,35.12864681974321
11,350,27.173058016873107
11,400,41.73961199023865
11,450,40.554050605510412
11,500,14.733060393434325
12,50,23.413752353521048
12,100,34.459166111112204
12,150,48.212713358191635
12,200,41.605842846352694
12,250,49.940671875160902
12,300,27.176499213547764
12,350,22.294008708549718
12,400,63.218373743002402
12,450,40.908226788554082
12,500,27.042397617428708
13,50,12.713820016365371
13,100,55.095429308644043
13,150,32.249647169705391
13,200,27.184632521562296
13,250,35.550837781960368
13,300,37.145348886405891
13,350,19.729547516634682
13,400,39.890930810109488
13,450,11.722273239631203
13,500,25.712919790260411
14,50,13.013821759815219
14,100,27.535973236567965
14,150,22.496964812707208
14,200,48.655872625631417
14,250,16.625382035971494
14,300,29.118993602082337
14,350,22.027218114743526
14,400,23.000135278732881
14,450,53.6428684031291
14,500,23.73923509694211
15,50,10.14298662661005
15,100,27.280905073149473
15,150,29.650750213333126
15,200,16.079664967244508
15,250,25.778570011980062
15,300,46.145669834427864
15,350,18.89741307091213
15,400,15.466664222622052
15,450,20.367760332849631
15,500,38.895841473778631
16,50,26.061783252739179
16,100,56.595432439637761
16,150,17.943994391727824
16,200,27.3624468933751
16,250,33.450630805591217
16,300,34.398097838690695
16,350,23.921471403610354
16,400,25.598286456942553
16,450,19.556419839256641
16,500,15.99475277054578
17,50,20.966910994680209
17,100,19.603436705881222
17,150,39.976481864386209
17,200,21.869879674205539
17,250,31.499682953775125
17,300,17.483374252041287
17,350,34.189652069151855
17,400,55.530321102703894
17,450,32.148421556032687
17,500,24.297351083534508
18,50,26.555721364832813
18,100,35.674100716631479
18,150,44.936122088678047
18,200,35.349840657770613
18,250,18.891144361399387
18,300,9.9319550458693175
18,350,14.633113107175522
18,400,18.397693874214909
18,450,18.201433842388646
18,500,42.091774136757778
19,50,47.579747639822742
19,100,30.529363359361959
19,150,25.077264731396127
19,200,39.105706523055353
19,250,22.531187056202008
19,300,41.086419467746907
19,350,49.9773875155905
19,400,41.57774027627039
19,450,54.099769921227775
19,500,58.628396910860886
20,50,44.887574959360521
20,100,59.026195685238285
20,150,42.338027254370459
20,200,22.664521970524621
20,250,15.620337038906683
20,300,35.930059415896864
20,350,25.713382354601929
20,400,30.15429206240951
20,450,47.030062424872362
20,500,13.779538186626381
21,50,15.069641782995049
21,100,22.215624716150518
21,150,29.660972192087822
21,200,29.606643657357555
21,250,23.97504658351744
21,300,13.873176785595451
21,350,38.460740273147643
21,400,24.516639371502492
21,450,49.327318333616965
21,500,13.341587072178516
22,50,45.537555487096895
22,100,20.725063864252729
22,150,6.5627174046196739
22,200,26.18209919961874
22,250,60.128209128541897
22,300,35.178971744629273
22,350,19.969539714548475
22,400,22.812514467051958
22,450,11.707635237529484
22,500,28.683568705376778
23,50,28.95343625782084
23,100,26.154055185535942
23,150,12.954102472331535
23,200,18.151877629811352
23,250,28.430442849332266
23,300,54.394730338719341
23,350,29.427285116759627
23,400,8.833193338437944
23,450,27.503674742352633
23,500,22.546415342343622
24,50,56.430510201819239
24,100,50.711721722056595
24,150,32.384096800336408
24,200,42.468218643412285
24,250,26.964854023744191
24,300,34.05972063782869
24,350,44.071727048296893
24,400,38.644683123997247
24,450,37.54944946978722
24,500,38.313226709830104
25,50,19.895748821812813
25,100,13.037916148014226
25,150,44.135461562577639
25,200,28.890182914115904
25,250,31.077291389131943
25,300,28.673368815865032
25,350,21.766584411647397
25,400,91.799765879356443
25,450,14.886623172463905
25,500,41.623253900380249
26,50,25.520994495007773
26,100,24.78443433974736
26,150,14.806828292065099
26,200,15.170321986698101
26,250,23.998435873536501
26,300,21.816993993456251
26,350,38.054350949855632
26,400,12.838112642673346
26,450,28.884348808963999
26,500,33.241112346775637
27,50,74.332830720608015
27,100,31.674617759897572
27,150,14.858286950720732
27,200,69.638195609734481
27,250,22.87293728249827
27,300,26.364744320103213
27,350,34.453774339178636
27,400,23.699935056044684
27,450,30.864016433927802
27,500,29.064090707929296
28,50,38.359143144744749
28,100,17.44842054423518
28,150,29.079607887327473
28,200,25.356815293932698
28,250,28.59755130122311
28,300,44.209648143427991
28,350,25.047692780991913
28,400,15.962033566292599
28,450,37.498773959184433
28,500,67.253642921165863
29,50,22.567701079114734
29,100,36.760779093192362
29,150,17.951351021417707
29,200,30.647608260633845
29,250,33.569974645455211
29,300,30.736319418015093
29,350,40.22969879565084
29,400,23.308201277153124
29,450,20.295227161815294
29,500,37.845160571983456
30,50,14.990846291181503
30,100,28.918534515381911
30,150,35.466147561242146
30,200,64.852616377603866
30,250,40.118899599464285
30,300,33.07580968796772
30,350,15.561908478565821
30,400,23.104928055566095
30,450,9.4119564860078793
30,500,19.047684091426312
31,50,30.676213692670302
31,100,48.393577407336238
31,150,26.827862332760748
31,200,25.569055205986732
31,250,21.989825732174253
31,300,25.383312540558673
31,350,47.864629820890194
31,400,13.369132277794916
31,450,28.06443780319902
31,500,34.422410708144739
32,50,22.295222832656552
32,100,28.497597116024217
32,150,18.218553617527981
32,200,16.497913184614298
32,250,35.62444818983586
32,300,32.328113601270417
32,350,19.436556491594754
32,400,19.436781196796669
32,450,14.98654442341533
32,500,30.113151254414134
33,50,44.78392352540142
33,100,54.198251952943643
33,150,5.67568194621649
33,200,21.252890259751616
33,250,24.516587463793257
33,300,15.750562103978968
33,350,11.665868546507397
33,400,42.301307463066863
33,450,54.287109318131826
33,500,50.769181456347908
34,50,17.785775669897735
34,100,17.989505057367445
34,150,36.98029474381282
34,200,18.348045146185559
34,250,11.216577554550824
34,300,25.83246747832672
34,350,33.160753595910968
34,400,12.557370424143352
34,450,22.772034370360071
34,500,35.576004210005408
35,50,36.439001246578869
35,100,55.150511373442832
35,150,29.452646867771751
35,200,13.855327865067506
35,250,28.097320083081492
35,300,7.4389241091154998
35,350,46.15857770118086
35,400,30.095497597243813
35,450,34.17727672929486
35,500,24.003971717679342
36,50,18.783873619483025
36,100,30.318829850842047
36,150,35.430567188994026
36,200,9.6193821010971252
36,250,54.076007652225854
36,300,58.536340863832763
36,350,44.018366530235085
36,400,57.295236315125862
36,450,94.122959385163654
36,500,12.162854499515591
37,50,24.669616141927222
37,100,6.8985786091643329
37,150,27.045247975428019
37,200,52.114803544288115
37,250,31.963230011855401
37,300,31.424194244893997
37,350,45.805601289303809
37,400,22.628025521623009
37,450,22.857885220602515
37,500,54.935090304985387
38,50,38.01631642602468
38,100,74.074643964084018
38,150,18.039316921613963
38,200,38.432750419272502
38,250,28.737549850569891
38,300,17.130804843579387
38,350,16.867483892504421
38,400,20.673874732417481
38,450,33.645275773569033
38,500,39.849470447520865
39,50,32.992440700526096
39,100,19.732046086399105
39,150,48.829543881859124
39,200,14.082145868734321
39,250,26.697922736197743
39,300,40.945285817725662
39,350,29.860700460844001
39,400,31.979590867512613
39,450,37.996250056660593
39,500,34.617561092568188
40,50,9.4318428791823639
40,100,15.624551605930915
40,150,21.326373143766038
40,200,11.667159308386882
40,250,7.6466968907952335
40,300,32.123523839577899
40,350,27.256455885916608
40,400,9.0290484393399399
40,450,3.5959176414887413
40,500,28.641377401325254
41,50,20.505974545391322
41,100,30.62814724571324
41,150,20.879037940293994
41,200,24.440485467663645
41,250,24.800708927297748
41,300,80.361685870383781
41,350,21.196202402708735
41,400,22.71311839350377
41,450,51.820356455509973
41,500,36.239949546574849
42,50,13.010336981651344
42,100,39.399768145424659
42,150,12.447090980103559
42,200,28.872900572873995
42,250,17.558502041112675
42,300,47.977106155987258
42,350,38.347856268784312
42,400,26.460344282015541
42,450,11.937767366319989
42,500,21.817629607845991
43,50,11.378894698822249
43,100,36.192614173353242
43,150,14.936498898267862
43,200,34.548708993185087
43,250,24.128118449399654
43,300,27.900786642150543
43,350,19.543074424548301
43,400,45.814186524200821
43,450,14.419515645663678
43,500,57.497978335456523
44,50,35.520198195833842
44,100,12.717573956721345
44,150,27.384184233789632
44,200,21.279843535395617
44,250,36.076538132000444
44,300,34.112197942710772
44,350,29.230186167708702
44,400,11.871554692287319
44,450,57.599272501563121
44,500,14.568581547687776
45,50,20.322287608566953
45,100,25.731083120792174
45,150,10.006977756650322
45,200,16.402939672501766
45,250,38.162569063510055
45,300,39.989837955278517
45,350,19.542303380621412
45,400,47.270835615695205
45,450,10.480264640982274
45,500,33.608715016361003
46,50,25.445007046793325
46,100,30.323089420393959
46,150,38.716959921782937
46,200,58.299149105277721
46,250,19.557549894011974
46,300,19.704103519670557
46,350,39.423501750580016
46,400,32.853041147102459
46,450,21.167447813067938
46,500,15.617318687524723
47,50,20.545365103131935
47,100,70.975810761747297
47,150,35.934481266720645
47,200,33.122513264025798
47,250,22.071484274991406
47,300,49.474416213824888
47,350,14.630159476471661
47,400,54.673141140268797
47,450,14.606723676940986
47,500,32.353990344334584
48,50,38.998667655949909
48,100,15.149260428193728
48,150,18.12095937637978
48,200,34.705078370357725
48,250,61.182492229483522
48,300,38.170117692918531
48,350,33.379135102889663
48,400,55.780627159894799
48,450,20.185278240328007
