stream_id,time,energy
0,50,16.242323719963505
0,100,41.020514506773168
0,150,47.818693228294805
0,200,31.210156251180347
0,250,25.116066707955493
0,300,33.796444211757411
0,350,23.20230702035466
0,400,23.546461313238616
0,450,20.512628351924864
0,500,28.353887188927224
1,50,21.193633541677862
1,100,18.132356664503938
1,150,8.5042425233737688
1,200,11.426802833794216
1,250,13.85502598911193
1,300,39.201452290123001
1,350,47.987848589371751
1,400,42.218218060909344
1,450,20.558846639406553
1,500,11.413206973291629
2,50,21.001037354597411
2,100,50.272122159978231
2,150,36.367055212034572
2,200,53.848277941561712
2,250,87.083259087249957
2,300,44.226331739425753
2,350,42.987006219063275
2,400,22.412930054503629
2,450,54.524337932892692
2,500,24.343715144080079
3,50,21.530331621541137
3,100,38.117990308142197
3,150,20.053157493973227
3,200,23.038205563404386
3,250,39.965374583141738
3,300,25.817414836769515
3,350,32.733218895681858
3,400,58.867515818911833
3,450,43.181799592038701
3,500,69.758842670011731
4,50,26.077484692451264
4,100,25.878571804569617
4,150,25.8142400453454
4,200,65.946547832888413
4,250,14.196588942406784
4,300,14.54327948592482
4,350,26.548013647798346
4,400,25.560967756649706
4,450,30.918411116797191
4,500,27.350981231131893
5,50,27.876340088515462
5,100,20.13240673834844
5,150,32.707454714905914
5,200,36.960637804608233
5,250,13.435996296783753
5,300,14.230834369445045
5,350,45.144918469283425
5,400,45.867129359050978
5,450,40.60829525324592
5,500,30.383482215836018
6,50,29.08003641500552
6,100,36.062781761910351
6,150,21.396152884942236
6,200,12.24045431030869
6,250,48.773247963385607
6,300,5.6748355746090917
6,350,31.715583240277041
6,400,29.835578992883359
6,450,21.624420756255383
6,500,20.222243413384827
7,50,41.626833309696266
7,100,45.854623617611949
7,150,52.19910323889335
7,200,29.813837770170224
7,250,23.403467297691094
7,300,14.436447036321628
7,350,38.46660564940332
7,400,41.85146946187173
7,450,35.204903414429232
7,500,16.733210462374064
8,50,71.095382413553864
8,100,9.6064539163146172
8,150,50.022493188349273
8,200,40.700972725511654
8,250,16.443936350477816
8,300,63.369757393227871
8,350,26.711657493510284
8,400,39.907169838933299
8,450,27.723010603073543
8,500,23.654460271162488
9,50,22.402568165535506
9,100,30.960286976314105
9,150,24.886400280076238
9,200,17.881265055462013
9,250,48.708200360390038
9,300,27.424413894007351
9,350,41.802756665768683
9,400,31.56864077692596
9,450,83.549329529143009
9,500,45.755511018339014
10,50,24.290287279862582
10,100,44.375636068449168
10,150,41.696026186237162
10,200,32.145979841080475
10,250,27.319536731004494
10,300,23.471974211088583
10,350,27.40358880947991
10,400,14.464570466873163
10,450,28.440935593621173
10,500,24.696561030162016
11,50,19.397173142476067
11,100,42.792330254371514
11,150,12.577408247502181
11,200,24.326007263167412
11,250,34.046535131836251
11,300,26.255307668291525
11,350,50.380147636347047
11,400,18.249435864545184
11,450,62.525717217838015
11,500,27.589980527737545
12,50,48.474859042046091
12,100,52.336835689134801
12,150,24.008309343336528
12,200,20.390569536528165
12,250,25.740188053508568
12,300,19.660682125356612
12,350,40.045080745845368
12,400,24.885766731617384
12,450,47.296674678475377
12,500,18.882784458127656
13,50,32.899417705173825
13,100,12.62085570382833
