n,N,mean,std,skew,lambda,r2,fit_x_min,fit_x_max
10,1024,0.39252196063639533,0.06045711514752338,0.10254737736914898,30.532498896455067,0.9910806250800238,0.4430336995263875,0.549994403518759
20,1024,0.11916935258814446,0.02941060431132281,0.2067839625881318,63.481354113586704,0.9865220252209921,0.14478886484849854,0.19367898060472696
30,1024,0.05457311394151876,0.019804239534234592,0.19175903262588637,90.53786878934172,0.996789465991051,0.07131975974435814,0.10983793290347438
40,1024,0.029747553960489143,0.015439510951835373,0.0754569772758204,121.022748414397,0.9877217545623246,0.04327902052657965,0.06905177591922079
