mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,independent_runs,mean_scgf,run_scgf_se,scgf_ci_low,scgf_ci_high,mean_late_half_scgf,late_half_scgf_se,late_half_ci_low,late_half_ci_high,minimum_weight_ess,minimum_final_unique_roots,minimum_final_root_weight_ess,support_gate
controlled_exact,40,1024,20.0,1.0,0.0005,0.4,0.1,0.5,1.0,4,-0.030563680035192116,0.0019921716651032455,-0.03690365939029083,-0.0242237006800934,-0.039402601414989614,0.002305155321825776,-0.04673863445203913,-0.0320665683779401,707.0809455915447,144,79.97071384990848,1
controlled_exact,40,1024,20.0,1.0,0.0005,0.6,0.1,0.5,1.0,4,-0.02345225059518498,0.004661476689799123,-0.03828714986380233,-0.008617351326567633,-0.038016134805121005,0.007146433748558191,-0.06075927648417481,-0.015272993126067193,453.9415294732619,69,34.52215710805294,1
controlled_exact,40,1024,20.0,2.0,0.00025,0.4,0.1,0.5,1.0,4,-0.02905234284416733,0.003318223684253218,-0.039612411548223876,-0.018492274140110787,-0.03827391416176895,0.004267320997445838,-0.05185443410355005,-0.024693394219987855,505.22818535872415,157,82.04820031298904,1
controlled_exact,40,1024,20.0,2.0,0.00025,0.6,0.1,0.5,1.0,4,-0.01729611069011018,0.002020658429165144,-0.02372674764224717,-0.010865473737973188,-0.028148713037655183,0.00556464019242204,-0.04585788165826193,-0.01043954441704844,232.79996337144723,62,27.658155729056762,1
controlled_exact,40,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.03279166144193735,0.001884935610790654,-0.038790367812195754,-0.02679295507167894,-0.036197980102244884,0.0022605972798030276,-0.04339220956308843,-0.029003750641401337,504.20787425249847,150,78.14696676106722,1
controlled_exact,40,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.0208638514856181,0.003609111800527552,-0.03234965600056284,-0.009378046970673362,-0.03219279910974936,0.0038890503439319947,-0.04456949300785806,-0.019816105211640647,222.32416624861222,64,27.822542984504352,1
controlled_exact,40,1024,40.0,1.0,0.0005,0.4,0.1,0.5,1.0,4,-0.031853031137623396,0.001301099456346122,-0.03599371029527875,-0.02771235197996804,-0.03314238224005467,0.0017601198798015544,-0.03874386924838553,-0.02754089523172381,703.3026811136092,75,36.59695658243753,1
controlled_exact,40,1024,40.0,1.0,0.0005,0.6,0.1,0.5,1.0,4,-0.0273496612186017,0.002863790583872219,-0.03646352098135212,-0.018235801455851283,-0.03124707184201842,0.004207766003720845,-0.044638061214058215,-0.017856082469978628,412.12726526637437,32,13.584702285329326,1
controlled_exact,40,1024,40.0,2.0,0.00025,0.4,0.1,0.5,1.0,4,-0.0346759117920485,0.0016793934227162211,-0.0400204911852895,-0.029331332398807503,-0.040299480739929665,0.0021059373242569963,-0.0470015131966704,-0.03359744828318893,495.43222631635734,76,37.14403117251151,1
controlled_exact,40,1024,40.0,2.0,0.00025,0.6,0.1,0.5,1.0,4,-0.026795533101299052,0.00234717627499441,-0.03426529556550459,-0.019325770637093516,-0.03629495551248792,0.005409042831924309,-0.05350894388806676,-0.019080967136909075,200.9521755429229,25,11.708868392254953,1
controlled_exact,40,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,4,-0.03117595235730926,0.0005008567446299481,-0.032769902053733264,-0.029582002660885256,-0.029560243272681162,0.0010091245787901494,-0.03277172806002285,-0.026348758485339473,504.20787425249847,79,38.75290117525316,1
controlled_exact,40,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,4,-0.030375166661804252,0.005066017484605631,-0.046497495288190104,-0.014252838035418401,-0.03988648183799041,0.008011673941319922,-0.06538320397168175,-0.014389759704299062,202.27926386301328,26,11.108738028646496,1
controlled_exact,40,1024,60.0,1.0,0.0005,0.4,0.1,0.5,1.0,4,-0.03287739326589791,0.001610215422403339,-0.038001817387636264,-0.02775296914415956,-0.0341234075929278,0.0017859492463763009,-0.03980709517348228,-0.02843972001237332,691.0042020906334,49,18.994565611187596,1
