control,n,clone_count,horizon,k,residual_delta_control_minus_baseline,combined_residual_se,late_half_delta_control_minus_baseline,combined_late_half_se,both_support_gate,all_member_gates,paired_control_gate
timestep_halving,40,1024,120.0,0.4,-0.0017844626930434912,0.0037425437700572823,-0.0005016785892534709,0.006849352177137608,1,1,1
selection_interval,40,1024,120.0,0.4,-0.005677204801493245,0.0038080774715647447,-0.006995593211274902,0.006783442725438818,1,1,1
