timestep,model,ratio_normalizer,log_ratio_normalizer,log_ratio_ci_low,log_ratio_ci_high,bootstrap_replicates,gibbs_log_partition,absolute_log_partition,absolute_partition
fine,1,0.9919998786392695,-0.008032294036717782,-0.009549799936674227,-0.006530656542728474,1000,6.242891064111767,6.234858770075049,510.22855381920664
fine,2,0.9960078573031009,-0.0040001325701206295,-0.005418996302388829,-0.0025273431741011576,1000,6.242891064111767,6.238890931541646,512.2900310445768
fine,3,1.0020988331455498,0.0020966336722773216,0.0006246524987457709,0.003575371539827341,1000,6.242891064111767,6.244987697784044,515.4228840442197
coarse,1,0.9984819723324461,-0.001519181038934552,-0.003321888975846373,0.00048109473250645697,1000,6.242891064111767,6.241371883072833,513.5625756895791
coarse,2,1.002135031122371,0.002132755182317011,0.00017752234572232146,0.004278155085602114,1000,6.242891064111767,6.245023819294084,515.441502233357
coarse,3,1.0054069820428966,0.005392416794592387,0.003565099597453692,0.007348273804063556,1000,6.242891064111767,6.248283480906359,517.124408473867
