I1,I2,I3,theta1,theta3,log_rho_ss,rho_ss
1.0,1.0,1.0,0.0,0.0,-7.492244604119343,0.0005573904344275726
2.0,2.0,2.0,1.0,-1.0,-9.406669869329578,8.21741428439821e-05
4.0,4.0,4.0,-2.0,2.0,-17.000101458519374,4.139517708141106e-08
